reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063742539412019997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0.17744400782845199,0.1029816014668169,0.029689258945950502,0.023136913454276545,0.036603065030412697,0.021410895163232802,0.0183146564444788,0.019498692501426901,0.0148491114095563,0.0037588187535298996,0.0107092451233713,0.0030558634171140003,0.0016818739228460001,0.0035755845084685001,0.0033923001154771999,0.0048013764157241005,0.0020715020061277999,0.0032057849174138,0.0027882671323198999,0.0029373248507071001,0.00058140453596880004,0.0019649748103082003,0.0010820305955394,0.00059214981286662399,0,0.00047744649927110002,0.0023032447071699999,0.0032902965110436001,0.00050893291528450002,4.3291170957715532e-08,0.0010017832589095,0.00095940950859429996,0.00050303442797530002,0.00056045154912110005,0,0.0022388204215465996,0.00099095306007589991,0.00060956988897829995,0,0.0023260810981917002,0.00055901467493559996,0.00098047883226820001,0,0.00089250921306439999,0.0021081259081164,0.0011879874663276,0,0,0,0,0.0009604800130645,0,0,0.0028343557872458,0
2,0,0,0,0,0,0.71005174075927346,0.53836789768778814,0.28403162823812034,0.2243338349173131,0.1056872449393137,0.081668112641824692,0.1051569481044365,0.048260861148479703,0.042980742179393794,0.036664636200065499,0.033213126940924799,0.017457698977366799,0.0121841336705945,0.016558633898894799,0.0100413253683156,0.011663897817611001,0.0089336876966496989,0.0096913474728119991,0.0051370768563791004,0.0034021131193330998,0.0059207968555939003,0.0089343815800222003,0.0034687791968329999,0.0026237651947156001,0.0069282850744808002,0.0031932205373453003,0.0026485453142659999,0.0053917093201157999,0.0039271817075655999,0.0027426135920292001,0.00087187781551569996,0.0044934509253668998,0.0024942842134709001,0.0067851172113981995,0.00088366489708789999,0.00093236350821080001,0.00069663534897690003,0.0021744632842317,0.00088839398600130005,0.0019801574031637001,0.0037576515929129001,0.0011703166564068,0,0.0017850184261288,0,0,0.0034652764356820002,0.0052763833227597,0.00085457302099960003,0.00099556227706860002,0.0016904741436489412,0.0017016646125924107,0,0,0.0019951336562297
3,0,0,0,0,0,0.1124080760896894,0.31412692339058512,0.54272330848364603,0.38274348067155428,0.33082784117049546,0.25351834251745464,0.169135146106103,0.16504657145306151,0.096471148900065098,0.071138817956041711,0.051685988295128396,0.041126595449355402,0.042308614120448999,0.031890854620718501,0.022937823143235801,0.021282621017423401,0.024037982228513999,0.014907928925799702,0.0083230134601921003,0.0158730391160045,0.011313760578432301,0.0062002011903549998,0.015690702176543898,0.0076440376255637,0.0095600598637550997,0.016518609802847702,0.0143009472939739,0.0053162172407422003,0.0047156892959804003,0.010238348560339599,0.0066316704609009,0.0027662247589119999,0.0040000895794696997,0.0055813388674660997,0.010501313126613123,0.0012042271003936001,0.0063699709948616999,0.001931710640338,0.0016141898947838,0.0027028356601993004,0.0032678531487298,0.0034666378669818004,0.0017827275764180999,0,0.0060473897360926992,0.0018687309939261999,0.0025518511476297998,0.0042534969517526999,0.001180338315535,0.0029271117083913001,0.0010794252608066,0.0010803021669509999,0,0.0039818133708107006,0
4,0,0,0,0,0,0,0.044523577454809504,0.084950393857108286,0.23866371519304402,0.41028106251047847,0.37462147522596023,0.32464450351483143,0.2610954774794173,0.25967028583846696,0.16274532761185601,0.12581214894793802,0.1080081710789714,0.077107568950494795,0.074361544757723302,0.059980965372022604,0.0474429985277156,0.0450987565443913,0.043964868780777301,0.020598714839919902,0.0275388346543088,0.0219597455448413,0.018987153997064403,0.016905422388683301,0.020974378009979099,0.018462235946280998,0.0151287290751079,0.013478523298479501,0.017458377976110502,0.0099110692462076998,0.0119224669254767,0.0124362427549598,0.0059062218285542006,0.0067409094705267996,0.0091562024635915007,0.0062584045329803998,0.0030220458439494998,0.0036912034795965002,0.0059370260072653001,0.001244538381833,0.0108138096727055,0.0052822559993686005,0.0037198779332940999,0.0036996439904503002,0.0070245611873051995,0.0042954371562654,0.0041380915157363,0.0022898003175325001,0.0027946753802988999,0.0032206052292532003,0.0088021713093827999,0.0046518212583193004,0.0041514887365224004,0.0037352016762541001,0.0054482659397486009,0.0053041004081672994
5,0,0,0,0,0,0,0,0.045014349713468502,0.094338716900660508,0.073675067669288108,0.2060489225260424,0.2905759757181321,0.2732763762096167,0.25508605629888492,0.23113278870751852,0.2043348094282994,0.148737890283174,0.1518548870375151,0.1287185499416402,0.094310996754493392,0.066430787966381105,0.063474944705813302,0.064121143401308894,0.047362847171481197,0.044727100339316803,0.030218712990070798,0.034938626962245999,0.029252854809106998,0.0213145004255424,0.0242271947273251,0.019739224188213399,0.026308375420964002,0.0175785648670417,0.017897690461330201,0.021228263075548599,0.016249913828655298,0.0163457958712196,0.019473607496234703,0.0101830702777197,0.0069428706382517998,0.017599635812464098,0.0111091559069008,0.011309876715620001,0.0094775462164263993,0.0111870463382514,0.0067000481128919997,0.0048172379273801001,0.0064042900897541,0.0080259728605707008,0.0034370441800444002,0.0125490466975257,0.0060618024835911001,0.0028322754259445001,0.0076405672931826995,0.0036510251322193999,0.0035917710056101002,0.0024113612799599999,0.0049585863946052999,0.0060569147260362997,0.0051122139355437995
6,0,0,0,0,0,9.6175322585149612e-05,0,0.013591060761705701,0.0099832248198564004,0.029898041612299701,0.051765861727857701,0.063646705585986701,0.166508124644522,0.22633553483495222,0.26555338724860666,0.23673575585753009,0.24203001040303018,0.1966239489116765,0.1513051000776196,0.1513416392136456,0.12683744225516411,0.11010009354685571,0.080173213916398506,0.089827266899859398,0.063880030204008897,0.062816110336641195,0.0405878232673232,0.037142203384938802,0.040335934581381801,0.031559710762075796,0.0355071250127506,0.034251455603004605,0.022375628450952999,0.016728509555689802,0.0155613133092586,0.021136484796872499,0.0133987051554355,0.0229662823868047,0.0142078983818586,0.0082469605602082004,0.018019697371033601,0.011760491630795102,0.0072912788979384996,0.0103920859967448,0.0102423159340889,0.0088255228897421,0.0093202341936984012,0.017100316520741,0.0070433077964948999,0.0096742464477224989,0.0040493072242691001,0.0037345939903888998,0.0077822707423585999,0.0080101776704330999,0.0043678626280579001,0.0076000767157897,0.0090423452994191009,0.0042975640968207999,0.0075111616596085003,0.0030394211578538
7,0,0,0,0,0,0,0,0,0.0125395630059417,0,0.0024433087012391001,0.014363278634849701,0.040479940197278304,0.073280273837630305,0.15601315119884379,0.19891878026541399,0.22940660953920589,0.23248553244230299,0.20511807789985081,0.19763747937309811,0.17580704222668669,0.1222635150578365,0.12494240669642351,0.088964481986413602,0.10759876055618331,0.071175547538834899,0.094555507891383506,0.051174417845966901,0.064265530721413597,0.048553533708146503,0.052106619806931598,0.041895626630221103,0.046166705718705202,0.031548763116573501,0.029207653370923001,0.032661311849819102,0.026495053513236902,0.0236116732253649,0.015950092534169801,0.028948063191157902,0.0125070903636403,0.016319438377568801,0.018398060868612301,0.0092741367863138999,0.012238488855984501,0.0074150583869831994,0.010381269393520399,0.013573342980945501,0.0037812982025530999,0.0062584575543610001,0.0066694977185177999,0.0090513042168474996,0.0066781953525674002,0.0072019487396735998,0.0059305643229129006,0.0049809886584588998,0.0021281086183791999,0.0026701751808769999,0.0113910956299796,0.0038706718663346
8,0,0,0,0,0,0,0,0,0.0071011465851108999,0,0.0056405963421189004,0.0039121741158256998,0.0088632763804697007,0.020531093021122299,0.036148314093892402,0.1046376408998906,0.13987923698370192,0.17883269812628422,0.21620879578357771,0.19744415814147048,0.20831071392549422,0.1621601124218677,0.1459152312633254,0.162606301820615,0.1451624240339989,0.11015973779669309,0.093720606811742102,0.095511265224571901,0.077042720698743697,0.087659268416947794,0.062853465287673202,0.050313818332805002,0.044924358192221098,0.0511850828976569,0.042320341691989505,0.034002368051684398,0.038908337714759003,0.028021324640907001,0.030486063087434102,0.026231879362448501,0.020225624573682401,0.0161545396032809,0.0210705790556967,0.027857904705262101,0.0222102638470754,0.020965600808271902,0.016864249572902099,0.0148579004294585,0.015349805010775399,0.015377852703256902,0.018335199446031,0.0103305096044731,0.0081562549379656998,0.011425364156103299,0.0059061540913556004,0.0270094564820915,0.030181901272758702,0.012045026530295499,0.011652335668921199,0.0047590606545274
9,0,0,0,0,0,0,0,0,0,0.0044456660476542998,1.4339907666508578e-05,0.0060964797059869999,0.011661797173651,0.0107957536799275,0.016331881090742,0.016093458480553602,0.037575109002159497,0.067833370471999901,0.10543585583514431,0.15283667487319652,0.17072382757641219,0.1870570899754781,0.19404245098749939,0.17711220371227049,0.16725637192076251,0.13670379449374639,0.12846691241078823,0.10503575805542451,0.098706046156372906,0.08312727074196849,0.081924338716978407,0.067834291179395712,0.061968809390116904,0.055977595762952401,0.040271296892854802,0.0523161827927126,0.047327161865313203,0.057668344751285301,0.0327682059537652,0.032339226862959203,0.0350609809668306,0.029931500074142602,0.016816627579134501,0.0216447362904841,0.033735478800703801,0.031527658260018,0.015614299126326499,0.0122018353546475,0.013027976615870301,0.0237752711394058,0.015480661793579601,0.013060078779665999,0.012983068091721901,0.029815931243932399,0.019848392204461499,0.017866187491066301,0.0074818116916106998,0.0148858476582872,0.0120590231848338,0.0047864792865642998
10,0,0,0,0,0,0,0,0,0,0.008582011020057,0,0,0.0019613451436327999,0,0.0102634027946285,0.0066848900895277999,0.0126279102232713,0.024757033410851798,0.0349668359197398,0.064097086605650597,0.091756305866304899,0.1407665475471549,0.16657011152958362,0.14793939492853281,0.15245821707182311,0.15595961928707039,0.148715887875735,0.12783681242026429,0.1260975877385751,0.093062778209969194,0.08814744760709109,0.062884385249628097,0.070419017614096191,0.09420759521747421,0.060721603471704397,0.055756817816935506,0.0604386438615706,0.046129502659060198,0.042493351438858899,0.0391128683606424,0.032143122865183699,0.028528501239262,0.033410564167602602,0.027769960022337,0.015427156350618899,0.025029970704493899,0.022980436680704399,0.0174337613263463,0.021135094092709601,0.019266543024385997,0.015595471917889198,0.0190638128584735,0.0109698275103059,0.011734162197957101,0.018545427559714202,0.0175024826400196,0.0110030475423641,0.0091889179645099003,0.0052748315953983996,0.0170556286476512
11,0,0,0,0,0,0,0,0,0.0071594044522421997,0,0,0.0023815219403834002,0.0018765068362701001,0,0.0018177197515297,0.0054708170035015994,0.0092215255965705997,0.0046127060919478003,0.013448866106583199,0.023897233040119002,0.038667734932296201,0.091915557367935913,0.091276525515762902,0.13673151694662539,0.15027596332391469,0.1530682126382574,0.11567956866232371,0.1724490536188133,0.14081422974492769,0.1194366644859275,0.1112235549150206,0.094877405644534299,0.1001438102778644,0.085230362783812408,0.070789868500775302,0.085280600214834107,0.08514727400809341,0.06442143948517709,0.066279543675273098,0.042209057629754299,0.056867407843008796,0.051257338702280303,0.054401685939269598,0.041142228122321399,0.0248699332607051,0.026398187525383501,0.037878521827007898,0.032573907610482802,0.026422339825874802,0.021493816679538702,0.021021770226674001,0.0079567564360061988,0.020413298522659998,0.0142558758335174,0.0229351074373466,0.018703968365964999,0.0117579104436774,0.0056079726795167,0.016009395515208202,0.013494389400697498
