reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0,0,0,0,0,1.4523585714171224e-08,0.0021399937439785001,0.00078543136270730002,0,0.00044931135628,0.00074079066636069998,0.00014303070748159999,0.00012256617961880001,0.0001087616353665,0.00023845127360712354,0,0,6.8051288005192275e-05,0.00028005304349960002,8.0651633434571665e-05,1.0764498248867144e-08,5.2683784192996526e-05,0.00013691736305871294,0,0.0001222215354635,6.3331554027127283e-05,0.00033861438727129998,0,0.00028902941310370001,9.912472523535473e-05,0,0,0.00042435640936379999,0,0.00029470463886980002,0,0,0,0,0,0,0.00078763510860639999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.093662946303383204,0.0572842979592098,0.027488311108988701,0.0199060727218952,0.0102098070753698,0.0090797100166775009,0.0093845096886680003,0.0048371036107348001,0.0034418263566889,0.0048312902330538005,0.0038585128560827998,0.0055128161287673,0.0020598625133715002,0.0029937517565183001,0.0015414740854527999,0.0015443743872730967,0.0015665616692498001,0.001375189800207,0.00095754476346950003,0.0013235647408432001,0.0013023618558297,0.0013062185061298,0.0011390324241717,0.00090543499152759993,0.00092099215506470005,0.0013874956892292001,0.0010877015530376,0.00069421040976075474,0.00079216664752830004,0.00089886917370675596,0.00066349509023979996,0.0017883834508273999,0.0023009783661822,0.00071208686867419997,0,0.0016569748846449999,0.00072538900504460005,0.0002514345517881,0.00059508531634409998,0.0037085893372539001,0.0014978044820288001,0,0,0,0,0,0,0,0,0,0,0,0.0029374171157430999,0.0048597046637703003,0.0026803684318214001
2,0,0,0,0,0.98871356088688522,0.75637779032608132,0.55200720774333201,0.3578883126060084,0.2151073700501353,0.1824676942238703,0.12372031626143409,0.101560889902055,0.073778713089142897,0.060885410774663792,0.053669478035198698,0.0430269854054499,0.043483098550303398,0.034626623018577898,0.032588538447580195,0.0300941380402957,0.027686677024594097,0.0250160206328554,0.020099448275348999,0.022429729235947798,0.019264529517306998,0.017568681606213801,0.015668852351209302,0.018220104967080899,0.0171937108989327,0.013859047649712101,0.012505724736794802,0.0094027127752416007,0.014203537872952601,0.010307707286307,0.0119167348442529,0.0076118739304941001,0.0099648200853186004,0.0088828083357512001,0.0076691895823485998,0.011635750053554699,0.0057311689990735002,0.011178010547325,0.0093314746026803008,0.0056609203910915002,0.018030369532985598,0.0037084781594332998,0.0063176901425041005,0.0084352752914565003,0.0019507258065622,0.0055376722186857999,0.0042862879829554997,0.0097270540146426002,0.022407678225071701,0.014652300887746501,0.0089340589906860002,0.0069689578400604999,0.0043398678681220004,0,0.0018138778859213001,0
3,0,0,0,0,0.0112864391131143,0.099859740252403906,0.26332532660754671,0.44004829251989691,0.4605723114292809,0.35611122144546958,0.30636317101905652,0.23633354483122931,0.201976011820824,0.16253577637509908,0.14147857376191311,0.12560655074137181,0.10755911601257259,0.096633151612823098,0.086288489990310899,0.079367888289796906,0.069719521923158695,0.065741027725333301,0.063494605969704201,0.057052795812719395,0.051222216674801896,0.044584328361371599,0.048503916617295202,0.0417710254063157,0.040175609078940702,0.035442116170559604,0.032950051231030397,0.0309051056862777,0.036251323405154502,0.029101699455090002,0.034454855997035898,0.0266477844800822,0.027220419282251,0.039608557926104598,0.022294954255697198,0.021735121841024697,0.0236516880615932,0.0185301339045966,0.0149661906311549,0.017168868369637099,0.0255680149094706,0.028718689193347399,0.017362150184863701,0.012479510626802599,0.0149520310321524,0.021482854512899899,0.016328900447508499,0.019768655696346102,0.013229887316034,0.018201613246998899,0.011594277896797799,0.0181301563569983,0.0056309308807233,0.018211751149258101,0.016066317251902201,0.0107154944741326
4,0,0,0,0,0,0,0.12396961790421501,0.11545333850491551,0.2217471585321128,0.30390707850225607,0.32593081279453373,0.30105275338949949,0.26589456161323544,0.2540372161725184,0.21427399996793711,0.1872556607301514,0.16859527595551821,0.16335214389845651,0.1418084691850823,0.13319406757616559,0.11702816230183599,0.11172760226169309,0.096773615382451994,0.0986350292723744,0.088801517547438008,0.0816539298726639,0.078499290546965306,0.072170926835266103,0.0739014010380519,0.069658214488375697,0.064386874068757802,0.069736980196168696,0.055688134008612097,0.062378296805641595,0.047137617840742101,0.050884715105691494,0.0507553527079177,0.050673552760666596,0.038090017103253403,0.043420698126709102,0.042610238436775798,0.035528872021172803,0.032921398506527304,0.038417026486635503,0.027458565950244901,0.030773591759983499,0.035358832153510003,0.034375676777226201,0.039498098417065503,0.0218003628041714,0.017762534954612802,0.035707132821548901,0.035259238663214502,0.054197839734153902,0.0264891297455703,0.025203088510832798,0.017493048445829901,0.038227596202493802,0.022952685707358502,0.021998746587221802
5,0,0,0,0,0,0,6.2523815421475995e-06,0.031884494999933302,0.037468527869867499,0.092327969262069501,0.16096781881924141,0.23313413003207967,0.25308778361375933,0.23943896275300119,0.22195795021621578,0.2151088706938549,0.1905444490606559,0.18150232793500831,0.1685443146928465,0.15405744494459001,0.15810324389786129,0.13429310849687129,0.1315699059130267,0.12785338119359721,0.1188396322861076,0.1161306570742808,0.10749085183678869,0.10376142168038111,0.096228869152617802,0.082824240923649706,0.084470393007869501,0.086563319036867509,0.080980615567822295,0.076491299151055001,0.073055950860583307,0.070877547296765292,0.076760524532336311,0.061028116842193197,0.059808927817203206,0.067887755568514202,0.058163328834913999,0.059616191994615694,0.063235216370190306,0.062122770604377403,0.046346931465358801,0.046613695714386102,0.038719615615387795,0.056457894841495201,0.037709835381100301,0.035743325395299001,0.039633253165219401,0.066360328958482595,0.044479503096075901,0.015811378196660099,0.044718510774061603,0.047465147567527601,0.032475335707790598,0.069693510999065802,0.041429390282279002,0.017169987460086397
6,0,0,0,0,0,0,0,0.017142501307534801,0.0183516063898988,0.021128079805130599,0.0383417591776389,0.067819239265391698,0.13451632273185651,0.17210159962744739,0.19669045097227622,0.19620301904940118,0.18897884368200951,0.1714036016224342,0.174137338255203,0.1688432916282025,0.14578220621328231,0.14530294839963198,0.149141400889748,0.13949160344144509,0.12781161811075731,0.1275608264122246,0.11802518110361129,0.1205712998441741,0.11405900658964441,0.1078406884638286,0.10742314233493419,0.10291257747307231,0.097613321769642797,0.099893300496054604,0.094614087543107198,0.0856660194267551,0.084416011988231093,0.082472604326031596,0.06644416758768959,0.063173739658259093,0.0591243063906675,0.065965598884270504,0.078707040380559007,0.064881618252206397,0.070981866385992909,0.073604541524074307,0.0386347170435377,0.070277538164783798,0.055706547987058701,0.0479866303781393,0.091731144408401299,0.047684738584200706,0.049435767322703494,0.055279594077587299,0.050032058011116202,0.039376708568708001,0.083081270201908697,0.083205648920697803,0.034194250998935798,0.037531719779269501
7,0,0,0,0,0,0,0.0033913814875461,0,0.0062978995003060007,0.015861286869794398,0.0164941276696348,0.024209359919235098,0.039168030333704099,0.061949176673529796,0.10857296191651039,0.13409048659764689,0.14369117447474422,0.15909063893546921,0.15806094352472719,0.15718632356195622,0.15640010424297041,0.1455934737084118,0.140249947395612,0.1357775063281749,0.13295209403065372,0.13131647160934962,0.12783928704418712,0.1216682627553967,0.1282576439171213,0.1182128091211964,0.12058810471557191,0.1020142145637121,0.097718789714022994,0.1062853262121813,0.099443874044209901,0.089275995930420293,0.091526617521113601,0.093022748837089497,0.090613569854292697,0.070053407173399002,0.090691936845487001,0.074993669603244606,0.064738021165326898,0.065377541091246993,0.085315081171102397,0.063866558103828797,0.060086190769938701,0.0584466838965743,0.069138062249175902,0.052293994467202204,0.044123332286903003,0.041203388106288402,0.054063458679874499,0.036609915376759804,0.059050544998047801,0.061421591431402897,0.042878865284627005,0.041797779344233399,0.039141044193082897,0.040238762217453698
8,0,0,0,0,0,0,8.1799356339820451e-06,0.0019023506041039001,0.0016246224325166001,0.0038362275715860001,0.0066964021537821005,0.0094122279731607,0.010761930360612199,0.0218627769778439,0.030674196317200298,0.049073462161876094,0.089015943239391895,0.1036998987991854,0.11581284229267369,0.1172542290503045,0.12523259334112241,0.1274586081114753,0.1295256529639674,0.12630781943152941,0.12378337681679191,0.1238900283015293,0.12273012834676569,0.12028389764737961,0.12042325157542949,0.12103860967486291,0.1162923687195727,0.11082160538274949,0.10328160860139191,0.095096369280843196,0.10511673633554941,0.1030921341206501,0.092521782470794997,0.090404982152470503,0.094716656219054007,0.093648425651176287,0.0886981283412097,0.10236435299179771,0.077431012757763096,0.064297827654821504,0.078831788102714406,0.084847646746419009,0.075989430307330699,0.062124085130973297,0.054294616670448798,0.073580810376842096,0.0566516721620502,0.045759089478406102,0.0808841370002569,0.068595418068384206,0.044312626159097604,0.078217632982029994,0.052807648484049799,0.060306051755693396,0.036450193112691001,0.065282673244977107
9,0,0,0,0,0,0,0,0.0058469619659696007,0.0065261374954857006,0.0071407308862846998,0.0027371849480146001,0.0070552624795218004,0.0061568670899167007,0.011316770734231499,0.011533667104454901,0.0205644563277812,0.032130184631455901,0.044851203513906798,0.066042442222821698,0.079293328954880699,0.097636442196851109,0.095817333922871895,0.105871244131115,0.11077292653984949,0.1149329634974678,0.1110408158356074,0.1102098472522407,0.1116602501895869,0.10022862672031621,0.1056345519588735,0.1069776572132522,0.1083219861467728,0.10766109872924351,0.10378267504744471,0.096882325115061799,0.1029505405662898,0.091334827692003406,0.086393650667807492,0.095239623479744906,0.087658398008654409,0.096053805872391096,0.087054861372615699,0.085075668522255093,0.074442629198267191,0.076796291949520104,0.080887159852460394,0.0641474588338901,0.1066186673900596,0.068588723393171708,0.060301226473491697,0.083168795258985101,0.094171711100253699,0.031988833802410896,0.053373681486807198,0.066364195392629194,0.030351015031718498,0.046390621722026695,0.041770580521422102,0.059000853228322304,0.066388022682500603
