reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.24901473797466586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.49876818431440839,0.0744777117283692,0.096739262382502092,0.016059796172713359,0.0027745440590240208,0,0,0,0.00048867702064179402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.29301309514257906,0.67650755029696485,0.49486687606447544,0.18475386903094182,0.038797794095433283,0.038710502433376322,0.013094199694164695,0.0044797365991723261,0.00050346001410644643,0.0026744961123472012,0.0014072005687625286,2.8616403957175952e-05,0.0003039241393638744,0,0,0.0010225372596820888,0,0,0,0,0,0,0,0,0,0,0,0.00025804347982733684,0.00044598670366573608,0,0.00029399723600425666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059166999147677369,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.29646415530458359,0.35184736488419732,0.17398025061850494,0.072539005791163305,0.030914602641776916,0.030345852414146585,0.0110321776445663,0.0053508265767525836,0.0046015078908080769,0.0048053306526917722,0.00078476498943615104,0.0025598032466828242,0.00060557730782270758,0,0.00057474088477479012,0,0.00058571944548969739,0.00031616281671128138,0,0.0003561815927983632,0.00028903485839732693,0,0,0.00022659794624006125,0.00054837477009251592,0.0012043662280425685,0,0,0.00029399723600425666,0.00083405496882237842,0,0,0,0.00055922166208430409,0,0.0011003621087358551,0,0,0,0,0,0,0,0,0,0,0,0.00083478544909745139,0,0,0,0,0,0,0,0
5,0,0,0,0,0.08008634025497624,0.33212807734182148,0.34850738341664567,0.16126950748424665,0.069631390003154284,0.036030299450311637,0.02135894935674541,0.022344814321407166,0.0073512880207126695,0.0064324216781685446,0.0060582968018497102,0.0032708341035265777,0.0006349589158278371,0.0015540740168242637,0.003509764724931815,0.00087795937957379339,0.00078284894208620337,0,0.00019235877544683416,0.0004082001213308939,0.00065017411458816122,0.0003754419651384118,0.00054642465203508836,0.00083100255572938944,0,0.00025804347982733684,0.0010423751982564415,0.0012099432331965803,0.0011595169037798437,0.00064144043955694874,0.00029814429036046063,0.00030433339525521869,0,0,0,0.00047664878260118344,0,0,0,0.00084377244133639908,0,0,0,0.00085309192098288007,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.20821872054301249,0,0.012407339679582451,0.077004991511807799,0.27789243574819505,0.27542388244703481,0.19770889306030756,0.09273522260229905,0.059305873731176163,0.02795513437317584,0.024334174204373924,0.01074789032567474,0.0073905354020589106,0.0046817254526892536,0.0029902784007997001,0.0013926011522099003,0.00027922263887127747,0.0012925146774766304,0.0010867469374486003,0.001039816832372367,0.00025653924170456404,0.00056028165346381012,0,0.00046279284621685073,0,0.00045319589248012251,0.00054837477009251592,0.00034413963419394739,0.0002935593160316429,0.00096803496783290225,0.001983329347676446,0.00030383052645495997,0.0016136856428360903,0,0.0022892295687702534,0,0.0003651106807920276,0.00035740175875399461,0,0,0,0,0.00067409179575290306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.019436026313880295,0.018129080313430242,0.090735811246110437,0.28452072406679924,0.26524585657943661,0.18945661574978995,0.072436472116913106,0.060299712186347498,0.040791214679656518,0.026041883392731096,0.016391309165073822,0.013008135047544054,0.0079798499643607291,0.0048391526171692907,0.0047497249783680535,0.0028113348681147029,0.0013224179873572318,0.0025497466526513191,0.00049377968062889446,0.00020410006099919373,0.00093920897298548816,0.0013511684479777708,0.0003770883285023973,0.00031332577876053039,0.0011751525338215673,0.0013105465857019751,0.00051112081654197,0,0.00098008382578810074,0.0010349126018574157,0.0013915287246712143,0,0.00099750594988432494,0.00032044658529407037,0.0003651106807920276,0.00083405054135517794,0.0012534756459149227,0,0.00062884525244446231,0.00096700115865944148,0.00050544888009355828,0,0,0,0,0,0.00068777650892693333,0,0,0,0,0.0019054708550665391,0,0.0018364695866758679,0,0
8,0,0,0,0,0,0.014437406246670365,0.036795641223083056,0.087954368306511016,0.25118157882502945,0.21842617086201296,0.16789662838888719,0.10190915795069701,0.064788218791032831,0.044360434937239263,0.037392550476913373,0.025335701082927223,0.016600604681262083,0.0094763719161414725,0.0072903038400443203,0.0032908479547441708,0.0029677788116802229,0.0046482696625819876,0.0040360187640047082,0.0024062258647910267,0.0032555028012022018,0.00048171065370553599,0.00093641543907746635,0.0018129986991942376,0.0013317354284130224,0.0014078417676033062,0.0014483373974523961,0.00067513704733801038,0.0015515254741751917,0.00040520351958177011,0.0018123541515818649,0.0020256584218413596,0.0014821178001890771,0.00032044658529407037,0.0003651106807920276,0.0016681010827103559,0.00054297365921839806,0,0.00047152202504585308,0.00084377244133639908,0,0,0.00069845001252035225,0.00063966711773439061,0,0.00067842376750502562,0.0012002609486747961,0,0.00074032348728731042,0.0011649759504196034,0,0.0010918776404469739,0,0,0,0
9,0,0,0,0,0,0.005639095485858424,0.015376234891708397,0.042612196510570161,0.10119089275689686,0.22016752240231446,0.24314540203139279,0.16791956499157043,0.093242564729322602,0.077741972807571613,0.057631857435879209,0.033903210481017285,0.023559090573494926,0.016339109637569967,0.012554401321182159,0.0086653055791740749,0.0067730976593349985,0.0030121467931378044,0.0033822692235207456,0.0031414556135199671,0.00087405602837832064,0.0017001598929334491,0.0020498641195421169,0.00090872532439151754,0.0012599358496002422,0.00051608695965467367,0.0016145549881806092,0.0029103134892216314,0.0011991506401172712,0.00091149157936488002,0.0007952401439502931,0.0019427299257828263,0.00048461185030475225,0.00085472704612099375,0.0020979557691064021,0.00095329756520236687,0.00071050198669652472,0.00046487628489899044,0,0.00064482044891980405,0.0021918471688659744,0.00069177794860461432,0.00069845001252035225,0.00085309192098288007,0,0,0.00068777650892693333,0,0,0,0.0024199234568667784,0,0.0012581758548322838,0,0,0
