reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063742539412023509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.84424301881088681,0,0.04994502888198344,0.010244182646318684,3.8732065039245095e-05,0.0046572978526803963,0.010452146484423783,0.004157607103572907,0.0038621692234004881,0.0049518399431799521,0.00096115673396579115,0.0017348368425019979,0.0013468428965944862,0,0,0,0.0021959790240066988,0,0.0017464571769493127,0.0014096479876637856,0.0010344907041843756,0.00058140453596880731,0.00063266458641895876,0.00062302010073250562,7.1437782709239345e-06,0,0,0.0012268176952553733,0,0,0,0,0,0.00050303442797536638,0.00056045154912110482,0,0.0011837165083910509,0.00099095306007597472,0.0006095698889783108,0,0.00063530877376212264,0,0.0009804788322682037,0,0.00089250921306448987,0,0,0,0,0,0,0.00096048001306451778,0,0,0.0015152812178767239,0
3,0,0,0,0,0.15575698118911327,0.17744400782845202,0.05303657258483354,0.019445076299631936,0.023098181389237304,0.031945767177732481,0.010958748678809194,0.014157049340905959,0.01563652327802657,0.0098972714663764869,0.0027976620195642563,0.0089744082808694177,0.001709020520519667,0.0016818739228460573,0.0035755845084685933,0.0033923001154772823,0.0026053973917175609,0.0020715020061278836,0.0014593277404645116,0.0013786191446562264,0.0019028341465228981,0,0.0013323102238893758,0.00045901049480697337,0.00058500603459577492,0,0.00047744649927119158,0.0010764270119147815,0.0032902965110436109,0.00050893291528458589,4.3291170957715525e-08,0.0010017832589095505,0.0009594095085943262,0,0,0,0.0010551039131556205,0,0,0,0.0016907723244296991,0.00055901467493562707,0,0,0,0.0021081259081164854,0.0011879874663276028,0,0,0,0,0,0,0,0.0013190745693691551,0
4,0,0,0,0,0,0.46799236287591667,0.20302102804884739,0.13474785391401189,0.09278587399968731,0.03222740976623073,0.03029869476725643,0.04987974788794354,0.01861120780866651,0.017347700358032882,0.01564363329447933,0.010287483071439237,0.0068860994639391134,0.003423805181505599,0.006725410146890801,0.0026008100607139771,0.0028512200910378541,0.0045063110198037427,0.0063107731418228299,0.0019350394918799976,0.00050799042537983655,0.0033542890139191877,0.0051520031829829982,0.00052214827793085992,0.00084936200250273813,0.0016171046426459946,0.0009178591415101334,0.0015250594630104579,0.0019151013717502365,0.0034109969727868826,0.0004898154339761379,0.00041828485529093226,0.00055973168352276112,0.0014769224501304792,0.0062636439031047552,0.00088366489708793501,0,0.00069663534897693928,0.00055345681367693499,0,0.00064428671180587736,0.001189477149521951,0.0011703166564068694,0,0.00089250921306448987,0,0,0.0010765649540039771,0.00080297385165528363,0,0.00099556227706861238,1.4321411248041157e-05,0.0017016524524874738,0,0,0
5,0,0,0,0,0,0.24205937788335682,0.33534686963894084,0.14928377432410858,0.13154796091762588,0.073459835173083007,0.051369417874568314,0.055277200216493023,0.0296496533398132,0.025633041821361016,0.021021002905586252,0.022925643869485687,0.010571599513427718,0.0087603284890890917,0.0098332237520040826,0.0074405153076017262,0.0088126777265732578,0.0044273766768460855,0.0033805743309892255,0.003202037364499242,0.0028941226939533534,0.0025665078416748596,0.0037823783970393323,0.0029466309189022911,0.0017744031922129102,0.0053111804318349311,0.002275361395835201,0.0011234858512556905,0.003476607948365682,0.00051618473477880197,0.0022527981580531152,0.00045359296022481357,0.0039337192418442014,0.0010173617633405035,0.00052147330829355296,0,0.00093236350821085964,0,0.0016210064705548673,0.00088839398600137627,0.0013358706913579818,0.002568174443391075,0,0,0.00089250921306448987,0,0,0.0023887114816781032,0.0044734094711045141,0.00085457302099961152,0,0.0016761527324009339,1.2160105010700261e-08,0,0,0.0019951336562297759
6,0,0,0,0,0,0.11240807608968947,0.26048366282676416,0.30143564661655153,0.15813061551611426,0.12567597657015792,0.12113165318864515,0.078325446644083488,0.072335183593253194,0.041026824348464025,0.026894402933687726,0.025790055603316878,0.016074206796826127,0.017406270830303563,0.01486637287686746,0.010818587959945166,0.0080959323181425021,0.011371121045384064,0.0059465855977367584,0.0032876108665903093,0.0092494068761535542,0.0027595194731777502,0.0024197957820029864,0.0048455184288048667,0.0036810107746002487,0.0037140720148712936,0.0072864375410938891,0.0038391800104325951,0.0023366792719735877,0.001081435114235918,0.0056226291261495072,0.0031862153230291044,0.0015691635749017212,0.0016884036081098262,0.0040139792542503413,0.01050131312098306,0.00060447840060924487,0.003760453885336816,0.00096585532016909821,0.00050943942578480226,0.0021357412737551176,0.0022638023571542299,0.0023634911815412969,0,0,0.0039718823247839232,0.00068074352759862368,0.0014464543575838035,0.0008939923049560574,0.0011803383155350718,0.0029271117083913127,0.001079425260806687,0,0,0.0011361912419467313,0
7,0,0,0,0,0,0,0.053643260563821071,0.24128766186709466,0.22461286515544013,0.20515186460033766,0.13238668932880956,0.090809699462019638,0.092711387859808425,0.055444324551601143,0.044244415022354093,0.025895932691811674,0.025052388652529366,0.02490234329014553,0.017024481743851152,0.012119235183290739,0.01318668869928093,0.012666861183130068,0.0089613433280630681,0.0050354025936018071,0.0066236322398510652,0.0085542411052546754,0.0037804054083521855,0.010845183747739134,0.0039630268509635112,0.0058459878488839479,0.0092321722617539279,0.01046176728354146,0.0029795379687687731,0.0036342541817445833,0.0046157194341901985,0.0034454551378718884,0.0011970611840103854,0.0023116859713599711,0.0015673596132158754,5.6301233059120942e-12,0.00059974869978449391,0.0026095171095249143,0.00096585532016909821,0.0011047504689990048,0.00056709438644426773,0.0010040507915756404,0.0011031466854406825,0.0017827275764181706,0,0.0020755074113088163,0.0011879874663276028,0.0011053967900460486,0.0033595046467967439,0,0,0,0.0010803021669510732,0,0.0028456221288640101,0
8,0,0,0,0,0,0,0.021302994912573765,0.074997780963548935,0.16886716352001471,0.18728272188331802,0.18710531067271546,0.17327277487294782,0.11337925186026593,0.11202640677968392,0.060116148405741046,0.044217803323468551,0.046080801591428702,0.031114524763363793,0.029255780322391588,0.024161150607227726,0.024643055877444763,0.012930915628602291,0.023258469738943452,0.009086712576481068,0.011349878840869685,0.010604952618402877,0.0086122484120988441,0.009117836561804012,0.0076790596815563489,0.012398451154184021,0.011879186504329011,0.0040182742934376497,0.01026223162600408,0.0087778730301159031,0.0044685673639978966,0.0064349150731359923,0.0027423197372271326,0.0014386127509515702,0.0039840385523685143,0.0019007189061547929,0,0.0017409924087573346,0.0027298806135867709,0.00067892073834949207,0.0076408287246939859,0.0044475702050379741,0.00083665168641468605,0.0021830808748031874,0.0046134143836592889,0.0017036741493994822,0.00068074352759862368,0.00093348214791432686,0,0.00091096266516474248,0.0051511461771633462,0.0023962519823959266,0,0.001738411600773861,0.0039329847218719108,0.0040260469242814163
9,0,0,0,0,0,0,0.023220582542235874,0.0099526128935594309,0.069796551673029311,0.22299834062716059,0.18751616455324485,0.15137172864188364,0.14771622561915149,0.1476438790587831,0.10262917920611507,0.081594345624469558,0.061927369487542759,0.045993044187131113,0.045105764435331867,0.035819814764794948,0.022799942650270917,0.032167840915789191,0.020706399041833932,0.011512002263438926,0.016188955813439234,0.011354792926438539,0.010374905584965653,0.0077875858268793745,0.013295318328422899,0.0060637847920970616,0.0032495425707789721,0.0094602490050419499,0.0071961463501065658,0.0011331962160918332,0.0074538995614789301,0.0060013276818239201,0.0031639020913271322,0.0053022967195753869,0.005172163911223035,0.0043576856268257944,0.0030220458439495054,0.0019502110708392096,0.0032071453936786012,0.00056561764348363121,0.003172980948011609,0.00083468579433079206,0.0028832262468795359,0.0015165631156472885,0.0024111468036460532,0.0025917630068660194,0.0034573479881377014,0.001356318169618276,0.0027946753802989737,0.0023096425640885326,0.0036510251322195027,0.0022555692759234866,0.0041514887365224819,0.0019967900754803746,0.0015152812178767239,0.0012780534838859982
