global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,2.633410253631042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,20.729549059753541,23.604375678233946,23.093886977279528,8.6048734791483099,1.9047023842390822,1.8638113785979231,0.66621370883651787,0.23636010474940847,0.05323482427642047,0.14432329066218808,0.075373249883828097,0.0015179451811465439,0.015842461134482864,0,0,0.047956592180643645,0,0,0,0,0,0,0,0,0,0,0,0.0038226227674798977,0.0056659624294048121,0,0.0027009114797616062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043880335070549647,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,92.231219976792786,183.90015717473014,150.20661382272755,70.635632153830699,32.09886945335068,21.974759505723387,10.905374585709016,9.3776978653420375,4.017178306234686,3.7403380189892079,2.2381968577126763,1.8570987188231949,0.38082477744713039,0.45733162776145081,1.1428511642990553,0.23203578460651536,0.33905470095846585,0.072769342172213869,0.040892437745113037,0.14883185781396255,0.16552853839780679,0.059291265939201511,0.076711631109239772,0.13055403022942114,0.058960304820752554,0.13593396312991565,0.083093339593381596,0.082240819989979147,0.083787017131053673,0.07160501495672203,0.012156422406911964,0.010394596716088989,0,0.01335043897466957,0,0.026512284918732757,0,0,0,0.0074005260066910905,0,0,0,0.0044109697250417062,0,0,0,0.0029708578624598162,0,0,0,0,0,0,0,0
3,0,0,64.426472352368123,0,14.690726933407984,48.177833338736527,199.60491845955542,318.6237683878897,278.37684123340728,175.96492021596873,83.542892772849129,56.285038711301773,41.226030689864388,23.063653246531985,14.650854134280426,10.612384002315133,6.3430340722590959,3.4541358223634235,2.6503112386823107,2.042873912702639,1.1241891407092155,1.5561407789083861,0.30043220455771907,0.28032736266997277,0.31177584743594294,0.53956716460591958,0.099711123878569397,0.17822255307500337,0.34903582943104328,0.289697105312749,0.12081893729060318,0.1239318892554834,0.3217505247051885,0.12236928434323346,0.2307939021984374,0,0.17668987837682493,0.014409098033064291,0.027531737509074179,0.03772755958525241,0.033444831372588524,0,0.012122479465177808,0.015974741344309405,0.016893003878022856,0,0,0,0,0,0.0050044784468497791,0,0,0,0,0.010179895755939229,0,0.0088199134514902137,0,0
4,0,0,0,0,0,19.492467439136924,54.161000596509119,142.44023425318818,406.22264383091334,524.33835574157615,499.73290458935782,329.9211671932872,191.79199787834727,146.75496678739262,112.23289813022011,68.133894810796448,44.518788844936125,27.433230564828541,20.050814279065793,11.41061921597629,8.7144199992284648,6.3668881825715076,5.6947133987162948,3.9006260521427274,2.6281581167429828,1.2442684058702906,1.5139048475020758,1.2132489015985455,1.0062348527120164,0.64578073085233112,0.88168015965228563,0.88004191545784538,0.57257727869235142,0.23074270616147841,0.38393392892559225,0.48945118502451473,0.20270253321218237,0.10130964264581563,0.17804214285631634,0.15914123424694124,0.064120456826295691,0.020211678865918001,0.017426784130215034,0.047146599926290979,0.060182721908334173,0.016525636366827318,0.029323611070213314,0.027871808070340204,0,0.010376147485028173,0.026338418148657974,0,0.0089769406201372377,0.013113143206062779,0.025754428557886604,0.011183624841882069,0.012182189889168273,0,0,0
5,0,0,0,0,0,0.00044592232694272909,19.110854122950073,47.763270243590284,77.704334075671611,262.81363799951987,585.25430946225094,719.45256552031219,613.14605532216513,452.18450696180162,328.91531193680339,245.64824426998231,161.17716224966628,115.79817535560348,80.057596148638098,56.875283027642062,29.985981753333856,21.230829483421861,13.137724728049358,9.2307633659489294,7.7778480027722532,3.1285096385489024,2.8036575520150726,2.1298226352923182,2.9709937028152704,1.7306858182471714,0.90348481347840415,1.4710142251208906,0.93372469463722907,0.35367052663499454,0.49152773522922544,0.75135672919426577,0.49017419246844196,0.38682237152084709,0.22268260591536954,0.18988714559888772,0.17229081126025844,0.29557290372916661,0.11459545816455337,0.022046725576244323,0.073275340561449548,0.083263512556994185,0.11328790728399583,0.10318631023730387,0.033404565624600271,0,0,0.01544513536750544,0.034472502415863637,0,0.021189987350736853,0,0,0,0.024378301154109525,0
6,0,0,0,0,0,0,0,10.445616446867064,35.459168136941209,85.60602033667513,146.11821098445822,351.64723935445573,677.18723455639179,755.11817271850623,703.10739943411295,542.76006419482053,416.70553753372116,293.48121857617707,218.91032047508105,150.86352908437581,106.69069456081658,80.438994751780754,44.263242372030462,35.651128784189183,23.113906597434234,19.690434453492937,11.998251426516973,7.7053603565553317,4.2998609315240994,3.0630015546415392,2.8559231651597154,1.8480264122894825,1.3558154313350028,2.05977071462245,0.51941375773335297,0.82439984562742596,0.79948813722570544,0.66785116323332594,0.30837188369734508,0.54952484078577624,0.23004596019166837,0.29839506287289236,0.085770268718993667,0.06594089547384617,0.189822298535269,0.11612445360555992,0.047340087484493761,0.080820879149828564,0.024467354214245757,0,0.017704111704939386,0.019795513865765831,0.022091127184179871,0.01814315128789331,0,0,0.13664371337012934,0,0,0
7,0,0,0,0,0,0,0,0,10.516201111349043,30.167055982543719,44.168245381919377,70.908152172020991,187.32089577905865,392.48855024840225,639.76132973553786,761.31468361750262,761.39632359219127,602.62113797284132,432.51480732416962,316.82909046521064,234.32293710529726,153.24143742171634,118.16645714943799,92.148726668016423,78.088676518135614,36.024131320596908,29.150395968569537,21.735052421367339,15.281090504114093,8.416620317788496,5.4345916465249289,4.4501257957667928,4.5638689883331773,3.447278204340837,1.510244480533663,1.3877722072921008,1.0696834799543702,0.9401029821651512,0.94294568573193849,0.3966072139831569,0.45231467552625282,0.27336074727066206,0.71216342321795489,0.15674968240119264,0.45291814064075975,0.03624330103596296,0.19452167210372692,0.026193830539051364,0.16394850388647894,0.022756511673482097,0.098211343798270442,0.032002179845983879,0.041903291109761577,0.021564259794303535,0.032279558923503267,0.032711009487393465,0,0.027807354402278144,0,0.033284484388578041
8,0,0,0,0,0,0,6.0868783105511648,0,4.133980657088645,5.4219894365471708,12.1447068413403,30.822563965044353,72.21739076586428,158.47332380693169,219.46881801246263,400.12278546280868,603.13934962540316,724.29797179612092,697.5704934984949,599.93652560073144,452.21964125704557,317.02567815625491,243.53539457655717,159.63190192329893,134.33521933373211,91.908287404820371,66.324304963559626,45.844123891940654,26.577646187865021,20.851776332525212,14.199934647488165,9.165441253157649,7.2481393856763177,5.8038529160271413,3.2459520377458633,2.8787497122923855,3.4744020465233922,1.484664480211686,1.0019126833538681,0.79253631457447138,0.69089153571599082,0.81745763076548916,0.63850623141538321,0.31796879950732276,0.3231729107967557,0.37609804006852926,0.39481109577384438,0.059516485738028792,0.066076511850220968,0.13130266291363679,0.087669924989908929,0.13575519474880585,0.089467678457059788,0.0326726701658707,0.027497553730426151,0.065027356268573769,0.083323299098343809,0.063182664682352258,0,0.065990047646448377
9,0,0,0,0,0,0,0,4.1850256438786424,3.9413026804986964,3.1785748965319405,4.5141067836430278,8.2029439485194455,28.659242988006824,43.758886076966071,55.489479747559642,137.13625919483752,220.71303635937292,397.49920982160791,572.0774301610212,658.72181710967232,650.06591698280954,554.55635302591975,466.69679089564778,294.40794314874267,265.39423465877093,160.46153630004977,113.82516747580092,78.562193629853383,58.162666474314946,36.119171755159321,26.287016241869988,14.556448369958455,13.050678404487062,9.5534707018324525,6.9052812007695197,4.9248902735872422,3.7356984266106155,3.3446102811961382,2.1969413348730766,1.0913001581540513,1.4826748824602605,1.2578587426654528,0.61795162824270278,0.33202825164386129,0.23312040734316933,0.42306748607374683,0.23052571620050397,0.14751256016838901,0.22026035806367147,0.25628249804188996,0.080256439807955632,0.1725204655037717,0,0.14409075850610978,0.08480101225430299,0.17741089843279298,0.034099412644617071,0.082822309154009136,0.071078868305113355,0.099135567382019729
