global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.40004164751788418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,6.1517546670131917,3.585743361457562,2.2606380316118622,0.65954936831933475,0.12733904429059845,0.11383376097157975,0.036100705832834909,0.011116624292988689,0.0022377780454941125,0.0054750916767352768,0.0026829563848757799,5.0086127282039097e-05,0.00049445079692536859,0,0,0.0013250656795294308,0,0,0,0,0,0,0,0,0,0,0,0.00011561428999545844,0.00018039517149216953,0,9.2822201290628236e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.937699875655065e-05,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,9.0284240061721786,14.095643915315856,10.042076288970634,4.3141273623537675,1.739369557143621,1.0335295189215727,0.45841811553792183,0.35575516116557165,0.14299388977533403,0.12341621319647482,0.069855195513977397,0.054386462479822137,0.010821801303297908,0.012636311642565389,0.030646996111271921,0.0061063413858439049,0.0087887345561505729,0.0018780842418130426,0.0010522911533714634,0.0038879217485089006,0.0044025318720556667,0.0015929327949241047,0.0020963917288297981,0.0036513256180727288,0.001702055515641675,0.0041112894443138823,0.0026455588847559227,0.0026936951907172045,0.0028795076876664012,0.0025568548719706223,0.00046379394182892387,0.00041546915334506198,0,0.00058779933975726482,0,0.0012922991603181949,0,0,0,0.00038417418144891257,0,0,0,0.0002045429675355054,0,0,0,0.00010718026435300233,0,0,0,0,0,0,0,0
3,0,0,19.119366795217157,0,1.4380609054837852,3.692751511403157,13.34460426083667,19.460199839436392,15.084649749390094,8.2760832622771545,3.5118074276607931,2.1352461238864264,1.4674654792374586,0.7610084253649303,0.45726017194163393,0.31079124578208606,0.18024839363180928,0.09543957613598536,0.071071440239004524,0.053761041816679858,0.029140430498884679,0.040162015866435308,0.0077310663896958563,0.0073229674481996689,0.008292244458627385,0.014496135610366711,0.0027249267464237057,0.0049845153965567606,0.010075903787230309,0.0087618180452981777,0.0038466815097341787,0.004059234016692316,0.011057597478976364,0.0043695333496076971,0.008805289094744732,0,0.0074882853216844845,0.00063441047342359185,0.0012900295309602359,0.0018389698859349306,0.001673811093513946,0,0.00062852116395667847,0.00082927661821057073,0.00086581978298473465,0,0,0,0,0,0.00019328960731618646,0,0,0,0,0.00022289730082275273,0,0.00015570264360770963,0,0
4,0,0,0,0,0,1.4940654987690114,3.6209384263133795,8.6996504930186802,22.012342245534452,24.660982907256635,21.006762729118247,12.515988432572566,6.8269520827202479,4.8423276657677619,3.502842484552037,1.9953497766018959,1.2650791536542245,0.75799448307638706,0.53768788660704947,0.30028616695816873,0.22588899067767523,0.16432129256816455,0.14654290281755691,0.10189571697668749,0.069900634571881698,0.033428801325158797,0.041372312837660644,0.033932057001385837,0.029047807440889618,0.019531480146407914,0.028071284549344454,0.028824672171157858,0.019677758347679222,0.008239305763391604,0.014647914027487269,0.019563228377212544,0.0085907264075639183,0.0044605080905011033,0.008342358413245406,0.0077570863476958086,0.0032090319356491083,0.001009591959057082,0.00090353649820629916,0.0024474620342399998,0.0030845545054242383,0.00082960318339945984,0.0013994851738211079,0.001292455557090347,0,0.00042054703095928625,0.001017277335760786,0,0.00029154322770722873,0.00037282344119986065,0.00064599077946699034,0.00024487478560037611,0.00023968374707559174,0,0,0
5,0,0,0,0,0,3.4179211323357534e-05,1.2776578218889025,2.917179683826125,4.2106328182605948,12.36080207280205,24.601738853217924,27.293368486907134,21.825304421973158,14.920282400151059,10.265604360809899,7.193984296478054,4.580130621194801,3.1995640419540239,2.1468454637747252,1.4967514393188313,0.77727526942004943,0.54794072755352574,0.33807501506578719,0.24113443299667803,0.20686598250457974,0.084051259886926563,0.07661894835928805,0.059566724493515404,0.085766113899627405,0.052344168978454661,0.028765509813860238,0.048181230977117628,0.032089308444605946,0.012628783188518983,0.018752851637549799,0.030031520477872876,0.020774049109376823,0.017031195379769971,0.010434035903739345,0.0092557468948772422,0.0086226259593073333,0.014764138540876532,0.005941496618462409,0.001144483884554236,0.0037555925471362715,0.0041799101435489707,0.005406726553477615,0.0047848966147184058,0.0014751031994863165,0,0,0.00055721739924860839,0.0011195601092560731,0,0.00053150223911321913,0,0,0,0.0003802429315148495,0
6,0,0,0,0,0,0,0,0.6379743247988735,1.9214570054770084,4.026271549971244,6.1422222958802548,13.34019522769194,24.104888903022687,24.915883248954177,21.944318564090882,15.89511616570546,11.841415780253243,8.1090392923859387,5.8703564820112817,3.9701816373909531,2.7655602221578399,2.0760282278363955,1.1390325677806032,0.93131135359608008,0.61475629198372861,0.52900774322199928,0.32789076033531078,0.21550295779403794,0.1241276149647174,0.092639732334438174,0.090928020714314148,0.060529793595310799,0.046595297114819037,0.073549803599760544,0.019816764017870317,0.032951033622158489,0.03388306867289894,0.029404461797061351,0.014449100292209919,0.026785714339531641,0.011513093784125732,0.0149051079871846,0.0044469804451302717,0.0034231066169849059,0.0097289921028956595,0.0058295616727400334,0.002259331240047758,0.0037477796245763361,0.0010804472924449474,0,0.00068379169491352874,0.00071416691991436627,0.00071745138967714843,0.00051583300746953535,0,0,0.002688455649833233,0,0,0
7,0,0,0,0,0,0,0,0,0.56985060163765511,1.418834315287866,1.8566555101307052,2.6899929456183362,6.6678005011816133,12.950554294481236,19.967257400508434,22.295644305941149,21.636406596784841,16.650736663667264,11.598430340018256,8.3377940632208603,6.0739523410657563,3.9549667514295344,3.0407949327614237,2.4071932163731455,2.0769100636382594,0.96783260199021826,0.79662820509707555,0.60788436463302387,0.44113178275822629,0.25455862149954717,0.17302869623294714,0.14575830415606514,0.15684644575486392,0.12309459158879153,0.05761911007253432,0.055468870967068783,0.045334204626637585,0.041391291572432251,0.04418274655876072,0.019331987838001503,0.022636960348842289,0.013654620885139454,0.036923946538667637,0.0081371487478604631,0.023213484651453741,0.0018194493240027854,0.0092836518477966735,0.0012146453418537247,0.007239757743050545,0.00092232530744981484,0.0037932488426865446,0.0011545493775070397,0.0013608891111846018,0.00061309950002856346,0.00080965871104366079,0.00071623481190105274,0,0.00049089808148170043,0,0.0004444861188181127
8,0,0,0,0,0,0,0.40693878119357996,0,0.2240116311638502,0.25501012343242829,0.51051466230820575,1.1692940387262682,2.5706216721844792,5.2289866363991582,6.8497268855741504,11.717881574267969,17.13925822684315,20.012731108262297,18.706233033151296,15.788156302561454,11.722115566752398,8.1820298579351807,6.2669323566156434,4.1700503666306385,3.5728889433858515,2.469229199500881,1.8125246763165774,1.2821651212956595,0.76723872823171768,0.63065687159560524,0.45210318243855946,0.30020256397540923,0.24909674311101848,0.20724260184169976,0.12384012665747805,0.11506282911459313,0.14724846768599137,0.065367498618231101,0.046945709421503383,0.038630922117263551,0.034576999477537174,0.040832760918359592,0.033104999758141691,0.016506313627784548,0.016563631993041412,0.018880491158420137,0.018842572753831759,0.0027598644672234495,0.0029178548566240431,0.0053217193688749886,0.0033861041774305169,0.004897668732095772,0.0029056330944567331,0.00092892582144577397,0.00068971307702783192,0.0014238281549639798,0.0016393801712406926,0.0011153973307481304,0,0.00088124123590322691
9,0,0,0,0,0,0,0,0.25560376670926277,0.21357082086367299,0.149496561398691,0.18975490560465211,0.31118934394579661,1.0201430756785901,1.4438684380655384,1.7318532297002582,4.0161333049916701,6.2719464855731344,10.983110697078967,15.340978182617883,17.33517224679898,16.850545862398768,14.312394708069471,12.009577600323723,7.6907932341511458,7.0586412956603546,4.3109965599040505,3.1106383240519313,2.1972217150905617,1.6790294347696579,1.0924155093780703,0.83693650673707642,0.47677825893343595,0.44851255101017812,0.34113306341703098,0.26345148929022844,0.19684650094385681,0.1583224571277832,0.1472580578633077,0.10294007774988313,0.053193690485769086,0.074203324235340373,0.062831201734859621,0.032039293427364147,0.017236164250739101,0.011948156879177786,0.021238403499191219,0.011001964295414141,0.0068403681472370102,0.0097264177163989517,0.01038717344697161,0.0030997707153359532,0.006224057142769945,0,0.0040966846458680211,0.0021270389239124417,0.0038845594636013631,0.00067090359533844384,0.0014621064657721079,0.0011086595855157922,0.0013238715993926181
