block_row,block_column,row_channel,column_channel,local_row_start_inclusive,local_row_stop_exclusive,local_column_start_inclusive,local_column_stop_exclusive,numerical_block_shape
0,0,nue_cc_fc,nue_cc_fc,0,26,0,26,26x26
0,1,nue_cc_fc,nue_cc_pc,0,26,26,52,26x26
0,2,nue_cc_fc,numu_cc_fc,0,26,52,78,26x26
0,3,nue_cc_fc,numu_cc_pc,0,26,78,104,26x26
1,0,nue_cc_pc,nue_cc_fc,26,52,0,26,26x26
1,1,nue_cc_pc,nue_cc_pc,26,52,26,52,26x26
1,2,nue_cc_pc,numu_cc_fc,26,52,52,78,26x26
1,3,nue_cc_pc,numu_cc_pc,26,52,78,104,26x26
2,0,numu_cc_fc,nue_cc_fc,52,78,0,26,26x26
2,1,numu_cc_fc,nue_cc_pc,52,78,26,52,26x26
2,2,numu_cc_fc,numu_cc_fc,52,78,52,78,26x26
2,3,numu_cc_fc,numu_cc_pc,52,78,78,104,26x26
3,0,numu_cc_pc,nue_cc_fc,78,104,0,26,26x26
3,1,numu_cc_pc,nue_cc_pc,78,104,26,52,26x26
3,2,numu_cc_pc,numu_cc_fc,78,104,52,78,26x26
3,3,numu_cc_pc,numu_cc_pc,78,104,78,104,26x26
