energy_low_GeV,energy_high_GeV,energy_center_GeV,no_oscillation_exposure_weighted_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p018_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p0045_flux_per_POT_per_cm2_per_100MeV
0.0,0.1,0.05,1.8607228796396319e-10,1.5812399621049697e-10,7.1102707793771612e-11
0.1,0.2,0.15,1.8800087709461646e-12,1.8544554461138352e-12,1.5465899619827679e-12
0.2,0.3,0.25,8.6767549793844844e-13,9.0504795550823053e-13,6.0027385569135948e-13
0.3,0.4,0.35,7.366008981979184e-13,7.3512194267943251e-13,7.2230160475261455e-13
0.4,0.5,0.45,7.2386878004650121e-13,6.870394726756174e-13,4.848750832397729e-13
0.5,0.6,0.55,6.7574181945016673e-13,6.0939152757704562e-13,3.0276141815078532e-13
0.6,0.7,0.65,6.2999624393514689e-13,5.56241567450601e-13,2.4136662185707731e-13
0.7,0.8,0.75,5.5774915031847891e-13,4.9315164201233195e-13,2.2446319260049987e-13
0.8,0.9,0.85,4.9868693626648329e-13,4.4527940058312321e-13,2.2597631539359431e-13
0.9,1.0,0.95,4.5747303805146987e-13,4.1262549309756978e-13,2.3313589891209216e-13
1.0,1.1,1.05,3.9456843225013286e-13,3.6018235603849519e-13,2.2326501235476141e-13
1.1,1.2,1.15,3.2765874781934468e-13,3.0320522497646034e-13,2.0283587795615662e-13
1.2,1.3,1.25,2.6992222583498597e-13,2.5284707772643608e-13,1.7974524053722994e-13
1.3,1.4,1.35,2.1764595078076181e-13,2.0652232645889721e-13,1.5423964014722701e-13
1.4,1.5,1.45,2.0285215127788476e-13,1.932169332358584e-13,1.4981980204448869e-13
1.5,1.6,1.55,1.4187655623583224e-13,1.3651878817676088e-13,1.0936936015886104e-13
1.6,1.7,1.65,1.251558149040136e-13,1.2091307462204502e-13,9.9395809119544993e-14
1.7,1.8,1.75,9.4447478281528961e-14,9.1843537545998454e-14,7.7191772132998219e-14
1.8,1.9,1.85,8.0928933080639152e-14,7.8906687671175188e-14,6.753115516333811e-14
1.9,2.0,1.95,6.9058864713060978e-14,6.7400931716913015e-14,5.8570706326007102e-14
2.0,2.1,2.05,4.9721242935300789e-14,4.857711115987191e-14,4.2772140047663124e-14
2.1,2.2,2.15,4.9721242935300789e-14,4.8672889346752999e-14,4.3353867161027101e-14
2.2,2.3,2.25,4.9721242935300789e-14,4.8757474002540693e-14,4.3867608225130952e-14
2.3,2.4,2.35,4.9721242935300789e-14,4.8832485541008211e-14,4.4323205132554959e-14
2.4,2.5,2.45,4.9721242935300789e-14,4.889927350047562e-14,4.472885456207136e-14
2.5,2.6,2.55,2.713015151073176e-14,2.6707795119210883e-14,2.4597481664853249e-14
2.6,2.7,2.65,2.713015151073176e-14,2.6737462585659623e-14,2.4775383311866949e-14
2.7,2.8,2.75,2.713015151073176e-14,2.6764165904085216e-14,2.4935510376874451e-14
2.8,2.9,2.85,2.713015151073176e-14,2.678827964637977e-14,2.508010898886842e-14
2.9,3.0,2.95,2.713015151073176e-14,2.6810122301583157e-14,2.5211088974724382e-14
3.0,3.1,3.05,1.0381147973575604e-14,1.0293246660753053e-14,9.7193270475850394e-15
3.1,3.2,3.15,1.0381147973575604e-14,1.0298540166799061e-14,9.7591825737496465e-15
3.2,3.3,3.25,1.0381147973575604e-14,1.0303375299737764e-14,9.7955869465175428e-15
3.3,3.4,3.35,1.0381147973575604e-14,1.030780282537539e-14,9.8289223885405655e-15
3.4,3.5,3.45,1.0381147973575604e-14,1.031186676627064e-14,9.8595203516437681e-15
3.5,3.6,3.55,1.0381147973575604e-14,1.0315605432701506e-14,9.887669279114697e-15
3.6,3.7,3.65,1.0381147973575604e-14,1.0319052277425851e-14,9.9136210413121377e-15
3.7,3.8,3.75,1.0381147973575604e-14,1.032223660714968e-14,9.9375962924069506e-15
3.8,3.9,3.85,1.0381147973575604e-14,1.0325184177025472e-14,9.9597889464410993e-15
3.9,4.0,3.95,1.0381147973575604e-14,1.0327917689301429e-14,9.9803699317254771e-15
4.0,4.1,4.05,2.5177802157468971e-15,2.5167376250944586e-15,2.436466944231648e-15
4.1,4.2,4.15,2.5177802157468971e-15,2.5167862331980874e-15,2.4402579660664917e-15
4.2,4.3,4.25,2.5177802157468971e-15,2.5168315425653236e-15,2.4437917143038511e-15
4.3,4.4,4.35,2.5177802157468971e-15,2.5168738430224088e-15,2.4470907929442876e-15
4.4,4.5,4.45,2.5177802157468971e-15,2.5169133934750166e-15,2.4501753944451811e-15
4.5,4.6,4.55,2.5177802157468971e-15,2.5169504257548889e-15,2.4530635997260458e-15
4.6,4.7,4.65,2.5177802157468971e-15,2.5169851479238983e-15,2.4557716358566625e-15
4.7,4.8,4.75,2.5177802157468971e-15,2.5170177471205051e-15,2.4583140980576453e-15
4.8,4.9,4.85,2.5177802157468971e-15,2.517048392019101e-15,2.4607041415078117e-15
4.9,5.0,4.95,2.5177802157468971e-15,2.5170772349607861e-15,2.4629536475272142e-15
