energy_low_GeV,energy_high_GeV,energy_center_GeV,no_oscillation_exposure_weighted_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p018_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p0045_flux_per_POT_per_cm2_per_100MeV
0.0,0.1,0.05,1.9441633762242868e-11,1.7118168003889727e-11,8.025809128589919e-12
0.1,0.2,0.15,8.7505685159184306e-13,9.2346795933859339e-13,7.8017086125008404e-13
0.2,0.3,0.25,6.8781918214179614e-13,7.3902947953453852e-13,4.9743054932144507e-13
0.3,0.4,0.35,6.2957003893373365e-13,6.2900641420696112e-13,6.180489192222595e-13
0.4,0.5,0.45,5.8140280196785008e-13,5.5758900803020969e-13,3.9521297287564912e-13
0.5,0.6,0.55,5.714642620002049e-13,5.1720651461232341e-13,2.578942386118556e-13
0.6,0.7,0.65,5.5669361183082067e-13,4.9008532922835949e-13,2.1184736761356551e-13
0.7,0.8,0.75,4.9338336460437978e-13,4.3371785099426616e-13,1.96036787517169e-13
0.8,0.9,0.85,4.2859606389562869e-13,3.8106976248692392e-13,1.9258991215017254e-13
0.9,1.0,0.95,3.763168435714804e-13,3.3753794197601012e-13,1.8988998915784759e-13
1.0,1.1,1.05,3.3876746076785793e-13,3.0781582988808737e-13,1.9026171997030653e-13
1.1,1.2,1.15,2.8122804661155079e-13,2.5928710756553933e-13,1.7314054322061384e-13
1.2,1.3,1.25,2.1983804667094477e-13,2.0550822812832189e-13,1.4597046666381364e-13
1.3,1.4,1.35,1.941076536424379e-13,1.8320315102107762e-13,1.3657481022412603e-13
1.4,1.5,1.45,1.4263402964202639e-13,1.3646042748945021e-13,1.059460471501988e-13
1.5,1.6,1.55,1.2111972274727153e-13,1.1657328104313068e-13,9.3395870472147739e-14
1.6,1.7,1.65,9.9436876895684597e-14,9.6117435611709718e-14,7.9021868118143411e-14
1.7,1.8,1.75,7.8247681646728064e-14,7.5906722474706325e-14,6.3768053486831428e-14
1.8,1.9,1.85,6.1643255272556255e-14,6.0037286052970607e-14,5.1372586945382585e-14
1.9,2.0,1.95,5.3911993433650164e-14,5.2595078710269698e-14,4.5701611010356353e-14
2.0,2.1,2.05,3.3865532521009756e-14,3.3098012046134943e-14,2.9144200226912372e-14
2.1,2.2,2.15,3.3865532521009756e-14,3.3162263141206629e-14,2.9539434986144883e-14
2.2,2.3,2.25,3.3865532521009756e-14,3.3219005254808849e-14,2.9888478929798733e-14
2.3,2.4,2.35,3.3865532521009756e-14,3.3269325412733056e-14,3.019801879802238e-14
2.4,2.5,2.45,3.3865532521009756e-14,3.331412892878533e-14,3.0473623546236005e-14
2.5,2.6,2.55,1.6623845951228332e-14,1.634288371124935e-14,1.504980115105175e-14
2.6,2.7,2.65,1.6623845951228332e-14,1.6362619266328612e-14,1.5160366356730038e-14
2.7,2.8,2.75,1.6623845951228332e-14,1.6380382994569377e-14,1.5259884726427044e-14
2.8,2.9,2.85,1.6623845951228332e-14,1.6396424070744306e-14,1.53497522208785e-14
2.9,3.0,2.95,1.6623845951228332e-14,1.641095436188287e-14,1.5431155790317007e-14
3.0,3.1,3.05,6.525403855298247e-15,6.4558346041728476e-15,6.0950790050877945e-15
3.1,3.2,3.15,6.525403855298247e-15,6.460024134904792e-15,6.120993603211408e-15
3.2,3.3,3.25,6.525403855298247e-15,6.4638508875076391e-15,6.1446642150689937e-15
3.3,3.4,3.35,6.525403855298247e-15,6.4673550404384374e-15,6.1663393669596449e-15
3.4,3.5,3.45,6.525403855298247e-15,6.4705714352296203e-15,6.1862345733093412e-15
3.5,3.6,3.55,6.525403855298247e-15,6.4735303924448322e-15,6.2045373838156477e-15
3.6,3.7,3.65,6.525403855298247e-15,6.4762583881768458e-15,6.2214115679668901e-15
3.7,3.8,3.75,6.525403855298247e-15,6.4787786171371372e-15,6.2370005980669745e-15
3.8,3.9,3.85,6.525403855298247e-15,6.4811114631699664e-15,6.2514305596290458e-15
3.9,4.0,3.95,6.525403855298247e-15,6.4832748939069378e-15,6.264812592535345e-15
4.0,4.1,4.05,1.9420513890841102e-15,1.9319634684209297e-15,1.8700479023610442e-15
4.1,4.2,4.15,1.9420513890841102e-15,1.9324337917370333e-15,1.8734048794604203e-15
4.2,4.3,4.25,1.9420513890841102e-15,1.9328721970698627e-15,1.8765340389389397e-15
4.3,4.4,4.35,1.9420513890841102e-15,1.9332814887262691e-15,1.8794553968016656e-15
4.4,4.5,4.45,1.9420513890841102e-15,1.9336641718312376e-15,1.8821868336148294e-15
4.5,4.6,4.55,1.9420513890841102e-15,1.9340224895472682e-15,1.884744360162697e-15
4.6,4.7,4.65,1.9420513890841102e-15,1.9343584550437936e-15,1.8871423456322627e-15
4.7,4.8,4.75,1.9420513890841102e-15,1.9346738790390976e-15,1.8893937141963486e-15
4.8,4.9,4.85,1.9420513890841102e-15,1.9349703935964089e-15,1.8915101148604062e-15
4.9,5.0,4.95,1.9420513890841102e-15,1.9352494727409597e-15,1.893502068618793e-15
