energy_low_GeV,energy_high_GeV,energy_center_GeV,no_oscillation_exposure_weighted_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p018_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p0045_flux_per_POT_per_cm2_per_100MeV
0.0,0.1,0.05,3.7732942151285485e-10,3.539656941450446e-10,3.7285901489909363e-10
0.1,0.2,0.15,7.843764537294174e-11,7.670088331407115e-11,7.8076094799050498e-11
0.2,0.3,0.25,6.5937091006790547e-11,6.2803997078534381e-11,6.5283669565212433e-11
0.3,0.4,0.35,2.6759879399829712e-11,2.6696914654246015e-11,2.6746779582344567e-11
0.4,0.5,0.45,1.8236460586852121e-11,1.7548288815401419e-11,1.8093580884629008e-11
0.5,0.6,0.55,1.317109676971848e-11,1.2363966852846659e-11,1.3003848653720126e-11
0.6,0.7,0.65,1.0405281769577247e-11,9.7032396764140487e-12,1.0260037856521233e-11
0.7,0.8,0.75,8.6372522070633007e-12,8.0756651845451058e-12,8.5211465041921492e-12
0.8,0.9,0.85,7.463709821971835e-12,7.0207548008514878e-12,7.3721657694050877e-12
0.9,1.0,0.95,6.3643497695459716e-12,6.0274364946668895e-12,6.2947812252262305e-12
1.0,1.1,1.05,5.4048347470027543e-12,5.1517959090318268e-12,5.352595287953865e-12
1.1,1.2,1.15,4.8983871423270759e-12,4.6958899070204576e-12,4.8565382515852812e-12
1.2,1.3,1.25,4.4875940514542007e-12,4.3235275038924583e-12,4.4536483940195868e-12
1.3,1.4,1.35,4.3737440601678259e-12,4.2318455153084977e-12,4.3443330721858048e-12
1.4,1.5,1.45,3.7632125252772896e-12,3.6545005218203534e-12,3.7406958972075716e-12
1.5,1.6,1.55,3.2156239287620512e-12,3.1324970654377422e-12,3.198377903393861e-12
1.6,1.7,1.65,2.8400966503853216e-12,2.7741342738124623e-12,2.8264115537651504e-12
1.7,1.8,1.75,2.4495166783450994e-12,2.3981698780645462e-12,2.4388538932030578e-12
1.8,1.9,1.85,2.0982422802916826e-12,2.0583896754507681e-12,2.0899664212924365e-12
1.9,2.0,1.95,1.6755607864134605e-12,1.6466143782931123e-12,1.6695524211106772e-12
2.0,2.1,2.05,1.1289884590481361e-12,1.1111820954773384e-12,1.1252941876802795e-12
2.1,2.2,2.15,1.1289884590481361e-12,1.1126727115535484e-12,1.1256034445517853e-12
2.2,2.3,2.25,1.1289884590481361e-12,1.1139891203499924e-12,1.1258765587845576e-12
2.3,2.4,2.35,1.1289884590481361e-12,1.1151565407071948e-12,1.1261187625103617e-12
2.4,2.5,2.45,1.1289884590481361e-12,1.1161959757740017e-12,1.1263344132349345e-12
2.5,2.6,2.55,6.0226295409012599e-13,5.9593462388688945e-13,6.0095024492486801e-13
2.6,2.7,2.65,6.0226295409012599e-13,5.9637914308382864e-13,6.0104245320180919e-13
2.7,2.8,2.75,6.0226295409012599e-13,5.9677924929723502e-13,6.0112544872772966e-13
2.8,2.9,2.85,6.0226295409012599e-13,5.9714055488355815e-13,6.0120039569468499e-13
2.9,3.0,2.95,6.0226295409012599e-13,5.9746783188804417e-13,6.0126828398584085e-13
3.0,3.1,3.05,3.1173498758927364e-13,3.0940568461257454e-13,3.1125084893994618e-13
3.1,3.2,3.15,3.1173498758927364e-13,3.0954595759592612e-13,3.1128000425953154e-13
3.2,3.3,3.25,3.1173498758927364e-13,3.0967408411855934e-13,3.1130663497362546e-13
3.3,3.4,3.35,3.1173498758927364e-13,3.097914094270899e-13,3.1133102068770919e-13
3.4,3.5,3.45,3.1173498758927364e-13,3.0989910007834947e-13,3.1135340386712699e-13
3.5,3.6,3.55,3.1173498758927364e-13,3.0999817125904816e-13,3.1137399551539709e-13
3.6,3.7,3.65,3.1173498758927364e-13,3.1008950943613378e-13,3.1139297988202033e-13
3.7,3.8,3.75,3.1173498758927364e-13,3.1017389121003829e-13,3.1141051838107132e-13
3.8,3.9,3.85,3.1173498758927364e-13,3.102519990683314e-13,3.1142675286554762e-13
3.9,4.0,3.95,3.1173498758927364e-13,3.1032443459946026e-13,3.1144180837380669e-13
4.0,4.1,4.05,1.3442634051831397e-13,1.3384672621240064e-13,1.3430557260615423e-13
4.1,4.2,4.15,1.3442634051831397e-13,1.3387374923642314e-13,1.3431120309898049e-13
4.2,4.3,4.25,1.3442634051831397e-13,1.338989383721411e-13,1.3431645148449953e-13
4.3,4.4,4.35,1.3442634051831397e-13,1.3392245474456958e-13,1.3432135133457357e-13
4.4,4.5,4.45,1.3442634051831397e-13,1.3394444228884921e-13,1.3432593263939831e-13
4.5,4.6,4.55,1.3442634051831397e-13,1.3396502988873306e-13,1.3433022225307583e-13
4.6,4.7,4.65,1.3442634051831397e-13,1.3398433321343011e-13,1.3433424427633791e-13
4.7,4.8,4.75,1.3442634051831397e-13,1.3400245630006123e-13,1.3433802038626481e-13
4.8,4.9,4.85,1.3442634051831397e-13,1.3401949292089389e-13,1.3434157012116133e-13
4.9,5.0,4.95,1.3442634051831397e-13,1.3403552776792182e-13,1.3434491112737465e-13
