energy_low_GeV,energy_high_GeV,energy_center_GeV,no_oscillation_exposure_weighted_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p018_flux_per_POT_per_cm2_per_100MeV,paper_sin2_theta24_0p0045_flux_per_POT_per_cm2_per_100MeV
0.0,0.1,0.05,2.5207002480027202e-10,2.361679433355887e-10,2.4878938115493031e-10
0.1,0.2,0.15,9.7885413298796009e-11,9.5716594423056889e-11,9.7432774758920122e-11
0.2,0.3,0.25,6.2511004625970864e-11,5.9540421992142812e-11,6.1891250879478179e-11
0.3,0.4,0.35,2.9578875406720778e-11,2.950925841493975e-11,2.9564376320119897e-11
0.4,0.5,0.45,1.8088897511699144e-11,1.740606527101051e-11,1.7946945027102635e-11
0.5,0.6,0.55,1.1819427520763817e-11,1.1095033318006004e-11,1.1669247956278789e-11
0.6,0.7,0.65,8.7159764826657168e-12,8.1279983482218379e-12,8.5943999268503471e-12
0.7,0.8,0.75,6.7676983251055105e-12,6.3278310609466311e-12,6.67688688432245e-12
0.8,0.9,0.85,5.7987232519536633e-12,5.4546901697837475e-12,5.7277092183465138e-12
0.9,1.0,0.95,4.4335754229687542e-12,4.1990083338132953e-12,4.3852477879268713e-12
1.0,1.1,1.05,3.9543449991917136e-12,3.7693182115848657e-12,3.9162292749289381e-12
1.1,1.2,1.15,3.6859712864436518e-12,3.5336585253052879e-12,3.6545442715877543e-12
1.2,1.3,1.25,3.3946217412222474e-12,3.2705397289756434e-12,3.3689691318022219e-12
1.3,1.4,1.35,3.2180900252485719e-12,3.1137336328061943e-12,3.1964991261161876e-12
1.4,1.5,1.45,3.1145456912662848e-12,3.024540016280177e-12,3.0958778514983887e-12
1.5,1.6,1.55,2.7691001180811145e-12,2.6975150975574536e-12,2.7542476758082328e-12
1.6,1.7,1.65,2.3063327758155996e-12,2.2527650113156723e-12,2.2952173708749901e-12
1.7,1.8,1.75,1.8320644126682528e-12,1.7936677359013603e-12,1.8240964882175435e-12
1.8,1.9,1.85,1.5204012428680491e-12,1.4915262941001061e-12,1.5144070281670642e-12
1.9,2.0,1.95,1.2785702713253273e-12,1.2564830662406194e-12,1.2739863999702791e-12
2.0,2.1,2.05,7.8574629715164288e-13,7.7335301829284322e-13,7.8317466359369266e-13
2.1,2.2,2.15,7.8574629715164288e-13,7.7439049125190231e-13,7.8338994159295149e-13
2.2,2.3,2.25,7.8574629715164288e-13,7.7530671545689743e-13,7.8358006019990113e-13
2.3,2.4,2.35,7.8574629715164288e-13,7.7611924329138318e-13,7.8374866157406037e-13
2.4,2.5,2.45,7.8574629715164288e-13,7.7684269300571344e-13,7.8389877903563429e-13
2.5,2.6,2.55,3.2153942003659566e-13,3.1816181520637388e-13,3.2083958223275755e-13
2.6,2.7,2.65,3.2153942003659566e-13,3.1839906739431126e-13,3.2088874075144397e-13
2.7,2.8,2.75,3.2153942003659566e-13,3.1861261514476086e-13,3.209329877241366e-13
2.8,2.9,2.85,3.2153942003659566e-13,3.1880545392756117e-13,3.2097294381048584e-13
2.9,3.0,2.95,3.2153942003659566e-13,3.189801307152243e-13,3.2100913674175055e-13
3.0,3.1,3.05,1.5279251553232082e-13,1.5165131721232114e-13,1.5255569853098486e-13
3.1,3.2,3.15,1.5279251553232082e-13,1.5172004133045582e-13,1.5256995989054951e-13
3.2,3.3,3.25,1.5279251553232082e-13,1.517828145179025e-13,1.5258298633630824e-13
3.3,3.4,3.35,1.5279251553232082e-13,1.518402958530177e-13,1.5259491463761769e-13
3.4,3.5,3.45,1.5279251553232082e-13,1.5189305686844874e-13,1.5260586339669208e-13
3.5,3.6,3.55,1.5279251553232082e-13,1.5194159493588974e-13,1.5261593582615554e-13
3.6,3.7,3.65,1.5279251553232082e-13,1.5198634436320115e-13,1.5262522205187256e-13
3.7,3.8,3.75,1.5279251553232082e-13,1.5202768563120352e-13,1.5263380102973142e-13
3.8,3.9,3.85,1.5279251553232082e-13,1.5206595311188528e-13,1.5264174214729605e-13
3.9,4.0,3.95,1.5279251553232082e-13,1.5210144154222668e-13,1.5264910656722919e-13
4.0,4.1,4.05,5.5155246961082266e-14,5.491760457894783e-14,5.5105869662019352e-14
4.1,4.2,4.15,5.5155246961082266e-14,5.4928684042887328e-14,5.5108171751400399e-14
4.2,4.3,4.25,5.5155246961082266e-14,5.4939011610987096e-14,5.5110317611974919e-14
4.3,4.4,4.35,5.5155246961082266e-14,5.4948653344646973e-14,5.5112320969970788e-14
4.4,4.5,4.45,5.5155246961082266e-14,5.49576682574029e-14,5.5114194087211811e-14
4.5,4.6,4.55,5.5155246961082266e-14,5.4966109191708553e-14,5.5115947943295208e-14
4.6,4.7,4.65,5.5155246961082266e-14,5.4974023572042712e-14,5.5117592392072188e-14
4.7,4.8,4.75,5.5155246961082266e-14,5.4981454053717698e-14,5.5119136296457223e-14
4.8,4.9,4.85,5.5155246961082266e-14,5.4988439083446752e-14,5.5120587644902724e-14
4.9,5.0,4.95,5.5155246961082266e-14,5.4995013385022833e-14,5.5121953652313265e-14
