energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,2.2574707493112035e-10,false,direct New Flux vector path from PDF page 4
0.1,0.2,0.15,2.2451629078373276e-12,false,direct New Flux vector path from PDF page 4
0.2,0.3,0.25,1.1364801341627789e-12,false,direct New Flux vector path from PDF page 4
0.3,0.4,0.35,9.4395032646708602e-13,false,direct New Flux vector path from PDF page 4
0.4,0.5,0.45,8.8224651921569926e-13,false,direct New Flux vector path from PDF page 4
0.5,0.6,0.55,8.5125061365458266e-13,false,direct New Flux vector path from PDF page 4
0.6,0.7,0.65,8.2792200552918007e-13,false,direct New Flux vector path from PDF page 4
0.7,0.8,0.75,7.5735754868175947e-13,false,direct New Flux vector path from PDF page 4
0.8,0.9,0.85,6.9916093023048097e-13,false,direct New Flux vector path from PDF page 4
0.9,1.0,0.95,6.1325195281372993e-13,false,direct New Flux vector path from PDF page 4
1.0,1.1,1.05,5.085072002837884e-13,false,direct New Flux vector path from PDF page 4
1.1,1.2,1.15,3.9689567272206473e-13,false,direct New Flux vector path from PDF page 4
1.2,1.3,1.25,3.250673636583954e-13,false,direct New Flux vector path from PDF page 4
1.3,1.4,1.35,2.6305827006492783e-13,false,direct New Flux vector path from PDF page 4
1.4,1.5,1.45,2.2469879437662082e-13,false,direct New Flux vector path from PDF page 4
1.5,1.6,1.55,1.5835981812901936e-13,false,direct New Flux vector path from PDF page 4
1.6,1.7,1.65,1.2600432873572043e-13,false,direct New Flux vector path from PDF page 4
1.7,1.8,1.75,9.8557957885188692e-14,false,direct New Flux vector path from PDF page 4
1.8,1.9,1.85,7.6106187438190816e-14,false,direct New Flux vector path from PDF page 4
1.9,2.0,1.95,6.1659789575936738e-14,false,direct New Flux vector path from PDF page 4
2.0,2.1,2.05,4.2151178512886322e-14,false,direct New Flux vector path from PDF page 4
2.1,2.2,2.15,4.2151178512886322e-14,false,direct New Flux vector path from PDF page 4
2.2,2.3,2.25,4.2151178512886322e-14,false,direct New Flux vector path from PDF page 4
2.3,2.4,2.35,4.2151178512886322e-14,false,direct New Flux vector path from PDF page 4
2.4,2.5,2.45,4.2151178512886322e-14,false,direct New Flux vector path from PDF page 4
2.5,2.6,2.55,2.0835273588693741e-14,false,direct New Flux vector path from PDF page 4
2.6,2.7,2.65,2.0835273588693741e-14,false,direct New Flux vector path from PDF page 4
2.7,2.8,2.75,2.0835273588693741e-14,false,direct New Flux vector path from PDF page 4
2.8,2.9,2.85,2.0835273588693741e-14,false,direct New Flux vector path from PDF page 4
2.9,3.0,2.95,2.0835273588693741e-14,false,direct New Flux vector path from PDF page 4
3.0,3.1,3.05,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.1,3.2,3.15,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.2,3.3,3.25,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.3,3.4,3.35,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.4,3.5,3.45,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.5,3.6,3.55,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.6,3.7,3.65,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.7,3.8,3.75,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.8,3.9,3.85,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
3.9,4.0,3.95,8.2403375958815849e-15,false,direct New Flux vector path from PDF page 4
4.0,4.1,4.05,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.1,4.2,4.15,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.2,4.3,4.25,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.3,4.4,4.35,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.4,4.5,4.45,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.5,4.6,4.55,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.6,4.7,4.65,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.7,4.8,4.75,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.8,4.9,4.85,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
4.9,5.0,4.95,1.4817439809091693e-15,false,direct New Flux vector path from PDF page 4
