energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,1.0886616813912518e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.1,0.2,0.15,7.1609582477470936e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.2,0.3,0.25,5.6898521066952932e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.3,0.4,0.35,5.4047333669939774e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.4,0.5,0.45,5.231125535950332e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.5,0.6,0.55,4.8769889968713519e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.6,0.7,0.65,4.48795009634753e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.7,0.8,0.75,4.0404621486702681e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.8,0.9,0.85,3.5527279014288715e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.9,1.0,0.95,3.086484849931781e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.0,1.1,1.05,2.7825333586322894e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.1,1.2,1.15,2.1090390972078379e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.2,1.3,1.25,2.0018303989112146e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.3,1.4,1.35,1.5581673204775251e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.4,1.5,1.45,1.2964322701096925e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.5,1.6,1.55,1.0419094961562804e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.6,1.7,1.65,1.0124678446911839e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.7,1.8,1.75,7.3275035216329398e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.8,1.9,1.85,6.8402748517706429e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.9,2.0,1.95,5.469145408457684e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.0,2.1,2.05,4.0780632115940185e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.1,2.2,2.15,4.0780632115940185e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.2,2.3,2.25,4.0780632115940185e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.3,2.4,2.35,4.0780632115940185e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.4,2.5,2.45,4.0780632115940185e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.5,2.6,2.55,2.0625886898901033e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.6,2.7,2.65,2.0625886898901033e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.7,2.8,2.75,2.0625886898901033e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.8,2.9,2.85,2.0625886898901033e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.9,3.0,2.95,2.0625886898901033e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.0,3.1,3.05,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.1,3.2,3.15,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.2,3.3,3.25,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.3,3.4,3.35,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.4,3.5,3.45,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.5,3.6,3.55,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.6,3.7,3.65,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.7,3.8,3.75,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.8,3.9,3.85,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.9,4.0,3.95,7.3801866008045533e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.0,4.1,4.05,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.1,4.2,4.15,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.2,4.3,4.25,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.3,4.4,4.35,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.4,4.5,4.45,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.5,4.6,4.55,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.6,4.7,4.65,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.7,4.8,4.75,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.8,4.9,4.85,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.9,5.0,4.95,1.3576850177405232e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
