energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,3.9427821454080616e-10,false,direct New Flux vector path from PDF page 4
0.1,0.2,0.15,1.2216669684400801e-10,false,direct New Flux vector path from PDF page 4
0.2,0.3,0.25,9.731267793257707e-11,false,direct New Flux vector path from PDF page 4
0.3,0.4,0.35,3.5994313671885619e-11,false,direct New Flux vector path from PDF page 4
0.4,0.5,0.45,2.244489719046576e-11,false,direct New Flux vector path from PDF page 4
0.5,0.6,0.55,1.4100906001014682e-11,false,direct New Flux vector path from PDF page 4
0.6,0.7,0.65,1.0730439236838986e-11,false,direct New Flux vector path from PDF page 4
0.7,0.8,0.75,8.6200014229203113e-12,false,direct New Flux vector path from PDF page 4
0.8,0.9,0.85,7.498500519872113e-12,false,direct New Flux vector path from PDF page 4
0.9,1.0,0.95,6.5748158277484926e-12,false,direct New Flux vector path from PDF page 4
1.0,1.1,1.05,6.021765810293705e-12,false,direct New Flux vector path from PDF page 4
1.1,1.2,1.15,5.843922975685297e-12,false,direct New Flux vector path from PDF page 4
1.2,1.3,1.25,5.9512060532024065e-12,false,direct New Flux vector path from PDF page 4
1.3,1.4,1.35,6.1095479389308835e-12,false,direct New Flux vector path from PDF page 4
1.4,1.5,1.45,5.8656379475425882e-12,false,direct New Flux vector path from PDF page 4
1.5,1.6,1.55,5.1652037379468706e-12,false,direct New Flux vector path from PDF page 4
1.6,1.7,1.65,4.4353471078601533e-12,false,direct New Flux vector path from PDF page 4
1.7,1.8,1.75,3.6513818953874022e-12,false,direct New Flux vector path from PDF page 4
1.8,1.9,1.85,2.8494116376350455e-12,false,direct New Flux vector path from PDF page 4
1.9,2.0,1.95,2.3194118829917538e-12,false,direct New Flux vector path from PDF page 4
2.0,2.1,2.05,1.3528819944656689e-12,false,direct New Flux vector path from PDF page 4
2.1,2.2,2.15,1.3528819944656689e-12,false,direct New Flux vector path from PDF page 4
2.2,2.3,2.25,1.3528819944656689e-12,false,direct New Flux vector path from PDF page 4
2.3,2.4,2.35,1.3528819944656689e-12,false,direct New Flux vector path from PDF page 4
2.4,2.5,2.45,1.3528819944656689e-12,false,direct New Flux vector path from PDF page 4
2.5,2.6,2.55,5.422932025739896e-13,false,direct New Flux vector path from PDF page 4
2.6,2.7,2.65,5.422932025739896e-13,false,direct New Flux vector path from PDF page 4
2.7,2.8,2.75,5.422932025739896e-13,false,direct New Flux vector path from PDF page 4
2.8,2.9,2.85,5.422932025739896e-13,false,direct New Flux vector path from PDF page 4
2.9,3.0,2.95,5.422932025739896e-13,false,direct New Flux vector path from PDF page 4
3.0,3.1,3.05,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.1,3.2,3.15,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.2,3.3,3.25,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.3,3.4,3.35,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.4,3.5,3.45,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.5,3.6,3.55,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.6,3.7,3.65,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.7,3.8,3.75,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.8,3.9,3.85,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
3.9,4.0,3.95,2.2486187883657802e-13,false,direct New Flux vector path from PDF page 4
4.0,4.1,4.05,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.1,4.2,4.15,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.2,4.3,4.25,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.3,4.4,4.35,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.4,4.5,4.45,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.5,4.6,4.55,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.6,4.7,4.65,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.7,4.8,4.75,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.8,4.9,4.85,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
4.9,5.0,4.95,7.7779575720863473e-14,false,direct New Flux vector path from PDF page 4
