energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,2.8672085790665224e-10,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.1,0.2,0.15,6.2525119138539824e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.2,0.3,0.25,3.616471789595892e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.3,0.4,0.35,2.2508198672651178e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.4,0.5,0.45,1.5321543035054128e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.5,0.6,0.55,1.1395140189445468e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.6,0.7,0.65,8.8608064727113141e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.7,0.8,0.75,7.4081303735255288e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.8,0.9,0.85,6.0083511271160179e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
0.9,1.0,0.95,4.648990947355387e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.0,1.1,1.05,4.107171766786166e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.1,1.2,1.15,3.4070019702096685e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.2,1.3,1.25,3.1745374482296001e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.3,1.4,1.35,2.374005774141138e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.4,1.5,1.45,1.9958718795082647e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.5,1.6,1.55,1.8325643774984156e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.6,1.7,1.65,1.6309021195320145e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.7,1.8,1.75,1.2645395170489048e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.8,1.9,1.85,1.1766618107789798e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
1.9,2.0,1.95,8.0431567533987175e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.0,2.1,2.05,6.319787697092282e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.1,2.2,2.15,6.319787697092282e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.2,2.3,2.25,6.319787697092282e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.3,2.4,2.35,6.319787697092282e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.4,2.5,2.45,6.319787697092282e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.5,2.6,2.55,3.8049962376535209e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.6,2.7,2.65,3.8049962376535209e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.7,2.8,2.75,3.8049962376535209e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.8,2.9,2.85,3.8049962376535209e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
2.9,3.0,2.95,3.8049962376535209e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.0,3.1,3.05,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.1,3.2,3.15,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.2,3.3,3.25,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.3,3.4,3.35,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.4,3.5,3.45,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.5,3.6,3.55,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.6,3.7,3.65,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.7,3.8,3.75,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.8,3.9,3.85,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
3.9,4.0,3.95,2.0291242975359834e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.0,4.1,4.05,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.1,4.2,4.15,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.2,4.3,4.25,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.3,4.4,4.35,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.4,4.5,4.45,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.5,4.6,4.55,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.6,4.7,4.65,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.7,4.8,4.75,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
4.8,4.9,4.85,8.3156681626556984e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 6 minus neutrino component from PDF page 4
