energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,1.684135677531476e-10,false,direct New Flux vector path from PDF page 5
0.1,0.2,0.15,1.7174835192662826e-12,false,direct New Flux vector path from PDF page 5
0.2,0.3,0.25,7.480341280582551e-13,false,direct New Flux vector path from PDF page 5
0.3,0.4,0.35,6.4431242434401134e-13,false,direct New Flux vector path from PDF page 5
0.4,0.5,0.45,6.5337695394229165e-13,false,direct New Flux vector path from PDF page 5
0.5,0.6,0.55,5.9762518850369259e-13,false,direct New Flux vector path from PDF page 5
0.6,0.7,0.65,5.4190211883260038e-13,false,direct New Flux vector path from PDF page 5
0.7,0.8,0.75,4.689061059602559e-13,false,direct New Flux vector path from PDF page 5
0.8,0.9,0.85,4.0945862681429927e-13,false,direct New Flux vector path from PDF page 5
0.9,1.0,0.95,3.8813791413994373e-13,false,direct New Flux vector path from PDF page 5
1.0,1.1,1.05,3.4385580139122263e-13,false,direct New Flux vector path from PDF page 5
1.1,1.2,1.15,2.9684231303605307e-13,false,direct New Flux vector path from PDF page 5
1.2,1.3,1.25,2.4537785813323725e-13,false,direct New Flux vector path from PDF page 5
1.3,1.4,1.35,1.9743353121497694e-13,false,direct New Flux vector path from PDF page 5
1.4,1.5,1.45,1.9312850088133749e-13,false,direct New Flux vector path from PDF page 5
1.5,1.6,1.55,1.3454007550880677e-13,false,direct New Flux vector path from PDF page 5
1.6,1.7,1.65,1.2477815267834064e-13,false,direct New Flux vector path from PDF page 5
1.7,1.8,1.75,9.2617958457934767e-14,false,direct New Flux vector path from PDF page 5
1.8,1.9,1.85,8.3075473048665295e-14,false,direct New Flux vector path from PDF page 5
1.9,2.0,1.95,7.2352094687387939e-14,false,direct New Flux vector path from PDF page 5
2.0,2.1,2.05,5.3090577967242501e-14,false,direct New Flux vector path from PDF page 5
2.1,2.2,2.15,5.3090577967242501e-14,false,direct New Flux vector path from PDF page 5
2.2,2.3,2.25,5.3090577967242501e-14,false,direct New Flux vector path from PDF page 5
2.3,2.4,2.35,5.3090577967242501e-14,false,direct New Flux vector path from PDF page 5
2.4,2.5,2.45,5.3090577967242501e-14,false,direct New Flux vector path from PDF page 5
2.5,2.6,2.55,2.9931917984702441e-14,false,direct New Flux vector path from PDF page 5
2.6,2.7,2.65,2.9931917984702441e-14,false,direct New Flux vector path from PDF page 5
2.7,2.8,2.75,2.9931917984702441e-14,false,direct New Flux vector path from PDF page 5
2.8,2.9,2.85,2.9931917984702441e-14,false,direct New Flux vector path from PDF page 5
2.9,3.0,2.95,2.9931917984702441e-14,false,direct New Flux vector path from PDF page 5
3.0,3.1,3.05,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.1,3.2,3.15,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.2,3.3,3.25,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.3,3.4,3.35,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.4,3.5,3.45,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.5,3.6,3.55,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.6,3.7,3.65,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.7,3.8,3.75,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.8,3.9,3.85,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
3.9,4.0,3.95,1.1333994211046352e-14,false,direct New Flux vector path from PDF page 5
4.0,4.1,4.05,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.1,4.2,4.15,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.2,4.3,4.25,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.3,4.4,4.35,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.4,4.5,4.45,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.5,4.6,4.55,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.6,4.7,4.65,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.7,4.8,4.75,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.8,4.9,4.85,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
4.9,5.0,4.95,2.9789061699810303e-15,false,direct New Flux vector path from PDF page 5
