energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,2.3249358068725165e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.1,0.2,0.15,9.4580829127345761e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.2,0.3,0.25,7.4071060297049295e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.3,0.4,0.35,6.6922579657560572e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.4,0.5,0.45,6.0734701656153155e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.5,0.6,0.55,6.0874711112220705e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.6,0.7,0.65,6.047178451782034e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.7,0.8,0.75,5.3314614223314392e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.8,0.9,0.85,4.6123127822488355e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.9,1.0,0.95,4.0643513033754562e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.0,1.1,1.05,3.6570149323986044e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.1,1.2,1.15,3.1252838499645862e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.2,1.3,1.25,2.2858622887930545e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.3,1.4,1.35,2.1115043377417651e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.4,1.5,1.45,1.4841606318301714e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.5,1.6,1.55,1.2865449460355215e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.6,1.7,1.65,9.8631311097104261e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.7,1.8,1.75,8.0460940462570251e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.8,1.9,1.85,5.8634694695235093e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.9,2.0,1.95,5.3565065860694356e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.0,2.1,2.05,3.0787713626156332e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.1,2.2,2.15,3.0787713626156332e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.2,2.3,2.25,3.0787713626156332e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.3,2.4,2.35,3.0787713626156332e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.4,2.5,2.45,3.0787713626156332e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.5,2.6,2.55,1.4842590731743952e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.6,2.7,2.65,1.4842590731743952e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.7,2.8,2.75,1.4842590731743952e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.8,2.9,2.85,1.4842590731743952e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.9,3.0,2.95,1.4842590731743952e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.0,3.1,3.05,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.1,3.2,3.15,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.2,3.3,3.25,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.3,3.4,3.35,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.4,3.5,3.45,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.5,3.6,3.55,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.6,3.7,3.65,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.7,3.8,3.75,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.8,3.9,3.85,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.9,4.0,3.95,6.1449514194370589e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.0,4.1,4.05,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.1,4.2,4.15,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.2,4.3,4.25,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.3,4.4,4.35,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.4,4.5,4.45,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.5,4.6,4.55,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.6,4.7,4.65,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.7,4.8,4.75,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.8,4.9,4.85,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.9,5.0,4.95,2.2021450919364585e-15,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
