energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,3.6978573906688807e-10,false,direct New Flux vector path from PDF page 5
0.1,0.2,0.15,5.8974425932062545e-11,false,direct New Flux vector path from PDF page 5
0.2,0.3,0.25,5.197223439820348e-11,false,direct New Flux vector path from PDF page 5
0.3,0.4,0.35,2.2649755475273037e-11,false,direct New Flux vector path from PDF page 5
0.4,0.5,0.45,1.6363341404896921e-11,false,direct New Flux vector path from PDF page 5
0.5,0.6,0.55,1.2757251042494159e-11,false,direct New Flux vector path from PDF page 5
0.6,0.7,0.65,1.0260558503801793e-11,false,direct New Flux vector path from PDF page 5
0.7,0.8,0.75,8.6449303017396624e-12,false,direct New Flux vector path from PDF page 5
0.8,0.9,0.85,7.4482249448717116e-12,false,direct New Flux vector path from PDF page 5
0.9,1.0,0.95,6.2706741251436931e-12,false,direct New Flux vector path from PDF page 5
1.0,1.1,1.05,5.1302469327056258e-12,false,direct New Flux vector path from PDF page 5
1.1,1.2,1.15,4.4775417136069431e-12,false,direct New Flux vector path from PDF page 5
1.2,1.3,1.25,3.8361598079015309e-12,false,direct New Flux vector path from PDF page 5
1.3,1.4,1.35,3.601160830891783e-12,false,direct New Flux vector path from PDF page 5
1.4,1.5,1.45,2.827450921147648e-12,false,direct New Flux vector path from PDF page 5
1.5,1.6,1.55,2.3478918749630272e-12,false,direct New Flux vector path from PDF page 5
1.6,1.7,1.65,2.1300718802953674e-12,false,direct New Flux vector path from PDF page 5
1.7,1.8,1.75,1.9145824487944795e-12,false,direct New Flux vector path from PDF page 5
1.8,1.9,1.85,1.7639067859827872e-12,false,direct New Flux vector path from PDF page 5
1.9,2.0,1.95,1.3889912231965326e-12,false,direct New Flux vector path from PDF page 5
2.0,2.1,2.05,1.0293364230530494e-12,false,direct New Flux vector path from PDF page 5
2.1,2.2,2.15,1.0293364230530494e-12,false,direct New Flux vector path from PDF page 5
2.2,2.3,2.25,1.0293364230530494e-12,false,direct New Flux vector path from PDF page 5
2.3,2.4,2.35,1.0293364230530494e-12,false,direct New Flux vector path from PDF page 5
2.4,2.5,2.45,1.0293364230530494e-12,false,direct New Flux vector path from PDF page 5
2.5,2.6,2.55,6.2895469320424451e-13,false,direct New Flux vector path from PDF page 5
2.6,2.7,2.65,6.2895469320424451e-13,false,direct New Flux vector path from PDF page 5
2.7,2.8,2.75,6.2895469320424451e-13,false,direct New Flux vector path from PDF page 5
2.8,2.9,2.85,6.2895469320424451e-13,false,direct New Flux vector path from PDF page 5
2.9,3.0,2.95,6.2895469320424451e-13,false,direct New Flux vector path from PDF page 5
3.0,3.1,3.05,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.1,3.2,3.15,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.2,3.3,3.25,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.3,3.4,3.35,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.4,3.5,3.45,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.5,3.6,3.55,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.6,3.7,3.65,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.7,3.8,3.75,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.8,3.9,3.85,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
3.9,4.0,3.95,3.5040105333469302e-13,false,direct New Flux vector path from PDF page 5
4.0,4.1,4.05,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.1,4.2,4.15,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.2,4.3,4.25,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.3,4.4,4.35,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.4,4.5,4.45,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.5,4.6,4.55,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.6,4.7,4.65,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.7,4.8,4.75,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.8,4.9,4.85,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
4.9,5.0,4.95,1.5963906242238154e-13,false,direct New Flux vector path from PDF page 5
