energy_low_GeV,energy_high_GeV,energy_center_GeV,flux_per_POT_per_cm2_per_100MeV,is_censored,derivation
0.0,0.1,0.05,2.3664739966043807e-10,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.1,0.2,0.15,1.1362381012156902e-10,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.2,0.3,0.25,7.4237386580947281e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.3,0.4,0.35,3.2725939617838468e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.4,0.5,0.45,1.9320610197835948e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.5,0.6,0.55,1.2008272171119385e-11,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.6,0.7,0.65,8.6515145795818358e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.7,0.8,0.75,6.4826505347682768e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.8,0.9,0.85,5.7054206716790889e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
0.9,1.0,0.95,4.3376968369700803e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.0,1.1,1.05,3.88632383673638e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.1,1.2,1.15,3.8101368202587784e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.2,1.3,1.25,3.4925783340571256e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.3,1.4,1.35,3.5937807034871407e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.4,1.5,1.45,3.6124525323377737e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.5,1.6,1.55,3.1859397251612747e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.6,1.7,1.65,2.6069579812134961e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.7,1.8,1.75,2.0846621985797545e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.8,1.9,1.85,1.673395094144687e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
1.9,2.0,1.95,1.4896546868795476e-12,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.0,2.1,2.05,8.5418617930809358e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.1,2.2,2.15,8.5418617930809358e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.2,2.3,2.25,8.5418617930809358e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.3,2.4,2.35,8.5418617930809358e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.4,2.5,2.45,8.5418617930809358e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.5,2.6,2.55,2.9529701722090641e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.6,2.7,2.65,2.9529701722090641e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.7,2.8,2.75,2.9529701722090641e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.8,2.9,2.85,2.9529701722090641e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
2.9,3.0,2.95,2.9529701722090641e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.0,3.1,3.05,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.1,3.2,3.15,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.2,3.3,3.25,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.3,3.4,3.35,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.4,3.5,3.45,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.5,3.6,3.55,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.6,3.7,3.65,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.7,3.8,3.75,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.8,3.9,3.85,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
3.9,4.0,3.95,1.3048480804654987e-13,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.0,4.1,4.05,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.1,4.2,4.15,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.2,4.3,4.25,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.3,4.4,4.35,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.4,4.5,4.45,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.5,4.6,4.55,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.6,4.7,4.65,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.7,4.8,4.75,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.8,4.9,4.85,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
4.9,5.0,4.95,4.2692180664888326e-14,false,same-mode neutrino-plus-antineutrino total from PDF page 7 minus neutrino component from PDF page 5
