local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.0079906999411139736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.74996193102358,0.71132062842534627,0.25862119803608596,0.087785888789660343,0.015428041886348175,0.014365976981250981,0.0047754348013935282,0.0016337531545587544,0.00033777427631465361,0.00091053549783458223,0.00044665075878743381,9.0829543598617411e-06,8.5404002948164862e-05,0,0,0.00025691014096323268,0,0,0,0,0,0,0,0,0,0,0,2.6372215850920841e-05,3.1879144878523719e-05,0,1.8538235448795136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4821618607372108e-05,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1.7501678761549282,3.1790473287891237,2.0616142687656587,0.92255382850848811,0.38987354170013955,0.2573777903134285,0.1172481521161504,0.10025161263608368,0.040337280523217479,0.037924212173943275,0.020445066617236465,0.017420238583521153,0.0033138785861747322,0.0041514407298233504,0.01000931025601183,0.0021514887386726543,0.0028925973988520371,0.00066823970912589716,0.00033762369765467991,0.0013416252008490439,0.0013580008152067017,0.00054285096223052941,0.0006370595450241051,0.001233023605528681,0.00059587646708114932,0.0015890875687146232,0.00079219821370521458,0.00091954880510050185,0.00097447217828707043,0.00098920896969706732,0.00015083982319643549,0.00015397107044234999,0,0.00024243032959880468,0,0.00058338234019346814,0,0,0,0.00022473280079656559,0,0,0,0.00022721497805232882,0,0,0,0.00012131827891689265,0,0,0,0,0,0,0,0
3,0,0,4.0907662170311365,0,0.28873625149732079,0.86261783048109142,2.8375653149281459,4.3102486222367258,3.5020585453539685,2.1346629226703109,0.93031752259607814,0.62322429192984918,0.42875905160853228,0.24220889515892222,0.13861475621377378,0.10310704427377941,0.057169541965307512,0.032476056503353029,0.024041835817504052,0.019619229410270011,0.0099337649512303977,0.014800929388683801,0.0025691690296532014,0.0026173214738131659,0.0026492679857945205,0.0051167202639732321,0.0008576669875834383,0.0017434120416869722,0.0036536151334983081,0.0035076825301655129,0.001193050779778997,0.0014352471578149317,0.0038758615150638726,0.0017509482025807759,0.0029661344648724821,0,0.0027796722078593087,0.00027100947496067242,0.00052698588106122744,0.00085984685349846498,0.00065130271536375281,0,0.00032674637261234516,0.0005024513100412532,0.00061288629544934076,0,0,0,0,0,0.00019499549112817095,0,0,0,0,0.00054023104946377125,0,0.00052066810126232086,0,0
4,0,0,0,0,0,0.37496882048826097,0.82721515207875251,2.0702081047252374,5.4904962746393222,6.8339533679724775,5.9788383475743538,3.9248110816179196,2.1430358481773788,1.6558156019785586,1.1408377197972053,0.71120658656353919,0.43109023203474378,0.2771137047350945,0.19541591768687219,0.11773532011958372,0.082731358250296025,0.065061564021513932,0.052320903956906528,0.039127587160044851,0.023993416133288113,0.012677026804771287,0.013990422676158791,0.012751006310816488,0.011316426730620707,0.0084007561690620739,0.0093538878562229744,0.010949748802905753,0.0074103764503058393,0.0035472029232262465,0.0053012730222740286,0.0080677849791332135,0.003426086018478288,0.0020471781400480003,0.0036613845574578392,0.0038967477019564768,0.0013415524580438056,0.00049754131619947882,0.00050465402641339621,0.0015931904680065105,0.0023458596635936332,0.00074038646893196801,0.0014950547051651281,0.0015976493553623565,0,0.00072609394195889134,0.001102586339984492,0,0.00043233811965233962,0.00068032896496386392,0.001413200006497002,0.00063764061801001423,0.00073475634990766256,0,0,0
5,0,0,0,0,0,9.1269594428265653e-06,0.3105635360603437,0.73860789134031646,1.1174581814925386,3.6445746073219611,7.4500990918813104,9.1064541737641136,7.2895623517963593,5.4284195257640286,3.5573479778502293,2.7282538867782109,1.6606071775390869,1.2445757392019974,0.83017381618556363,0.62439539421224188,0.30289248853246487,0.23083560795107086,0.12842870060882611,0.098520119987926272,0.075550720771434168,0.033914029685647516,0.027567398619970207,0.023816424144168589,0.035550871796763694,0.023954664691786556,0.010198598896039454,0.019474047943523188,0.012857708321216653,0.0057848950564502316,0.0072212149193545388,0.013177398350595719,0.0088151172296345396,0.0083167758933567603,0.0048724500045042524,0.0049471342504393521,0.0038354094262795001,0.0077415860125998465,0.0035308759536418939,0.00079268379759891907,0.0030389713885706818,0.0039691140001097101,0.0061455640823820301,0.0062932788110939197,0.0022636965499657595,0,0,0.00074677211967893152,0.0017664711601443938,0,0.0012371460529678521,0,0,0,0.0017053847549379463,0
6,0,0,0,0,0,0,0,0.15015457409160701,0.47402274628710045,1.1035394354193209,1.7290453238204369,4.1375090394056455,7.4839500760859599,8.4266945200979766,7.0688461414890744,5.6035545717801316,3.9909591250905394,2.9321388404453037,2.1101694204684041,1.5395896585309234,1.0018008038787698,0.8129935073208876,0.40222564500704455,0.35370825995633393,0.2087070486161271,0.19841833442406986,0.10966634784943326,0.080095971676320057,0.047828585379489003,0.039409750092840874,0.029967518096145295,0.022742182419981764,0.017355211061227293,0.031318438271687656,0.0070934954293531737,0.013440208273126588,0.013365163523748261,0.013347738973045829,0.0062722082995080317,0.013308529186284538,0.0047604589975661386,0.0072650994042672513,0.0024566112035420565,0.0022039174728723195,0.0073181380212148121,0.0051457316112225107,0.0023872167656902696,0.0045820841670017147,0.0015412886913607506,0,0.00073302743090270764,0.00088970853927764458,0.0010522918800476041,0.00093099649423203942,0,0,0.0081513737265132679,0,0,0
7,0,0,0,0,0,0,0,0,0.14194386440005541,0.39264817325839046,0.52771480802226756,0.84239351323514999,2.090236597810208,4.4223837217831248,6.4942940508926021,7.9360981330540286,7.3628488682130344,6.0790495176623764,4.2095839150948891,3.2646217948848237,2.2215533049594334,1.563809194821169,1.0841961242201061,0.92309916423776694,0.7119326777361934,0.3665279693905466,0.26902149588376112,0.22812113028072981,0.17162263944205178,0.10934056215532481,0.057578225545611948,0.055294680778884872,0.058986088567505604,0.052923024326270232,0.02082481751319764,0.022844064893776786,0.018055297298771773,0.018971014292565487,0.019365088207122721,0.0096981845518563838,0.0094506569553045577,0.0067200605045041927,0.020595219479162305,0.0052897391890293754,0.017630319652892079,0.0016215796893005051,0.0099041656723040435,0.0014994279712492648,0.010427772389013448,0.0015902764815558341,0.0041057721235511734,0.0014522709260997467,0.0020153643863172568,0.0011172670258768546,0.00176884416485518,0.0018625056539724953,0,0.0017612611766620713,0,0.0022727694509145323
8,0,0,0,0,0,0,0.093904272914306586,0,0.056438419903257049,0.071380236678097841,0.14676578924907341,0.37037040195677384,0.81507895354316717,1.8060686833151214,2.253385276372486,4.2187595292086462,5.8993129901626293,7.3902180627317442,6.8671250752131998,6.2526165121159787,4.3365066986997052,3.2722814465487535,2.2600830024378462,1.6174369931313624,1.2387664036886765,0.94583839975596407,0.61910440886734575,0.48667290129444934,0.3019154994702789,0.27399036347106731,0.15216906417854853,0.11518955750910784,0.094752707941886602,0.090122531643066911,0.045271481823988706,0.047930037803042967,0.059316851630793123,0.030303452000369973,0.020811881315810778,0.019601877478746966,0.014600907744483227,0.020325954399926301,0.018676718132676996,0.010853273861208858,0.012724012442605251,0.01702002855711305,0.02033236588615097,0.0034459783030610738,0.0042508899164523375,0.0092808797249582763,0.0037070845186230636,0.006231221697135538,0.004352314583641932,0.0017122048353423642,0.0015240692658653335,0.003744970621248617,0.0050762543378955593,0.0040477221428273664,0,0.0045576466945808714
9,0,0,0,0,0,0,0,0.05900662853537663,0.051678347011852796,0.040189646350087566,0.052392852712948433,0.09466723079340271,0.31065977233972519,0.47896830143741476,0.54718691017785914,1.3886928685200939,2.0733574399236918,3.8952799267635161,5.4088394254912435,6.5935750859468101,5.9870159614096918,5.4974882989874034,4.1596762800282434,2.8649670129419169,2.3504630743316675,1.5859724287278953,1.0204504139834281,0.80099445124522806,0.63456427884535338,0.45581900909211376,0.2705476317042283,0.17570235202473328,0.16385534055158368,0.14247562811917205,0.092496734241302364,0.078752226628950067,0.061253688855805642,0.065564948550228291,0.043829079047026168,0.025922992631930635,0.030093890345557334,0.030038620651148918,0.01736010406910116,0.010884631036643772,0.0088151934523647037,0.018387864003621929,0.01140198238461995,0.0082028860497881627,0.013609165939040234,0.017397905917918254,0.0032592986905700047,0.0076053601755016551,0,0.0072521977401218147,0.0045141304090532391,0.009812847090105643,0.0019951990712838322,0.0050959189076833934,0.0045335898944857452,0.0065758837878156246
