local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.0037193000588860276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.34907248110600719,0.33108674767988028,0.20501284332720784,0.069589170576277101,0.013186289827805351,0.012278546916701088,0.0038355724831324019,0.0013122111188760683,0.00028565040963998191,0.00077002559456570909,0.00039468112156228912,8.026115579835825e-06,7.5548146153494745e-05,0,0,0.00022080120248602791,0,0,0,0,0,0,0,0,0,0,0,1.8543433696462127e-05,2.7215160076825387e-05,0,1.4728714263886298e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0095121870044761e-05,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1.3873839241143615,2.5200777697112198,1.7620540222371461,0.78850331455405676,0.31314179559315863,0.20672278260558252,0.09915492395374069,0.084781216997973433,0.035643873439052717,0.033511575432700828,0.018085649707243686,0.015409895146664005,0.0028481101367843482,0.003567952209896039,0.0082336481684549753,0.0017698123906174049,0.0024835181827511377,0.00057373538008058909,0.00028978091875497526,0.0011515109455512925,0.0011060232097193112,0.00044212474464092185,0.00056816188434266276,0.0010996727395861431,0.00041898624753655542,0.0011173554825618839,0.00067629797727375397,0.00078501691386718812,0.00077422267678825714,0.00078593112608721361,0.00012496751294874657,0.00012756168319144146,0,0.00018465824426943059,0,0.00045542748240211641,0,0,0,0.00015306729125450533,0,0,0,0.00015475792185051318,0,0,0,7.4337085031936058e-05,0,0,0,0,0,0,0,0
3,0,0,1.9040618649199088,0,0.22888549098301661,0.68380989445033802,2.4252564857941867,3.6839534129736089,2.8128118065728036,1.7145358920130123,0.78675494275137625,0.52705101237937546,0.37887118747597182,0.21402690248015721,0.12261823216676573,0.091208207828128718,0.049134314294436002,0.027911519183552849,0.019776789047596239,0.016138757633508683,0.008528904122415212,0.012707740549376114,0.0022051063566373252,0.0022464353853930137,0.002157695229814034,0.004167310730762798,0.00076491074595776316,0.0015548629300469533,0.0025690131752069234,0.0024664017158835569,0.0010185049842205917,0.0012252675314404755,0.0030793899958520307,0.0013911364885784575,0.002457377894589277,0,0.0021172655682037337,0.00020642686873971369,0.00041140061420711342,0.0006712542714445573,0.0004436074399200798,0,0.00022254954330534592,0.00034222356835623789,0.00041744171193043177,0,0,0,0,0,0.00011948237754649356,0,0,0,0,0.00033102350131747994,0,0.00031903641613204974,0,0
4,0,0,0,0,0,0.29724332201346254,0.70701770358262972,1.7693991417623851,4.4099013609404167,5.4889501332017412,5.0562098505242359,3.3191511960470201,1.8936848879492731,1.4631547042781394,1.0091819097164572,0.62913139071059088,0.37050013384592123,0.23816513821314531,0.16074892990584125,0.09684895143327496,0.07103125812802355,0.055860375629799966,0.044906799268072749,0.033583034113618612,0.019541427977590113,0.01032479930741185,0.012477365691359243,0.01137199156563074,0.0079570639777244798,0.0059069312150995612,0.0079853947249155319,0.0093477779158644466,0.0058875785468287629,0.00281826921642735,0.0043919894031772232,0.0066839843914067798,0.0026096364672490383,0.0015593276702367117,0.0028583229834417277,0.0030420632802661261,0.00091374200873541056,0.00033887933264710777,0.00034372385593015145,0.001085134651131803,0.0015977836038920136,0.00050428309031529779,0.0010182936054985814,0.0010881716346391021,0,0.00049454833694953884,0.00067560350544229153,0,0.00026491272255155799,0.00041686770179828026,0.0008659302620181859,0.00039071066012482427,0.00045021777219785057,0,0,0
5,0,0,0,0,0,7.235075548775774e-06,0.26543749534822536,0.63128540848309289,0.89752913195113093,2.9272790139419236,6.3004319946256055,7.7011855179884581,6.4413920453551645,4.7968007768656094,3.1468202387724609,2.4134058857552567,1.4272074285694849,1.0696495621792765,0.68290011462378886,0.51362699950873336,0.26005658547147015,0.19819019051887848,0.11022978278911523,0.084559381003971271,0.061532253698618158,0.027621267636519425,0.024585998700882735,0.021240690176838817,0.024997339538751516,0.016843550005208083,0.0087065227932770599,0.016624954469333899,0.010215509047486047,0.0045961260211829693,0.0059826195086752493,0.010917187942234188,0.0067144406945588179,0.0063348560264348897,0.0038037621055612442,0.0038620656498372726,0.0026123277494504984,0.0052728555723163236,0.0024049075883180661,0.00053990321523930988,0.0020698674915262559,0.0027033949940716093,0.0041857923898377929,0.0042864020619558848,0.0015418216561946705,0,0,0.00045758036674819753,0.0010823951510890747,0,0.00075805420384668625,0,0,0,0.0010449648039174194,0
6,0,0,0,0,0,0,0,0.12833655414784884,0.38072943672209641,0.88634976050990366,1.4622265212857952,3.4990265241346243,6.613161965211213,7.4462142486538987,6.2530818579770004,4.9568889648517995,3.4300264309873612,2.520024236485725,1.7358231625934362,1.2664648460188941,0.86012333168626276,0.69801769119039625,0.34522848297268588,0.30358622707285349,0.16998137056811544,0.16160173149341303,0.09780598898452153,0.071433633718105002,0.033630325445298676,0.027710682028837551,0.025583208244747743,0.0194149541154452,0.013788795887090177,0.024882644832565696,0.0058768066889415133,0.01113492024727783,0.010180193355977514,0.01016692114311034,0.0048965075528328199,0.010389532771551861,0.0032423863419261149,0.0049483167680207316,0.0016732173552717958,0.001501105653137021,0.0049844417902661382,0.0035047985717292225,0.0016259522538159675,0.0031208938315061808,0.0010497839398235129,0,0.00044915838691615933,0.00054516384446262221,0.00064478586132186272,0.00057046280390748972,0,0,0.0049947078646739064,0,0,0
7,0,0,0,0,0,0,0,0,0.1140076250823185,0.31537034668814007,0.44628013929699456,0.71239898656321954,1.8470290456774803,3.9078213412883613,5.7448346586095029,7.0202505848389576,6.3279942073481283,5.2246339457034372,3.462799334415755,2.6854744807222866,1.9073750218427328,1.3426509237798192,0.93056071350899938,0.7922919089298176,0.57983327882906766,0.29851855508314218,0.23992696008379588,0.20344994789109286,0.12067522324614945,0.076882029030957047,0.049154412112824258,0.047204954666400054,0.046864721642724948,0.042047588910788136,0.017252908397053256,0.018925810935865105,0.013752650109708992,0.014450148201641059,0.015117689996820992,0.0075710549840406413,0.0064369173329242206,0.0045770864548694791,0.014027567169961485,0.003602883273992925,0.012008150406411443,0.001104470774692289,0.0067458057133714337,0.0010212722716793137,0.0071024383968306013,0.0010831499118717735,0.0025157885043791029,0.00088987074566760206,0.0012349030590734892,0.00068459901218085402,0.0010838491962217767,0.0011412397406878848,0,0.0010792027633582391,0,0.0013926265476149535
8,0,0,0,0,0,0,0.080259631639519255,0,0.04533066817480897,0.057331757845818947,0.1241175268808186,0.3132164420327927,0.7202411934093077,1.5959252268696549,1.9933384188425767,3.7319030782731248,5.0701595397737513,6.3515166383356618,5.6488899186754891,5.1433958161216804,3.7232257901210004,2.8095062502677468,1.939819193553175,1.3882389807165658,1.0089127919202714,0.77033769866672586,0.55214858688540935,0.43403947844075158,0.21228970967056143,0.19265435135280418,0.1299064154995519,0.098337087106152854,0.075281467044708492,0.071602770445719818,0.037506438095466728,0.039708993903986675,0.045181416433575546,0.023082022166746558,0.016247153982357508,0.015302543624374918,0.0099447939525663161,0.013844168591017975,0.012720860701952589,0.0073922508209311368,0.008666425691197863,0.011592476305539081,0.013848535505085914,0.0023470831258354352,0.0028953148032959211,0.0063212807161344801,0.0022714949432330335,0.003818145635499209,0.0026668559938239893,0.0010491437693748438,0.00093386476978298276,0.0022947094370220009,0.0031104459585878019,0.0024802187090300939,0,0.0027926720763379116
9,0,0,0,0,0,0,0,0.05043274521555615,0.041507434195225193,0.032279846350794186,0.044307814090968088,0.080058592829098302,0.2745132409585368,0.42323838633411925,0.48404003602133716,1.2284338926940923,1.7819452910736631,3.3477950252347588,4.449305665434296,5.4238679830479768,5.1403154156479385,4.7200181246844943,3.570231658865175,2.4589884506926523,1.9143336916210427,1.2916945973121252,0.91008922888854449,0.71436731514679053,0.4461893038275449,0.32050585436079482,0.2309659538639903,0.14999673468183938,0.13018382996926017,0.11319754902947879,0.076631532635539956,0.065244507003827543,0.046656697855658187,0.049940567687783238,0.03421592624790594,0.02023723115576917,0.020497187158159451,0.020459542531377894,0.01182410443128442,0.0074136084415730814,0.0060040981060853534,0.012524119865966823,0.0077659805438247019,0.005587050682677344,0.0092693107509822809,0.011849851570030235,0.0019971167252657396,0.0046601411684389178,0,0.004443742895867798,0.0027660077200148416,0.0060127662134267044,0.0012225468770395984,0.0031224953118219999,0.0027779314089773671,0.0040293353702276569
