local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.33338764049874331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,31.289879546268697,29.677688775252566,19.653349105405184,6.6710955328214698,0.5604833516551978,0.52189973216094609,0.12030775596524637,0.041159220887854973,0.0065836648726015651,0.017747534352692954,0.007377070962755067,0.00015001787760547455,0.0013225585597662864,0,0,0.0038451032161123081,0,0,0,0,0,0,0,0,0,0,0,0.0004892442716742404,0.00072253897204450804,0,0.00042067865917821653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033654501304222046,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,133.00015824046608,241.58470941187366,74.896119915283919,33.515339515788945,9.8221026697881655,6.4841309065441504,2.2853206848275791,1.9540357771916261,0.66622741596180879,0.62637216865650669,0.3166104272188458,0.26976821760673558,0.049597906730080195,0.062133468308780665,0.1392491931163731,0.029931440148854183,0.039623065741088585,0.0091536091182303266,0.0050473597623843704,0.020056841690929954,0.022577453047223854,0.0090251728674658784,0.012802146748087754,0.024778451661433241,0.01105440474903276,0.029479964617960947,0.017955126624857196,0.020841520401937458,0.022113196830441821,0.022447611271776875,0.003912064878820112,0.0039932744832737845,0,0.0062854846619861404,0,0.014154483668038363,0,0,0,0.0051028639569416553,0,0,0,0.0051592251681590613,0,0,0,0.002693147696455562,0,0,0,0,0,0,0,0
3,0,0,170.67477279566742,0,21.941876354896173,65.552744692747808,103.08554578522177,156.58646846144029,88.227527413316039,53.778664488045628,18.133112031822883,12.147461089394174,7.081564035011537,4.0004235350425681,2.1465754064444917,1.5967062347095593,0.85564076548434531,0.48606017979476684,0.33446922445160349,0.27294207043929264,0.13607362776283044,0.20274449476784134,0.038408205564701772,0.039128068272212456,0.044045425370149598,0.085068072288344523,0.017235404008612842,0.035035055944755339,0.067780056293750821,0.065072786998114959,0.02704042681518546,0.032529793693933787,0.087952935424794834,0.039733368593075157,0.076927367189858487,0,0.072068486879353647,0.007026455398287848,0.012786148179072818,0.020862284313957823,0.014788714150794826,0,0.0074192208789952687,0.011408840503209759,0.013916417076931345,0,0,0,0,0,0.004328710087544204,0,0,0,0,0.011992603418103216,0,0.011558325011296052,0,0
4,0,0,0,0,0,28.494930766152947,30.051792987892082,75.208324277813034,138.32233365318814,172.16811207054596,116.53542252347295,76.49972973541162,35.395277443727252,27.348143838811019,17.666908336109408,11.013679995686697,6.4520085949764718,4.14748438232417,2.7186197813829036,1.6379298781454961,1.1332617695438616,0.89121929981184977,0.78217976758778818,0.5849441564756237,0.39890272533405058,0.21076200710494941,0.28114710087450673,0.25624018233756946,0.20993673740100663,0.15584666289246021,0.21200532642919287,0.24817542234412279,0.16815986816712389,0.080494854739416588,0.13748971302138771,0.20923982538508662,0.0888280404330095,0.053077132803141081,0.08883540750266461,0.09454597423623988,0.03046177353832381,0.011297352413731105,0.011458856174900466,0.036175556869834868,0.053265934847807783,0.016811481960482825,0.033947250875715311,0.036276801972888642,0,0.016486950692746121,0.02447634345115271,0,0.0095974854030796888,0.015102640765943995,0.031371664485411982,0.014155001017913839,0.016310875730156639,0,0,0
5,0,0,0,0,0,0.00069358320803894903,11.282422803571526,26.832791195862342,28.152177087862551,91.81794133737796,145.2122293733471,177.49676829124994,120.39746423496369,89.658049984920581,55.088764645243202,42.249489562733629,24.853849579914147,18.627221796534013,11.549350663872893,8.6865680657078457,4.1490492214252601,3.1620074307123756,1.9199655127623791,1.4728423770802406,1.2560690920066517,0.56383796261073404,0.55398570722700113,0.47860731275411578,0.65952214550013366,0.44439506132453171,0.23115065321601072,0.44137816858876505,0.29177337355619609,0.13127365344754771,0.18728383970345491,0.34175880208009812,0.22854930829888556,0.21562882582133708,0.11821923507183511,0.12003128330592727,0.087088188515893006,0.17578324166849052,0.080173341748102145,0.017998963950441607,0.069003979436682461,0.090124132749481042,0.13954339259737347,0.14289745645623869,0.051400309582445153,0,0,0.016577614122503942,0.039213940209760351,0,0.027463438094204047,0,0,0,0.037857881477842519,0
6,0,0,0,0,0,0,0,5.4549462318800543,11.942077581216845,27.801521456373187,33.701367332568424,80.645492664547945,123.60805328728256,139.17881528956889,109.46750327114673,86.77613236142308,59.731584396485793,43.88451325125996,29.356607161076155,21.418720391045706,13.722759733973731,11.136459985906768,6.013136963164575,5.2878185131204294,3.4698606495593669,3.2988055522528743,2.2038201757767544,1.6095832663367919,0.88729219992260389,0.73111014220530601,0.67921206175454718,0.51545024718816268,0.39383289413699651,0.71069324025365066,0.18397140588732347,0.34857483677141127,0.34651823669289988,0.34606647083355635,0.15218127773370527,0.32290205930883187,0.10809269742145307,0.16496396503861044,0.055780699222992086,0.050042944316680119,0.16616827898739062,0.11684083621941822,0.054205004110970317,0.10404245424161244,0.034997056426605701,0,0.01627249541123749,0.019750663498233904,0.023359855398958251,0.020667215907067216,0,0,0.18095256189338202,0,0,0
7,0,0,0,0,0,0,0,0,3.5759985235318537,9.8920040945351051,10.285855637779235,16.419357455235186,34.52322291549514,73.041941378752298,100.57004227144181,122.89768810235122,110.19772811134958,90.983457342833333,58.563592149674029,45.41731039806627,30.431041901881663,21.421202465821452,16.208364311911314,13.800019402162256,11.836242235190916,6.0937135874618651,5.4061707348936743,4.5842499480688961,3.1838581070048977,2.0284318920537743,1.3050071467224325,1.2532507368608827,1.3385410233506634,1.200955019409816,0.54009634508205695,0.59246598190486022,0.46811920945220425,0.49186097942271717,0.4698510837111381,0.23530502278034179,0.2145900223541404,0.15258811537681707,0.46764247494363131,0.12011072417396887,0.40032039109209544,0.036820172758540423,0.22488755470336966,0.034046551831320174,0.23677675749369867,0.036109390843436111,0.091144144439174332,0.032239000867579207,0.044739127549336961,0.024802240387264776,0.039266618604373166,0.04134581248937455,0,0.039098283648034811,0,0.050453269416211241
8,0,0,0,0,0,0,3.4114362668620504,0,1.4218557955819553,1.7982856958918507,2.8606582529649254,7.2190062304882199,13.462185303031557,29.829786647168916,34.895717798222819,65.331323290981359,88.293390312583071,110.6073552964491,95.535216842570108,86.986194044221477,59.401868396009952,44.824012816786052,33.787474295779845,24.18013443378933,20.595120417142311,15.7250436241463,12.441326021428628,9.7800244095760611,5.6009866398975152,5.0829333636552256,3.4489030250812287,2.6107646484884866,2.1501745535920831,2.0451043400582041,1.1741261047828813,1.2430763544824657,1.5379064234234165,0.78567678833241916,0.50495432221706238,0.47559625226879543,0.33153347265670868,0.46152844502531848,0.42408029204187525,0.24643834725004699,0.2889160115964689,0.38646290155405361,0.4616740265419032,0.078245625101300509,0.096522238243394218,0.21073499938298249,0.082293667706372489,0.13832705598502998,0.096617147060047009,0.038009280623913351,0.03383285411933433,0.083134702304988789,0.11268790489594048,0.089855491375008256,0,0.1011753200453593
9,0,0,0,0,0,0,0,2.1436442275053573,1.3019350529453406,1.012499671025755,1.021205604361358,1.8451888307219559,5.1309868856937522,7.9108410298159724,8.4736863245980221,21.505170445726904,31.031368907862259,58.299580226378183,75.24759513207286,91.729598442495174,82.010696381746087,75.305101348736116,62.185749478501485,42.830285084051567,39.077642005597205,26.367596869480089,20.506648163427851,16.096530676512231,11.772121849341842,8.456128236594818,6.1319464008691345,3.9822836309288112,3.7182851168777398,3.2331262793753646,2.3989236911244776,2.0424567822702007,1.5881227502779258,1.699900664897674,1.0634157752367979,0.62896414676120715,0.68332271846471726,0.68206774486714616,0.39418477867484608,0.24715035457497311,0.20016095906827394,0.41752146609949231,0.25889752070873479,0.18625768654151537,0.30901462584996953,0.39504312107591422,0.072353258214142041,0.16883159256980804,0,0.16099173028516908,0.10020930086693583,0.21783565322825277,0.044291477185225123,0.11312443920304331,0.10064128250098675,0.14597821889187027
