local_numi_reco_bin,fixed_published_background_counts
0,4.4927899999999998e-08
1,1.1228800000000001
2,3.0026600000000001
3,3.3617300000000001
4,1.65401
5,2.4890599999999998
6,1.7746500000000001
7,2.8705099999999999
8,2.1017999999999999
9,2.7192099999999999
10,3.0852200000000001
11,3.08142
12,3.4838900000000002
13,3.2820800000000001
14,2.8612700000000002
15,3.0624600000000002
16,3.7870699999999999
17,2.8769999999999998
18,4.3566599999999998
19,2.4321100000000002
20,2.90828
21,2.6688399999999999
22,3.34998
23,2.9760599999999999
24,2.6515200000000001
25,18.537700000000001
26,1.5189499999999998e-08
27,0.30858200000000002
28,0.94792600000000005
29,1.4244600000000001
30,1.99756
31,3.20268
32,2.7796599999999998
33,4.0394199999999998
34,4.6090200000000001
35,4.2532199999999998
36,4.6351899999999997
37,5.5900699999999999
38,5.9050000000000002
39,5.2725600000000004
40,4.07003
41,5.55403
42,6.81595
43,3.8297099999999999
44,3.8644400000000001
45,2.9842399999999998
46,3.33094
47,3.8859900000000001
48,4.3476299999999997
49,3.56542
50,3.54731
51,28.472899999999999
52,3.7533099999999999
53,3.2412200000000002
54,107.871
55,239.90899999999999
56,352.99599999999998
57,353.16500000000002
58,317.483
59,274.38400000000001
60,235.59999999999999
61,218.30500000000001
62,166.36000000000001
63,145.92500000000001
64,116.792
65,107.55500000000001
66,85.681799999999996
67,70.437100000000001
68,61.255899999999997
69,48.356699999999996
70,43.138199999999998
71,29.113499999999998
72,21.211300000000001
73,21.0579
74,20.561900000000001
75,14.7845
76,12.742100000000001
77,90.773300000000006
78,10.8347
79,37.512999999999998
80,278.50900000000001
81,528.005
82,739.99599999999998
83,882.077
84,907.96199999999999
85,888.14099999999996
86,785.50400000000002
87,692.49300000000005
88,587.39200000000005
89,497.53300000000002
90,393.678
91,342.40600000000001
92,300.29300000000001
93,244.709
94,213.56899999999999
95,189.39099999999999
96,143.41
97,121.63
98,111.392
99,104.788
100,94.153800000000004
101,83.301100000000005
102,60.770699999999998
103,495.255
