"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3b","0.1","0.01","5000","3166","2340","0.6332733453309338","0.46810637872425515","0.7391853489106409","0.43644271145770847","-1.4972496711743304","3721","0"
"fig3b","0.1","0.0107977516232771","5000","3210","2218","0.6420715856828634","0.4437112577484503","0.6910619744627843","0.4116076784643072","-1.5811046908763728","3722","1"
"fig3b","0.1","0.011659144011798317","5000","3146","2136","0.6292741451709658","0.4273145370925815","0.6790594216714331","0.3958508298340332","-1.6662937297608664","3723","2"
"fig3b","0.1","0.012589254117941675","5000","3132","2017","0.6264747050589882","0.40351929614077187","0.6441110756463454","0.37219556088782246","-1.7521627397711939","3724","3"
"fig3b","0.1","0.013593563908785255","5000","3144","1937","0.628874225154969","0.38752249550089984","0.6162162162162163","0.35607878424315137","-1.8379079966744598","3725","4"
"fig3b","0.1","0.014677992676220698","5000","3087","1770","0.6174765046990602","0.354129174165167","0.5735103626943004","0.32325534893021396","-1.9225540255104363","3726","5"
"fig3b","0.1","0.015848931924611134","5000","3077","1643","0.6154769046190762","0.3287342531493701","0.5341130604288499","0.29796040791841627","-2.0049292434805466","3727","6"
"fig3b","0.1","0.01711328304161781","5000","3025","1527","0.6050789842031594","0.30553889222155567","0.5049570389953734","0.2752849430113977","-2.083639241263768","3728","7"
"fig3b","0.1","0.018478497974222907","5000","2974","1423","0.594881023795241","0.28474305138972206","0.4786554621848739","0.25499900019996","-2.157037656296893","3729","8"
"fig3b","0.1","0.0199526231496888","5000","2939","1275","0.587882423515297","0.2551489702059588","0.4340136054421768","0.22575484903019394","-2.2231946329540335","3730","9"
"fig3b","0.1","0.021544346900318832","5000","2897","1167","0.5794841031793642","0.23355328934213157","0.4030365769496204","0.20457908418316337","-2.2798629158127426","3731","10"
"fig3b","0.1","0.02326305067153626","5000","2906","982","0.5812837432513497","0.1965606878624275","0.33814929480564154","0.16749650069986002","-2.32444168385004","3732","11"
"fig3b","0.1","0.025118864315095794","5000","2760","836","0.5520895820835833","0.16736652669466107","0.3031510322346976","0.13976204759048189","-2.353938306064606","3733","12"
"fig3b","0.1","0.02712272579332028","5000","2657","737","0.531493701259748","0.14757048590281943","0.27765237020316025","0.12099580083983202","-2.3649282827961997","3734","13"
"fig3b","0.1","0.029286445646252372","5000","2631","691","0.5262947410517896","0.138372325534893","0.26291793313069906","0.11205758848230353","-2.363512770104279","3735","14"
"fig3b","0.1","0.03162277660168379","5000","2575","651","0.5150969806038792","0.130373925214957","0.2531055900621118","0.10461907618476304","-2.3618942093383737","3736","15"
"fig3b","0.1","0.034145488738336005","5000","2573","581","0.5146970605878824","0.11637672465506899","0.22610722610722608","0.09064187162567486","-2.360145134740037","3737","16"
"fig3b","0.1","0.03686945064519575","5000","2431","604","0.48630273945210956","0.1209758048390322","0.24876644736842107","0.09666066786642671","-2.3582549006018496","3738","17"
"fig3b","0.1","0.039810717055349734","5000","2449","557","0.48990201959608076","0.11157768446310738","0.22775510204081634","0.08708258348330335","-2.3562119723767125","3739","18"
"fig3b","0.1","0.042986623470822764","5000","2426","580","0.48530293941211755","0.11617676464707058","0.23939019365471775","0.0919116176764647","-2.354003848997479","3740","19"
"fig3b","0.1","0.046415888336127774","5000","2401","588","0.4803039392121576","0.11777644471105779","0.24521232306411322","0.09376124775044992","-2.3516169778176277","3741","20"
"fig3b","0.1","0.05011872336272722","5000","2391","620","0.4783043391321736","0.1241751649670066","0.25961538461538464","0.10025994801039792","-2.349036661374555","3742","21"
"fig3b","0.1","0.054116952654646375","5000","2429","569","0.4859028194361128","0.11397720455908818","0.2345679012345679","0.08968206358728253","-2.3462469550691196","3743","22"
"fig3b","0.1","0.05843414133735175","5000","2430","558","0.4861027794441112","0.11177764447110577","0.22994652406417113","0.08747250549890022","-2.3432305547388523","3744","23"
"fig3b","0.1","0.06309573444801933","5000","2442","567","0.488502299540092","0.11357728454309138","0.23250102333196887","0.08915216956608678","-2.3399686729569282","3745","24"
"fig3b","0.1","0.06812920690579614","5000","2368","600","0.47370525894821036","0.1201759648070386","0.2536935415787252","0.09649070185962808","-2.336440902733841","3746","25"
"fig3b","0.1","0.07356422544596414","5000","2374","542","0.47490501899620075","0.10857828434313137","0.2286315789473684","0.08483303339332132","-2.3326250671036632","3747","26"
"fig3b","0.1","0.07943282347242814","5000","2391","565","0.4783043391321736","0.11317736452709458","0.2366220735785953","0.0892621475704859","-2.3284970528467284","3748","27"
"fig3b","0.1","0.08576958985908942","5000","2360","595","0.47210557888422316","0.1191761647670466","0.2524354087251165","0.09557088582283543","-2.324030626350975","3749","28"
"fig3b","0.1","0.09261187281287937","5000","2341","589","0.4683063387322535","0.11797640471905618","0.2519214346712212","0.0945610877824435","-2.319197229277762","3750","29"
"fig3b","0.1","0.1","5000","2419","594","0.4839032193561288","0.11897620475904819","0.2458677685950413","0.09478104379124175","-2.313965751334166","3751","30"
"fig3b","0.1","0.10797751623277094","5000","2435","570","0.4871025794841032","0.11417716456708658","0.2344006568144499","0.08982203559288142","-2.3083022769986883","3752","31"
"fig3b","0.1","0.11659144011798317","5000","2417","579","0.483503299340132","0.11597680463907219","0.23986765922249795","0.09180163967206559","-2.3021698024793977","3753","32"
"fig3b","0.1","0.12589254117941676","5000","2387","570","0.47750449910017995","0.11417716456708658","0.23911222780569516","0.09030193961207758","-2.2955279185309223","3754","33"
"fig3b","0.1","0.13593563908785256","5000","2381","570","0.47630473905218956","0.11417716456708658","0.23971452560873216","0.0903619276144771","-2.2883324539091916","3755","34"
"fig3b","0.1","0.14677992676220697","5000","2355","549","0.47110577884423116","0.10997800439912017","0.23344651952461798","0.0864227154569086","-2.2805350732133434","3756","35"
"fig3b","0.1","0.15848931924611134","5000","2400","554","0.48010397920415915","0.11097780443911218","0.2311536859641816","0.08697260547890422","-2.272082821566073","3757","36"
"fig3b","0.1","0.1711328304161781","5000","2433","571","0.48670265946810637","0.11437712457508498","0.23500410846343467","0.09004199160167965","-2.2629176069380037","3758","37"
"fig3b","0.1","0.18478497974222907","5000","2380","555","0.4761047790441912","0.11117776444711058","0.23351532969340613","0.08737252549490102","-2.25297560878937","3759","38"
"fig3b","0.1","0.19952623149688797","5000","2427","528","0.485502899420116","0.10577884423115377","0.21787479406919275","0.08150369926014797","-2.2421865989531966","3760","39"
"fig3b","0.1","0.21544346900318834","5000","2375","568","0.4751049790041992","0.11377724455108978","0.23947811447811448","0.09002199560087983","-2.230473157024335","3761","40"
"fig3b","0.1","0.23263050671536262","5000","2378","541","0.47570485902819437","0.10837832433513298","0.2278268179907524","0.08459308138372326","-2.217749757615451","3762","41"
"fig3b","0.1","0.25118864315095796","5000","2398","563","0.4797040591881624","0.11277744451109778","0.23509795748228426","0.08879224155168966","-2.2039217001441216","3763","42"
"fig3b","0.1","0.27122725793320285","5000","2316","526","0.46330733853229356","0.10537892421515697","0.2274492878722486","0.0822135572885423","-2.1888838424842447","3764","43"
