"tested_point_index","delta_m2_eV2","sin2_2theta_mue","toys","observed_profiled_delta_nll","toy_90_critical","toy_95_critical","toy_99_critical","toy_mean","toy_standard_deviation"
"0","0.01","0.0003","10000","28.882895961894462","3.856882987140864","5.291705761032119","8.65515890156081","1.36824427285867","1.9103659333662497"
"1","0.01","0.0003133","10000","28.88283992460589","3.7176398068066305","5.044817916792454","8.297027242106367","1.3395049093035214","1.8515876803602351"
"2","0.01","0.00032704","10000","28.882782033519277","3.820678084678093","5.18459864019087","8.564148838823712","1.3741863091209479","1.8934843405086523"
"3","0.01","0.000341381","10000","28.882721610293686","3.917689819783277","5.289894620713824","8.676363573213735","1.4118782426334793","1.915735292423282"
"4","0.01","0.000356352","10000","28.88265853275317","3.8277429956681885","5.267024927274235","8.71644439398301","1.3835774373013467","1.9444965827802239"
"5","0.01","0.00037198","10000","28.882592687147792","3.746651478485603","5.192865001563234","8.20987636996125","1.3515799848554921","1.84870523537121"
"6","0.01","0.000388292","10000","28.882523959727564","3.8691296888266606","5.288191835724831","8.496379684094393","1.3697540200683516","1.9042023710592657"
"7","0.01","0.00040532","10000","28.88245221568212","3.751527852917775","5.180058504908061","8.341956131793324","1.3627672775998148","1.871899803912965"
"8","0.01","0.000423095","10000","28.88237732441212","3.8681417652740606","5.2703620563281675","8.538134193530084","1.4077268590938339","1.8941812271924188"
"9","0.01","0.000441649","10000","28.882299151105144","3.864513214319345","5.2853830247697715","8.354676989604968","1.3795751413771462","1.8759016637121078"
"10","0.01","0.000461017","10000","28.88221754830971","3.7600482902021213","5.2071456423415725","8.54573714404438","1.3662842460481908","1.8879984278644317"
"11","0.01","0.000481234","10000","28.882132368582234","3.8612360155593137","5.178072806154546","8.491652807479682","1.3880495702025288","1.89680370381499"
"12","0.01","0.000502338","10000","28.88204345183283","3.8288123062430373","5.205402900846991","8.653377167155384","1.3681782973371082","1.8972895918376704"
"13","0.01","0.000524367","10000","28.881950637979514","3.929966780128325","5.330616403014631","8.279344626352781","1.4032230664687169","1.8917829807594804"
"14","0.01","0.000547363","10000","28.88185375008527","3.830171857439268","5.166954138046151","8.510846064446469","1.3709788852919675","1.8683960868980465"
"15","0.01","0.000571367","10000","28.881752615435573","3.847064992055323","5.276332222142798","8.454235467476678","1.3754997872594206","1.883912695951481"
