Gender,Grade,Chat_Time,SocialMedia_Time,Internet_Time,Likert_Total_Score,Likert_Mean_Score
1,2,2,2,2,90,3.75
1,2,3,3,1,81,3.375
1,3,2,2,1,84,3.5
1,2,3,2,2,83,3.4583333333333335
1,2,2,3,2,84,3.5
1,2,3,2,1,77,3.2083333333333335
1,2,3,2,1,61,2.5416666666666665
1,4,4,4,4,64,2.6666666666666665
1,7,4,3,2,67,2.7916666666666665
1,5,2,3,2,81,3.375
1,2,2,2,2,77,3.2083333333333335
1,2,2,4,1,60,2.5
1,2,4,4,4,97,4.041666666666667
1,3,4,4,4,85,3.5416666666666665
1,6,2,2,2,91,3.7916666666666665
1,2,4,3,3,99,4.125
1,2,2,2,2,96,4.0
1,3,3,2,2,87,3.625
1,7,4,4,2,86,3.5833333333333335
1,2,4,1,1,85,3.5416666666666665
1,2,2,3,2,78,3.25
1,2,2,3,2,78,3.25
1,2,2,2,3,93,3.875
1,2,2,2,2,83,3.4583333333333335
