global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.024282606908013579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.23730859670023616,0.2176553292876853,0.14513769740847568,0.050967327530339994,0.010698045765536058,0.0098977953895224673,0.0032709520827188588,0.0010905682655550574,0.00023382211101666034,0.0006078957452237189,0.00030473984722261574,5.9289470013713213e-06,6.0586322685486166e-05,0,0,0.00017791125311995807,0,0,0,0,0,0,0,0,0,0,0,2.3894429981720339e-05,3.8809112563158238e-05,0,2.2738324477234434e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6577015471096532e-05,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.57964373471542874,1.0892547771118632,0.84365790805879348,0.37511147442083198,0.15759787362334601,0.10139179530976342,0.047899429400152363,0.039499256191977326,0.016241760905822702,0.014609398387529976,0.0085595360407647817,0.0068977952413432951,0.0014184715002121219,0.0016966268720668279,0.0041779838762442756,0.00085836379123863538,0.0012613967079784546,0.00028196952419361692,0.0001600744279487295,0.00061497594662734446,0.00069569161066773124,0.00026833596315608692,0.00036487064360071948,0.00067964340772855671,0.00032631506982411549,0.00084969529082955849,0.00056914933865296214,0.00061756581844246456,0.00070538275570351436,0.00066678764308253466,0.00012706985015920657,0.00012602099738407194,0,0.00020083488333800574,0,0.00050438573681068906,0,0,0,0.00020642194824120675,0,0,0,0.00016144149193652644,0,0,0,0.00012085681632256621,0,0,0,0,0,0,0,0
3,0,0,0.73754405849428606,0,0.092326522705736547,0.28536101285251642,1.1211108729511514,1.69205580669559,1.3667645930062247,0.81190418341504544,0.3669435527232206,0.23707494054053546,0.16668001331225171,0.090084397944732122,0.056029260142254893,0.03941742629431335,0.02362612306029134,0.012814289019711695,0.0096888886043486368,0.0075571489962359224,0.004182359003509121,0.006029795816604574,0.001176049067598076,0.0011583177671477024,0.0013103471073292691,0.0024419325934176232,0.0004742652635285001,0.00092779811617552013,0.0019317344338392996,0.0018108371188732385,0.00082755150523734127,0.00093063394344206725,0.002708740322031123,0.0011395057558780857,0.0024124652458061301,0,0.0023540359572564559,0.0002167606269701689,0.0004669220132535237,0.0007177519024786596,0.00071221551426452971,0,0.00030848630625156573,0.00044558146650120216,0.00050708550595580557,0,0,0,0,0,0.00019960501032750743,0,0,0,0,0.00038625281553134001,0,0.00032556007299793834,0,0
4,0,0,0,0,0,0.11545538406258025,0.30420335895161599,0.75643077945702863,1.9944573119139244,2.4193032567460495,2.1949655001928354,1.3896417749057568,0.77542980065276412,0.57321070027920773,0.42921226218092745,0.25306875215438679,0.16582070532233187,0.10177287845084483,0.073300864872360899,0.042210999425003407,0.032420552400230403,0.02467067006301938,0.022292092129929733,0.016117457875545745,0.011045754230804122,0.005631216602058434,0.0072007259925385477,0.0063159798012849119,0.0055689942109425688,0.0040366427438687513,0.0060390842662617636,0.0066084434207929928,0.0048203904677200779,0.0021486816990805551,0.004013222409240339,0.0059339605174036098,0.0027006020729200692,0.001524033052425605,0.0030194896257108115,0.0030275990522375023,0.0013654601401532568,0.00046300864346833021,0.00044346738483789122,0.0013150542273528357,0.0018065340071571068,0.00054802523458549735,0.0010142168911451161,0.0010201081753744513,0,0.0004089657013631613,0.0010505151100975245,0,0.00034880923694259602,0.00053490437713072183,0.000997516137678144,0.00042433701548495246,0.00045594278742214922,0,0,0
5,0,0,0,0,0,2.6412322441992415e-06,0.10733896997114301,0.25364748892195133,0.38150994194487542,1.2126251748839962,2.5705992267297639,3.0303643401104248,2.4789966667486922,1.7661889308761005,1.2578707977276031,0.91240776443136284,0.60034226939962332,0.42959262845276586,0.29267095867643617,0.21039721804188666,0.11155786533038159,0.08226605750411925,0.051427938424671325,0.038141682314839047,0.032689128152472824,0.014158774210757334,0.013335296364419789,0.011087516112400171,0.016442927500604436,0.010818161670639106,0.00618843563865119,0.011046194626804342,0.0078608037464974311,0.0032933885570059305,0.005137889551218534,0.0091092253976277106,0.0065305816325764458,0.0058190914923711588,0.0037765655231994039,0.0036125278578347264,0.003668973162930939,0.0067709768253049587,0.0029161632901863101,0.00061494656483511185,0.0021995415031560044,0.0027611950903782129,0.0039182933116523079,0.0037766189546853215,0.0012619502569293434,0,0,0.00062832016023890963,0.0013394682856881111,0,0.00082072697874257454,0,0,0,0.00084511444000913026,0
6,0,0,0,0,0,0,0,0.055471586607812373,0.17409614712306626,0.39498717103133463,0.64179170335867786,1.4811529008411497,2.737920080637227,2.9494185174979384,2.6888935641412073,2.0159659527236191,1.5521178347021185,1.0887681753403355,0.80028250209580842,0.55808543067657868,0.39692501095106419,0.31168819725064212,0.17326952347578012,0.14731111332222632,0.097144281374296107,0.089113491006547085,0.057068395714886574,0.040112874043819642,0.023797526562488416,0.019146193760974529,0.019561697587899014,0.01387726853827464,0.011414284192556341,0.01918063505640814,0.0054293793154374034,0.0099947784052494583,0.010651565554963591,0.010046696644927074,0.0052298050829261917,0.010454492797022897,0.0048988825812012384,0.0068356267777139905,0.0021826354467607651,0.0018392811673351734,0.0056979881724692162,0.0038509337562361878,0.0016373534705564421,0.0029580441768837255,0.00092432227031595071,0,0.0007061334037572381,0.00080529695261313892,0.0008583758701745562,0.00074008579684785628,0,0,0.005114163883874868,0,0,0
7,0,0,0,0,0,0,0,0,0.051632065613796081,0.13919114630053639,0.19399918221720622,0.29866810692351253,0.75735279093440944,1.5330223001269152,2.4466391955152655,2.8277402534364384,2.8359997808486819,2.2356276152707313,1.581168176300185,1.1720374067628643,0.87175957340485966,0.59378598056155429,0.46256542955023222,0.38076021656602232,0.3281949908314602,0.16303531087843576,0.13865073111431578,0.1131492077943369,0.084573004328897458,0.052610565336716708,0.037224334183758589,0.033417049824764768,0.038422115906392842,0.032101138590802492,0.015786432341810208,0.016824937270933212,0.01425137307144176,0.014142267015120561,0.015991802109313613,0.0075452954154089152,0.0096321469123433947,0.0062621412902371318,0.018122749929752515,0.0043721993272086068,0.013595463906935569,0.0012019049137651854,0.0067279287352775682,0.00095869419772927984,0.0061936101468225372,0.00089692564321711772,0.0039171866761604614,0.0013018736508536406,0.0016282000311544842,0.00087963783909749034,0.0012502463749469155,0.0012411442922690699,0,0.0010264232612799192,0,0.0011413605202579228
8,0,0,0,0,0,0,0.034187862247854181,0,0.020296869399218195,0.025017122165951696,0.053342920351828166,0.12982593041821036,0.29198046605029437,0.61898146893075856,0.8393145808995125,1.4861703460047178,2.246534439894428,2.6870291222757694,2.5501468305087531,2.2193291930830861,1.6824080750165218,1.2284236322396092,0.95332514082678699,0.65960192554953401,0.56459077094663279,0.41595163186578205,0.31546444116099071,0.23865717918853738,0.14709365051486714,0.1303401721484769,0.097262710261520127,0.068825471701064289,0.061020343111088421,0.054045619695972671,0.033929607351075419,0.034901104859669359,0.04628939372542034,0.022334278164570596,0.016991847574518,0.015077689991684802,0.01471269700627858,0.018726299345265873,0.016248361518263862,0.0088690640388096095,0.0097008382976683013,0.012472210573956364,0.013655346921174134,0.0021783033780118535,0.0024962237810083475,0.0051751659955496876,0.0034967392644158703,0.0055226272666595985,0.0034763683947767361,0.001332766218567057,0.0010650305647869815,0.0024673140125862497,0.0031185408858129446,0.0023321944188370003,0,0.0022628692166083799
9,0,0,0,0,0,0,0,0.022224634959668487,0.019350866006520671,0.014665981450308018,0.01982720882152993,0.034551143489968031,0.11587152395766452,0.17091797491225097,0.2122084123859925,0.50936324843796787,0.82209764264752005,1.4746582131434147,2.0913749347597208,2.4367920545733992,2.4184622874512516,2.1488168826813081,1.8268957770084671,1.2164989820850169,1.1154121480126384,0.72620478261893429,0.5413971977171631,0.4089822191118504,0.3219005503689758,0.22577352592663957,0.18005339516299385,0.10930782246947719,0.10987052424074834,0.088962151832284536,0.07218020385586979,0.059707904138689601,0.049770640528445771,0.050314032138538439,0.037258827952312397,0.02076155397542637,0.031573908749440521,0.028814997209280994,0.015725299084755846,0.0092612225824866817,0.0069976885437186042,0.014029817258140108,0.0079732020266552947,0.005398959702163037,0.0083209468601831444,0.010101123920032633,0.0032010503525697022,0.0070182671728391977,0,0.0058776737367871399,0.0032844983543308219,0.0067314499743900873,0.0012762386231123073,0.0030571317011598622,0.002464067434577263,0.0033994644904889963
