global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.0027357828278756365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.02984661504943532,0.025386590122374233,0.013105870270358365,0.0046129025720138706,0.00088795714263203518,0.00085498750534288178,0.00028113077230308334,9.2901085605880292e-05,1.9848958388147557e-05,5.4979018754796845e-05,2.5947022252388382e-05,5.0658270419558032e-07,5.2203039297762328e-06,0,0,1.5698361502738251e-05,0,0,0,0,0,0,0,0,0,0,0,2.247213537158242e-06,3.5477135101236279e-06,0,2.3321750961269785e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9229250168344528e-06,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.047456096032763816,0.089383451271562608,0.063489098658437673,0.029378314231169687,0.012280888358497125,0.0078309774300387349,0.0036866143590100929,0.0032389334486462628,0.0012538241137275761,0.0011317495959381398,0.00066867740165734736,0.00054004614875310952,0.00010890954307490534,0.00013573207071676489,0.00033721674529875391,6.385996532700331e-05,0.00010398636641208605,2.1755975948484782e-05,1.2370545744922701e-05,4.858996540788784e-05,5.8096747661109857e-05,2.314819778681962e-05,3.1284815704405925e-05,5.8529577336710328e-05,3.0265311447150034e-05,7.245295540649146e-05,4.717221742658697e-05,5.3720588741199171e-05,6.559530541256763e-05,6.1038351943176067e-05,1.1669900367715435e-05,1.117338515129137e-05,0,2.0046100767377452e-05,0,4.9865597731976231e-05,0,0,0,2.1511968265310857e-05,0,0,0,1.6438252893814126e-05,0,0,0,1.3429086710767384e-05,0,0,0,0,0,0,0,0
3,0,0,0.075656899045087073,0,0.006799720632419539,0.021064735629138038,0.075895333399674622,0.11921061652919074,0.095809125953301724,0.056409424266373326,0.025405652916315597,0.017487691612526092,0.01157499361930475,0.006277711093657273,0.0039374498721041146,0.0027761476982852483,0.001631817221134662,0.00092219842729554546,0.0007034772615608306,0.00050576526873487553,0.00031015568599970935,0.00041851664335447258,8.1757211746688214e-05,8.2328443916849787e-05,9.8436267433613101e-05,0.00018949846784413311,3.6580507292258099e-05,7.18756018586644e-05,0.00016117184102181194,0.00013890120423835768,6.1700519095412483e-05,7.2823262377487078e-05,0.00022659432118191995,9.3835140400639193e-05,0.00019930556481532354,0,0.00019142945805044139,1.9462780651128627e-05,3.9900371045196034e-05,6.3833155457095232e-05,6.3763581013074952e-05,0,2.8049000801793797e-05,4.1771985941843708e-05,4.5548648496281704e-05,0,0,0,0,0,1.9127677027468466e-05,0,0,0,0,3.9413679204227146e-05,0,3.1630566243296481e-05,0,0
4,0,0,0,0,0,0.0079432410887846187,0.019193434391689947,0.049669709768399115,0.13030470063482288,0.1566604525939754,0.14163838835681103,0.095537060741836655,0.050188232362418136,0.037229586484113023,0.028112175133289053,0.016611735452728801,0.010674314324452528,0.0068262800107044266,0.0049602935555430033,0.0026329270823902792,0.0022407893290114318,0.0015959278420271119,0.0014443539649456126,0.0010676795183827861,0.00077336824890397249,0.00040728314975185326,0.00051763885860558947,0.00045602738061835093,0.00043305264014531291,0.00028858191846132565,0.00041964983166387478,0.00048196177699342787,0.00037582532928549523,0.00016490857866267717,0.00030901087703288688,0.0004411054430051862,0.0002046814349542926,0.00012753842639196095,0.00024048517310797161,0.00025095306280407541,0.000113936395353872,3.968872578737927e-05,3.758074350799385e-05,0.00011490100971128741,0.00015123858943674693,4.541487588964114e-05,8.8567363980765891e-05,8.7084854561236222e-05,0,3.601289080036083e-05,9.3824287251046125e-05,0,3.2138124976800423e-05,4.6225203840098032e-05,9.0261017647475571e-05,4.0356028083587435e-05,4.0633344083748719e-05,0,0,0
5,0,0,0,0,0,1.8207645502673742e-07,0.0067859359413707382,0.016688474604739847,0.024974962347043033,0.078679083407748887,0.16620775953989611,0.20875049123673597,0.16076777462254072,0.11494093535529028,0.082550937262445334,0.060010756252071806,0.038722536387421201,0.028871709964959805,0.019844563714698057,0.013149729967353016,0.0077258177228659679,0.0053323252989692536,0.0033387628209769773,0.0025316744410808401,0.0022932845463820013,0.0010260854068131575,0.00096054320146292589,0.00080213616161996335,0.0012811698534423396,0.00077493613758912515,0.00043088411830641195,0.00080721599082926262,0.00061409339498253942,0.00025326651865768292,0.00039639571108513431,0.00067848907267113864,0.00049594482583768275,0.00048793896285434659,0.00030138069675582536,0.00030003297581785506,0.00030675498448205833,0.00058155799377235349,0.00024761626394134906,5.3837044219238486e-05,0.00018450676004758869,0.00022927585008142813,0.00034284945820276213,0.00032304514320861185,0.00011149695881447129,0,0,5.865106134378093e-05,0.00012365982806335145,0,7.4411943865136443e-05,0,0,0,7.5295409969257181e-05,0
6,0,0,0,0,0,0,0,0.0037457047040931157,0.011696744833280622,0.026302230260357985,0.042588063689966663,0.10471512764265965,0.1822303452666689,0.1969930228786054,0.18110750972229253,0.1360818466510002,0.1027463580426443,0.075097931915375712,0.055690628616544301,0.035797640319193053,0.02821172235826936,0.020734481597138109,0.011544775927200813,0.010035069807712687,0.0069943718954329865,0.0066279341646415992,0.0042187789285591821,0.002978341445117225,0.0019029889341368345,0.001407575729215449,0.0013978578921043942,0.0010407775881579641,0.00091515156658039849,0.0015138214837741664,0.00042990375697769199,0.00076403183127435759,0.0008301791451445857,0.00086459053317870219,0.00042833226025203408,0.00089112294458351573,0.00042035962609379202,0.00060255531043214826,0.00019020652255465054,0.00016526041001576217,0.00049054464441831362,0.00032817397797026913,0.00014703673243756998,0.00025968183827167006,8.3814870025474591e-05,0,6.4854519375789866e-05,7.7148557477325168e-05,8.1329963468710609e-05,6.5769610705954814e-05,0,0,0.000468691821329155,0,0,0
7,0,0,0,0,0,0,0,0,0.0036011402166794605,0.0096220115219010464,0.01336405860533723,0.021920126601778382,0.052329048389932298,0.10629371603011772,0.17107141677479629,0.19815324601073661,0.19489137354937644,0.16007986185571202,0.11422509805832705,0.078044061749035776,0.064322443920483974,0.041006003085199395,0.031994930792208144,0.026926575721495732,0.024530596254424816,0.012588125972465749,0.010640399744700874,0.0087214139201334979,0.0070207074587311609,0.0040151979833533231,0.002761392216925708,0.0026017569383514757,0.003197939915885302,0.0026301274543393009,0.0012976265564854247,0.0013351695292152673,0.0011530808506484331,0.0012634291577728741,0.0013596820524818681,0.0006676603445793807,0.00085800879725961136,0.00057304155157129671,0.0016395058678649306,0.00040781700499028937,0.0012150543438011678,0.00010632928170959501,0.00062720492049228116,8.7369871304835298e-05,0.00058302368805808447,8.4316531446513814e-05,0.00037348437149351254,0.00012947480557875564,0.00016014947201236244,8.1150608469752496e-05,0.00012077056376387469,0.00012600998701391527,0,9.9222391007449827e-05,0,0.00011032685181360958
8,0,0,0,0,0,0,0.0023920696734715226,0,0.0014705425220686782,0.0017964685083967644,0.0038171854392057736,0.0098979134215544922,0.020956869181345348,0.044582535415132553,0.060962151958898522,0.10818281212410008,0.16037161485274751,0.19986539523645774,0.19137123492602545,0.15351404490366796,0.12895113047861784,0.088123890312861372,0.06849786690684069,0.048455097852986344,0.043836707647790837,0.033361858415830115,0.025148621886686148,0.019108996561237171,0.012684432533358455,0.010333329648173342,0.0074950670648911795,0.0055664179234266257,0.0052758405964430065,0.0045998625753186865,0.0028971605589594618,0.0028770680380533018,0.003890563798201776,0.0020726777319666797,0.0015007507174434949,0.0013859327005204037,0.0013614099865344527,0.0017800951269860996,0.0015269557403018339,0.00085935214737900231,0.00090061449940052917,0.0011461836314429958,0.0013223877281678378,0.00020621865980212969,0.00024409217051380076,0.00050536897227084008,0.00034632944188472492,0.00057054533814675831,0.00035519884378520705,0.00012772321790389786,0.00010686993843775107,0.00026021667047265582,0.00030820299198204776,0.00023419410135703839,0,0.00022721962148483009
9,0,0,0,0,0,0,0,0.0016822111855044925,0.0014573343212169554,0.0010947215010695239,0.0014748175887789915,0.0027381352076880257,0.0086448921849262839,0.012796320585535632,0.01602169186421765,0.038541404683210143,0.061002562961145396,0.11401627936138235,0.1631374347124239,0.17520847776667353,0.19268299431696972,0.16023418045169463,0.13644575551675084,0.092892268213692175,0.090022233105029131,0.060544788255282887,0.044863178455183568,0.034039099598054609,0.028854203689324957,0.018605667989252391,0.014422506006869038,0.0091894202577018202,0.0098743490302056012,0.0078704559520391109,0.0064065186113399526,0.0051162651202279206,0.0043482503053361658,0.0048535470167211381,0.0034206402583088808,0.0019837066373972001,0.0030369332590116363,0.0028472138605243097,0.0015361231961702345,0.00093276438486404871,0.00067529655689309884,0.0013402105709729654,0.00080259989418470965,0.00053128791645732244,0.00084577206916485121,0.0010253313736188693,0.00032955577461118188,0.00075367582119099128,0,0.00058550634828014882,0.00034258851043137708,0.00073795447474117723,0.00013110750394970154,0.00031910646765757151,0.00025256046824078646,0.00035481922590819068
