global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,2.3886658438286297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,19.465944829895644,22.165531598018049,21.686160587080007,8.080349067435268,1.7885980742800336,1.7501996480742676,0.62560354129025131,0.22195238042940055,0.049989806792560813,0.13552582381801931,0.070778747750819618,0.0014254163014270544,0.014876757498422681,0,0,0.045033318135735308,0,0,0,0,0,0,0,0,0,0,0,0.0035896084223913834,0.0053205842414194258,0,0.0025362729166910451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041205536075023994,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,78.525156908505394,156.5715893303599,127.88509055927928,60.138791394136142,27.32880212409874,18.709190213983803,9.2847763556017249,7.9841207402637488,3.4202036675422485,3.184503359121555,1.9055885793144125,1.5811237054748832,0.32423213540064938,0.38936964986721728,0.97301723887239466,0.19755399960229794,0.28866932043216076,0.061955420449167048,0.034815598136013627,0.12671463080252507,0.14093009345202126,0.050480259963505039,0.065311863716821073,0.11115298823307988,0.050198481475013206,0.11573343371862002,0.070745215462441155,0.070019384928684814,0.071335808729052083,0.060964118617614284,0.010349911637176927,0.0088499028673469163,0,0.01136649082108139,0,0.022572414566025836,0,0,0,0.0063007674193956871,0,0,0,0.0037554755305711125,0,0,0,0.0025293721568599398,0,0,0,0,0,0,0,0
3,0,0,49.343385183657958,0,11.251433940670255,36.898766934582511,152.87477362153692,244.02974054273781,213.20515002068277,134.76921085388338,63.984399377039722,43.107968569487852,31.574473002300127,17.664147738241336,11.220895889868078,8.1278848961203085,4.8580461110570594,2.6454770552602631,2.0298384116334756,1.5646101777048109,0.86100163122250062,1.1918276920969992,0.23009706181006132,0.21469902865533838,0.23878500823159909,0.41324737275678963,0.076367434270283113,0.1364983020752272,0.26732193686343375,0.22187519092859773,0.092533630083058843,0.094917798923177921,0.24642448195425076,0.093721020436637201,0.1767620047847985,0,0.13532444674476868,0.011035738081482055,0.021086194526614904,0.028895040139289726,0.025614955104079424,0,0.0092844470881427357,0.012234843637726993,0.012938128797481342,0,0,0,0,0,0.0038328640173816118,0,0,0,0,0.0077966478541228231,0,0.0067550553496572296,0,0
4,0,0,0,0,0,13.91405080037344,38.661032321942486,101.67623270908527,289.96854914205773,374.28152906513742,356.71774457417655,235.50327298374876,136.90435086870653,104.7561612947504,80.113728594544938,48.635119006088125,31.778259550447491,19.582300952366385,14.31260815691415,8.1450917350790402,6.2204994284922552,4.544791770934455,4.0649821153075223,2.7843324203175941,1.8760234260724666,0.88817969621528159,1.0806507190968624,0.86603745282885003,0.71826734616626875,0.46096913708013731,0.62935811330135294,0.62818870706707131,0.4087152828517287,0.16470802095071282,0.2740584899134858,0.3493784803795788,0.14469247432553725,0.072316525280494343,0.1270894733078399,0.11359768714042871,0.045770259532814356,0.014427436002102631,0.012439531343687598,0.033654035256828488,0.042959438180515251,0.011796276927715375,0.020931686322181009,0.019895364945452142,0,0.0074066684307485305,0.018800805452987401,0,0.0064078910589708219,0.00936038196762062,0.018383943870006511,0.0079830593365431569,0.0086958518467166544,0,0,0
5,0,0,0,0,0,0.00031894046982546882,13.668803790402087,34.162092659352339,55.577070983379663,187.97422805625294,418.59595976508257,514.57961487911257,438.54518856868117,323.41941720428247,235.2526388197374,175.69689092811899,115.27998655166367,82.823223286578241,57.260212790429804,40.679347936355775,21.447105315752736,15.185090140365741,9.3965963218968707,6.6021901728226098,5.5630102965305559,2.2376281107369751,2.0052816440031167,1.5233294923855485,2.1249667715025859,1.2378517841357644,0.64620642089533031,1.0521248651006905,0.66783512464377626,0.25295850221662769,0.35155917821175148,0.537398676264362,0.35059107336933887,0.27666995227109614,0.15927100004061753,0.13581444967411258,0.12322888756591779,0.21140489068887958,0.081962994581254958,0.015768649804125255,0.052409287746409433,0.059553205142960274,0.08102778486653868,0.073802741594656759,0.02389220546024385,0,0,0.01104694345403974,0.024656034139298059,0,0.015155878306375417,0,0,0,0.017436280611795994,0
6,0,0,0,0,0,0,0,7.6676337536240462,26.028900818370328,62.839336901345675,107.25847845003207,258.12763234779084,497.09116964229219,554.29659116460346,516.11793863451624,398.41453202003862,305.88385675159714,215.4307033056285,160.69172851879176,110.74179237599232,78.3166005542422,59.046467425226048,32.491555953925229,26.169810064434742,16.966827310393558,14.453818078339184,8.8073497711111415,5.656141162590802,3.1563248547511122,2.2484047951824331,2.0963983284589522,1.3565489187294031,0.99524008160443567,1.5119804117355236,0.38127711094422551,0.605152995514325,0.58686648679814846,0.49023800056729216,0.22636123737968258,0.40338023505809101,0.16886587576930759,0.2190377243542376,0.062959903882399373,0.048404097398301933,0.13933958525502541,0.085241477572555985,0.034750122651161439,0.059326790727861962,0.017960329291173128,0,0.012995752350014598,0.014530951912656477,0.016216053242489405,0.013318030574814267,0,0,0.10030369717160907,0,0,0
7,0,0,0,0,0,0,0,0,8.0136587460038236,22.988195970767851,33.657519683460656,54.034125802619968,142.74410681905991,299.08797579100195,487.5172052251242,580.14448451812621,580.20669661261343,459.21527191327522,329.58917690809176,241.43321194712951,178.56106349056719,116.77454360581366,90.046363015817548,70.220076772717391,59.505899413437994,27.451461984018533,22.213470732401674,16.562757890144432,11.644646509718639,6.4137155905709848,4.1413208456173196,3.3911285193640621,3.4778042229053647,2.6269287587426584,1.1508513161631657,1.0575237929241856,0.81513070012907907,0.71638649788104014,0.7185527227429529,0.30222652033863767,0.34467726673323895,0.20830903859527508,0.54268975884224746,0.11944793086469405,0.34513712514043104,0.027618475840810119,0.14823131304126885,0.019960479736744356,0.12493364744101811,0.017341140291044128,0.074839971759044832,0.024386615061706203,0.031931557007377175,0.016432608816811686,0.024597986187741706,0.024926764379426886,0,0.021190033021388076,0,0.025363769350027137
8,0,0,0,0,0,0,4.8183082336979437,0,3.2724151891570528,4.2919892615321418,9.6136209702176565,24.398814328030646,57.166519649353312,125.4458002876154,173.72918578581715,316.73294804394317,477.43870438969805,573.34658310919338,552.18939510952498,474.90338290275281,357.97226587095201,250.95416031335773,192.78003222950076,126.36291842151958,106.33833311064349,72.753624329911034,52.501615507288768,36.289721651294954,21.038582492657891,16.506044718534316,11.240517476974096,7.2552659676164044,5.7375501692643853,4.5942683368567607,2.5694611641157179,2.2787877026307757,2.7502997651393457,1.1752446367923348,0.79310344077064565,0.62736333062538552,0.54690240305315752,0.64709077988120911,0.50543475245155789,0.25170072515979958,0.25582024439373746,0.29771521471007745,0.31252827089131785,0.047112618101008745,0.052305465110100167,0.10393779365139877,0.069398581649697741,0.10746237057040976,0.070821664203839965,0.025863338750213485,0.021766771534794629,0.051474964692715765,0.065957838751021902,0.050014726421955986,0,0.052237020964562467
9,0,0,0,0,0,0,0,3.4435654397964837,3.2430228278754409,2.6154273815530948,3.714343336089426,6.7496299161335287,23.581690312598671,36.006132483092017,45.658419085310697,112.83985401548216,181.60934933131821,327.07434978092408,470.72257974608601,542.01619699909895,534.89386106531742,456.30570854275317,384.01220846588001,242.24774338275876,218.37438815433052,132.03259617482129,93.658784020125125,64.643344600305511,47.857997823816554,29.719944906924606,21.629750531702424,11.977485157418153,10.738492172759827,7.8608840992546307,5.6818738326793916,4.0523483925888835,3.0738454408743046,2.7520463084285471,1.8077096528894434,0.89795471493954404,1.2199896531488303,1.0350041464439392,0.50846925480493954,0.27320286891651985,0.19181850873779135,0.3481126993513306,0.18968351853554552,0.12137778770239091,0.18123687196389668,0.21087697619550205,0.066037421502547169,0.14195504716568397,0,0.11856222599530845,0.06977683290562503,0.14597904301494544,0.028058026137095664,0.068148696260451433,0.058485838612087539,0.081571737604683142
