global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.36286249672542781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,5.7767642031165138,3.3671683955640908,2.1228370707376873,0.61934543676220877,0.11957688050556649,0.10689483425157752,0.033900127110175114,0.010438991922025354,0.0021013705531932104,0.0051413483337595023,0.0025194123045544498,4.7033043873984573e-05,0.00046431072409259589,0,0,0.0012442940914612808,0,0,0,0,0,0,0,0,0,0,0,0.00010856682815973938,0.00016939888300145615,0,8.7164069228157137e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8195841485828054e-05,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,7.6867508843488705,12.000954237134728,8.5497689012138913,3.6730244719450389,1.4808897402739298,0.87994138712801995,0.39029467962555747,0.30288800103225699,0.12174421670222915,0.10507588979897756,0.059474331901818389,0.046304337088907299,0.0092136225194457896,0.010758486711190583,0.026092685090986764,0.0051989057022225763,0.0074826805958175483,0.0015989906651225976,0.00089591494022000324,0.0033101553403117891,0.003748291588627523,0.0013562142807781712,0.0017848564671428427,0.0031087186871793641,0.0014491207691536513,0.0035003293764547662,0.0022524143840710509,0.002293397372039296,0.0024515971170081712,0.0021768922720992864,0.00039487162876620672,0.00035372816780775449,0,0.00050044914722768624,0,0.0011002564463773751,0,0,0,0.00032708379967285673,0,0,0,0.00017414676531762616,0,0,0,9.1252691636653114e-05,0,0,0,0,0,0,0,0
3,0,0,14.643270782920078,0,1.1013918748919074,2.8282296633924506,10.220456345406964,14.904310314810735,11.553134228330379,6.3385429825967465,2.6896469768847768,1.6353568355658676,1.1239124499895667,0.58284631285435462,0.35020953296742741,0.23803091481495187,0.13804986663037508,0.07309591220960085,0.054432678419674883,0.041174872647480446,0.022318271263710259,0.030759558086790977,0.0059211217504006744,0.0056085641552377089,0.0063509206296635708,0.011102399013634238,0.0020869854445956567,0.0038175745805386066,0.0077170017772749981,0.0067105608445187769,0.0029461226182856764,0.0031089137791182162,0.0084688680241068754,0.0033465679443584612,0.006743854747767856,0,0.0057351789334687672,0.00048588661169396554,0.00098801659815112952,0.0014084427737490344,0.0012819498336059771,0,0.00048137606727206557,0.00063513202107924182,0.00066311994885867066,0,0,0,0,0,0.00014803796013596282,0,0,0,0,0.00017071410197256432,0,0.00011925060052378666,0,0
4,0,0,0,0,0,1.0664890586000522,2.5846866932603891,6.2099567067798294,15.712779779979158,17.603423990836895,14.994980223872803,8.9341228559934365,4.8731931135594975,3.4565348560371705,2.500387825602103,1.4243141994640094,0.90303475767753827,0.5410691990051435,0.38381064851619312,0.2143493118432204,0.1612433572788064,0.11729529981339823,0.10460478646965779,0.072734874985989961,0.049896247535020435,0.023862040107860517,0.029532252104541214,0.024221272466024683,0.020734813057094403,0.013941898726374783,0.020037754608074953,0.020575535352099029,0.014046314564432808,0.0058813549033542214,0.010455927169525382,0.013964561147005568,0.0061322048642727684,0.003183985627294043,0.0059549156164684543,0.0055371385814407563,0.0022906609187399738,0.00072066370508662349,0.00064495953502491116,0.0017470395260492739,0.0022018068373848695,0.00059218469257490307,0.00099897603336863853,0.0009225764944705378,0,0.00030019353737460036,0.0007261496561192074,0,0.00020810845489363224,0.00026612763707941278,0.00046111907331084,0.00017479573672305953,0.00017109028619628191,0,0,0
5,0,0,0,0,0,2.4446261286073021e-05,0.91382907149604908,2.0864769550870941,3.0116034299647194,8.8409119308920392,17.596091682972759,19.521246733742949,15.610281041886507,10.671548812679255,7.34234748981204,5.145408948609199,3.2758821972453034,2.2884489004484272,1.5355048614709239,1.0705330915839186,0.55593659396289297,0.39190787839801444,0.24180400403046637,0.17246844283025983,0.14795835432432067,0.060116631749640728,0.054800762174851039,0.042604368402405779,0.061343160029224145,0.037438524240469791,0.020574177744591873,0.034461033942767672,0.022951483909464478,0.0090325821339453365,0.013412746907861388,0.021479676329407303,0.014858383585652932,0.012181353405995354,0.0074628160830839908,0.0066200593351696162,0.0061672273587322912,0.010559868834287471,0.0042495825135084849,0.00081857804777352259,0.0026861414625029738,0.0029896294140548166,0.0038670947898185419,0.0034223385602322261,0.0010550494538158473,0,0,0.00039854290393964042,0.00080075162347689516,0,0.00038015045135389767,0,0,0,0.00027196408858158675,0
6,0,0,0,0,0,0,0,0.46830682436559579,1.4104508495285355,2.9554958096393724,4.5087153293168383,9.7924073440839496,17.694260623135307,18.289573274379329,16.108287967319367,11.667854152015416,8.6922241295388911,5.9524628061956797,4.309151473848698,2.9143228535839687,2.030067159268282,1.5239142844469447,0.83611001874485835,0.68363168476364811,0.45126356291599973,0.38831960262853271,0.24068912296722758,0.1581905444827035,0.091116220387909952,0.068002452721426743,0.066745966054345449,0.044432063041191273,0.034203407212494832,0.053989437533204544,0.014546550645806866,0.024187797714307426,0.024871960630969144,0.02158442681953146,0.010606402185414057,0.019662127977743679,0.008451218456741131,0.010941135899952164,0.0032643183421705913,0.0025127409159772032,0.0071415936643240141,0.0042792059308420245,0.0016584683694760144,0.0027510680386091417,0.00079310533473085133,0,0.00050193919210381427,0.00052423621034826666,0.0005266471844965104,0.00037864865127161507,0,0,0.0019734683338832834,0,0,0
7,0,0,0,0,0,0,0,0,0.43424314630127153,1.0811940452114821,1.4148268475978636,2.0498548161159715,5.0810627561351529,9.868708442211755,15.215645384397508,16.989945618030838,16.487586831075472,12.688357713908971,8.838349680655746,6.3536476346958413,4.6285327548807134,3.0138025663605696,2.3171763880998775,1.8343529918699999,1.5826673833934517,0.7375172948372426,0.60705444061924807,0.46322600753072685,0.33615556907005856,0.19398125824629028,0.13185302469923196,0.11107217297721456,0.1195216674248102,0.09380174837154151,0.043907479562312085,0.042268933263029405,0.034546015386422872,0.031541398096680696,0.033668570012509287,0.014731551039704948,0.017250038617716276,0.010405228173268282,0.028137148004638467,0.0062007499229406607,0.017689367323109714,0.0013864746246123525,0.0070744194635705944,0.00092559596036388822,0.0055169112250938466,0.00070283937977653555,0.0028905686989153072,0.00087980104400700956,0.0010370380722765436,0.00046720009617086871,0.00061698407460380696,0.00054579227839120117,0,0.00037407897228371645,0,0.00033871167314402257
8,0,0,0,0,0,0,0.32212841788494473,0,0.1773252284360439,0.20186330574095837,0.40411798549664402,0.92560074425055183,2.0348768181119259,4.1392102944435551,5.4221710649503008,9.2757506212869067,13.567254809534012,15.841865428880524,14.807655426405901,12.497736873706879,9.2791022047765566,6.4768079500642592,4.9608371045576192,3.3009675882040361,2.8282609468572657,1.9546156134284802,1.4347752864614221,1.0149482946275288,0.60733802991308372,0.49922128257105536,0.35788007830692176,0.23763716177348229,0.19718233667307894,0.16405104289598116,0.098030529196154029,0.091082513667867626,0.11656032337971511,0.051744217764712025,0.037161725058692467,0.030579827723892911,0.027370785611138832,0.03232277993737917,0.026205566264520724,0.013066222586196769,0.013111595195466863,0.014945596307910989,0.014915580501496693,0.0021846794050839197,0.0023097429196237882,0.0042126165407368448,0.0026804041096059167,0.0038769425596821552,0.0023000683024757881,0.00073532781593616437,0.00054596954766973594,0.0011270872477509221,0.0012977159348754777,0.00088293668254750795,0,0.00069758120438622449
9,0,0,0,0,0,0,0,0.21031849556507617,0.17573251880805835,0.12301028380887827,0.15613606476409261,0.25605598656536227,0.83940451934691895,1.1880585391891083,1.4250211196002571,3.3045957247391202,5.1607469095352947,9.0372350461556525,12.623019971121284,14.263903049031629,13.865137829761091,11.776670436780556,9.8818430017314363,6.328216847244601,5.8080631484802243,3.547218112386219,2.559527118807376,1.8079403581966729,1.3815561064556001,0.89887245959754491,0.68865662367429137,0.39230754471265278,0.36904966693159735,0.28069458290489141,0.21677583861635508,0.16197124349443714,0.13027249725610146,0.12116837552270492,0.084702203588155542,0.043769374374074257,0.06105673527438979,0.051699409572678254,0.02636289785305056,0.014182436280962003,0.00983130417816774,0.017475599556538435,0.0090527483560293373,0.0056284614125994411,0.0080031901238660393,0.0085468798862634587,0.0025505849222781122,0.0051213421125652116,0,0.0033708757997433902,0.0017501918388959782,0.0031963327960147425,0.00055203973187641108,0.0012030653389663703,0.00091223857582937746,0.0010893215177939571
