channel,channel_reco_bin,global_reco_bin,published_data_counts,published_background_counts,published_signal_counts,published_total_prediction_counts,reconstructed_total_prediction_counts,closure_residual_counts
nue_cc_fc,0,0,0,9.2950600000000001e-08,0.027298699999999999,0.0272987929506,0.027298792950600004,3.4694469519536142e-18
nue_cc_fc,1,1,5,1.37232,0.75760200000000011,2.1299220000000001,2.1299220000000001,0
nue_cc_fc,2,2,6,2.4190499999999999,3.60554,6.0245899999999999,6.024589999999999,-8.8817841970012523e-16
nue_cc_fc,3,3,12,5.29115,7.8384300000000007,13.129580000000001,13.129579999999999,-1.7763568394002505e-15
nue_cc_fc,4,4,19,3.20933,12.856600000000002,16.065930000000002,16.065930000000002,0
nue_cc_fc,5,5,14,5.4722299999999997,17.454699999999999,22.926929999999999,22.926930000000002,3.5527136788005009e-15
nue_cc_fc,6,6,18,5.8923699999999997,20.368600000000001,26.26097,26.260969999999997,-3.5527136788005009e-15
nue_cc_fc,7,7,24,4.8585099999999999,21.380500000000001,26.23901,26.239010000000007,7.1054273576010019e-15
nue_cc_fc,8,8,25,4.0061900000000001,21.997299999999999,26.003489999999999,26.003490000000003,3.5527136788005009e-15
nue_cc_fc,9,9,22,2.5697199999999998,21.720800000000001,24.290520000000001,24.290519999999997,-3.5527136788005009e-15
nue_cc_fc,10,10,29,2.6894499999999999,21.769400000000001,24.458850000000002,24.458849999999995,-7.1054273576010019e-15
nue_cc_fc,11,11,18,1.19198,19.674099999999999,20.86608,20.86608,0
nue_cc_fc,12,12,16,1.9441999999999999,18.905100000000001,20.849299999999999,20.849300000000003,3.5527136788005009e-15
nue_cc_fc,13,13,18,2.6277300000000001,16.934799999999999,19.562529999999999,19.562530000000006,7.1054273576010019e-15
nue_cc_fc,14,14,15,1.0890500000000001,15.764099999999999,16.853149999999999,16.853149999999999,0
nue_cc_fc,15,15,20,1.65235,14.103300000000001,15.755650000000001,15.755650000000001,0
nue_cc_fc,16,16,12,1.7649900000000001,12.360900000000001,14.125890000000002,14.125889999999998,-3.5527136788005009e-15
