reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0.24901473797466581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.79178127945698729,0.75098526202533411,0.5916061384469774,0.2008136652036551,0.041572338154457197,0.038710502433376301,0.0130941996941646,0.0044797365991723001,0.00099213703474809994,0.0026744961123471999,0.0014072005687624999,2.8616403957175952e-05,0.00030392413936380003,0,0,0.0010225372596820001,0,0,0,0,0,0,0,0,0,0,0,0.00025804347982730003,0.00044598670366569998,0,0.00029399723600420001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059166999147669997,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.37655049555955966,0.68397544222601869,0.52248763403515053,0.23380851327540991,0.1005459926449311,0.066376151864458111,0.032391127001311699,0.027695640898159599,0.011952795911520601,0.011237752330860201,0.0068430617912858,0.0058306373502093004,0.0012405362236505,0.0015540740168241999,0.0040845056097065001,0.00087795937957370004,0.0013685683875758001,0.00031616281671120001,0.00019235877544680001,0.0007643817141291,0.0009392089729853999,0.00037544196513839998,0.00054642465203499999,0.0010576005019693,0.00054837477009249999,0.0014624097078697999,0.0010423751982563999,0.0012099432331965001,0.0014535141397840001,0.0014754954083792001,0.00029814429036039997,0.00030433339525519999,0,0.00055922166208429997,0,0.0015770108913368999,0,0,0,0.00084377244133629998,0,0,0,0.00085309192098279995,0,0,0,0.0008347854490974,0,0,0,0,0,0,0,0
3,0,0,0.20821872054301241,0,0.031843365993462602,0.095134071825237906,0.36862824699430541,0.55994460651383404,0.46295474963974415,0.28219183835208889,0.13174234584808919,0.088254846559523203,0.065125388884030397,0.036789773718405701,0.023781844567132702,0.0176898605002332,0.010970128365160399,0.0062317537693791,0.0050289476172391996,0.0041038495455913001,0.0024091649248057997,0.0035895634850235999,0.00075031892233330005,0.00076438171446290004,0.00093920897298540001,0.0018139612941945001,0.00037708832850229999,0.00076652167124060004,0.0017235273039140002,0.0016546862198958002,0.00080468013257350003,0.00096803496783289997,0.0029634131734645004,0.0013387431283123001,0.0030052143675072,0,0.0032867355186545003,0.00032044658529400001,0.00073022136158400002,0.0011914523001090001,0.0012534756459148999,0,0.00062884525244439997,0.00096700115865939996,0.0011795406758463999,0,0,0,0,0,0.00068777650892690005,0,0,0,0,0.0019054708550665001,0,0.0018364695866758,0,0
4,0,0,0,0,0,0.020076501732528701,0.0521718761147913,0.13056656481708109,0.35237247158192619,0.43859369326432729,0.41104203042027981,0.2698287229422674,0.15803078352035541,0.12210240774481079,0.0950244079127925,0.059238911563944396,0.040159695254756898,0.0258154815537113,0.019844705161226401,0.011956153533918101,0.0097408764710150992,0.0076604164557196996,0.0074182879875254008,0.0055476814783109001,0.0041295588295805,0.0021818705466389002,0.0029862795586195002,0.0027217240235857003,0.0025916712780132004,0.0019239287272579003,0.0030628923856329,0.0035854505365596001,0.0027506761142923001,0.0013166950989465,0.0026075942955319999,0.0039683883476240994,0.0019667296504937001,0.0011751736314149,0.0024630664498984001,0.0026213986479125999,0.0012534756459147999,0.00046487628489890002,0.0004715220250458,0.0014885928902561001,0.0021918471688658998,0.00069177794860460001,0.0013969000250406,0.0014927590387171,0,0.00067842376750500003,0.0018880374576016002,0,0.00074032348728730001,0.0011649759504196,0.0024199234568666999,0.0010918776404468999,0.0012581758548322001,0,0,0
5,0,0,0,0,0,3.190125591539816e-07,0.0127866628139389,0.030410299219570901,0.046817738054538503,0.1526954136734838,0.33436456544130988,0.40870269710103191,0.35091544948564868,0.26132107607402921,0.19343115562651891,0.1483490806769395,0.1009898932942274,0.075688924387800005,0.055035450062792202,0.0413935983858158,0.023281189250363602,0.017742689825256699,0.0118871930401432,0.0091188938226637005,0.0084886564927691005,0.0038104805003513001,0.0038413527360066,0.0033186767931676999,0.0053150778674922999,0.0035813723177979999,0.0021800621127492999,0.0041627908437524997,0.00311567056449,0.0014017915786987,0.0023187765408881002,0.0042313436875287998,0.0033034160259965001,0.0031166653891312002,0.0021397692944915003,0.0021725673849976998,0.0023394229643516002,0.0047220106344546004,0.0021536715829161002,0.00048350057932969998,0.0018536324715993,0.0024209765915378001,0.0037485108225239999,0.0038386099984173,0.0013807505548242998,0,0,0.0008347854490974,0.0019746645353776,0,0.0013829540447625999,0,0,0,0.0019063785872815999,0
6,0,0,0,0,0,0,0,0.0051890236850011002,0.016669350042461298,0.038806756170986001,0.065133574319113402,0.15586101116116149,0.30239336110464821,0.34048549937244132,0.32261825834857705,0.2557431552935302,0.2037176318424383,0.14967038300478699,0.1174170466540717,0.085668036419428606,0.064630627162677201,0.052449828402904804,0.031248366540757699,0.027479116492971398,0.0196823885402456,0.018712098022266602,0.012826321442173598,0.0093678388957950994,0.0060018791818777003,0.0049454224240272999,0.0053767453549573001,0.0040803820755499999,0.0035298658280065003,0.0063698381224955997,0.0019118299331964,0.0036223879666756002,0.0042038749846795998,0.0041983942711299998,0.0023119602820396001,0.0049055754244431999,0.0024371720162793,0.0037194516269587002,0.0012576905048887999,0.0011283210282495,0.0037466053600489005,0.0026344167847191999,0.0012221632202079999,0.0023458509597,0.00078908056334759996,0,0.00068777650892690005,0.0008347854490974,0.0009873322676888,0.00087352463445689997,0,0,0.0076481767642388003,0,0,0
7,0,0,0,0,0,0,0,0,0.0041593663420869996,0.0115057287120909,0.016564902302859202,0.026442627789049697,0.070376535254237108,0.14889799759026801,0.24698093262636819,0.3018133923342543,0.31317586769095007,0.2585699695194506,0.19518393203315698,0.15136928764903812,0.1194276252879457,0.084068213949229101,0.070186967377897008,0.059758128146349197,0.055946210583018102,0.028803075910624299,0.026218436299943998,0.0222323472824669,0.017945904559255599,0.011433312640302,0.0086083126699551,0.0082669081344462006,0.0099969831703121993,0.0089694128965045004,0.0046769339025679001,0.0051304258251702005,0.0047322886146672002,0.0049722977949249996,0.0059479928761995001,0.0029788004066665999,0.0040317205035582003,0.0028668277612123,0.0087860737134061,0.002256642056499,0.0075212254095154991,0.00069177794860460001,0.0042251906931457996,0.00063966711773429997,0.0044485652104456,0.00067842376750500003,0.0032100590193049998,0.0011354442585987,0.0015756935433348001,0.00087352463445689997,0.0013829540447625999,0.0014561823922828001,0,0.0013770253573171,0,0.0017769432533432999
8,0,0,0,0,0,0,0.0023532418873562998,0,0.0014392242237431,0.0018202523369671999,0.0040091979299612,0.0101174003590443,0.023882246627793299,0.052918772511749201,0.074577873335621492,0.1396237550239324,0.2183669493105489,0.27355378088762139,0.27709131528694708,0.25229564255072356,0.20287622035349939,0.15308822006610812,0.1273257027152962,0.091121123218053199,0.084715763990810711,0.064683238428630996,0.0525081557759784,0.041276230870117794,0.027473832812118897,0.024932689614621199,0.019798358834541598,0.0149870422471775,0.013975072130590998,0.013292167661063399,0.0088480547854919989,0.0093676544982741992,0.0135296866008499,0.0069119684746731004,0.0055629526826504001,0.0052395223310513,0.0054206496685841998,0.0075460978118464007,0.0069338117689557001,0.0040293245042277003,0.0047238442319539001,0.0063187586533629998,0.0075484781036260001,0.0012793342354686999,0.0015781611266951999,0.0034455664322838001,0.0025222825103780998,0.0042396933293581997,0.0029612939491492,0.0011649759504196,0.0010369694121041,0.0025480600327298002,0.0034538590826249001,0.0027540507146342,0,0.0031010009317223
9,0,0,0,0,0,0,0,0.0013704900557264001,0.0012213948917393,0.00094986452917210004,0.0013264735076045,0.0023967691618879002,0.0084363461554592001,0.0130069701589801,0.016784334030729701,0.042596568992773004,0.071130116448551592,0.1336343215382059,0.2022767266199397,0.24658280273997521,0.25959445490222199,0.2383687445474843,0.2171926369573364,0.1495909052644869,0.14897799256382721,0.10052274008203349,0.080213717879147203,0.062963121043910497,0.053518426330133699,0.038443254483784002,0.0326242420016645,0.021187234264845201,0.0223983950562614,0.019475870568268598,0.0167549588015726,0.014265263779561402,0.0129489861068708,0.0138603833292913,0.010858010126579099,0.0064220404039686003,0.0103548470707511,0.0103358296148265,0.0059733461079220992,0.0037452349467551999,0.0030331731474458,0.0063269825711777996,0.0039232476273566002,0.0028224875417908,0.0046827057067429,0.0059863531455299004,0.0020553191785132002,0.0047959527837798995,0,0.0045732479642839,0.0028466181485239002,0.0061879977059066003,0.0012581758548322001,0.003213494943993,0.0028588893324228001,0.0041467632604141004
