reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0,0,0,0.0010781639703908001,0,0,0,0,0,0,0.00015795926607479999,0.0001839388100062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.31176671130844502,0.024050731406772399,0.011313450033487601,0.00051253554702509997,0.001794435539075,0.00031685190571699998,0,0.0002096289765769,0,0,0,0,0,0,0,0,0,0.0001229581903936,0.0001403294330754,0.00026016540249999999,0,0,0.00035312987193589999,0,0,0.0004418028205663,0,0,0,0,0,0.0011922207198930999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.26424085163133759,0.80584872210402303,0.53338332822646994,0.25341840794398718,0.1345009042166751,0.059330704235618405,0.031167294244667298,0.0225229909754977,0.0149500512547904,0.0083102984545735011,0.0067728660335375996,0.0031944378703079998,0.0049662733303544003,0.0031961389565350004,0.0017705823192394,0.0011365448895537999,0.0020503242416864999,0.0020868816328418281,0.0022728051253101999,0.0021450777136391998,0.0048725524008272998,0.0026088097648201999,0.0031801478699363,0.0019254924169356999,0.0048308394622851997,0.0063854616332558994,0.0052127761547112999,0.0037954351188714004,0.0021870688783037998,0.0077831140756554999,0.0048762298064951,0.0046865381955002996,0.0019526386637043001,0.0070936363060325001,0.0069327883867724002,0.0096847252923992003,0.0030998893719433001,0,0.0054091362928279998,0.0095054006830364007,0.0098677855655866006,0.0140527198813771,0.014212041301565,0,0,0,0,0,0,0,3.0991612319206119e-08,0,0,0,0,0
3,0,0,0,0,0,0.086782171151125909,0.34350268457511646,0.50782048780269606,0.42942561190705542,0.27572280922219028,0.1735711511909204,0.1246958613403477,0.099003089240040809,0.052354353597434899,0.039481872946727899,0.0300776302708326,0.021999752709605899,0.017799841963742999,0.0130467090152964,0.0118127483310295,0.0084582930820291009,0.0074154503067705001,0.0069104548924655996,0.0099898390467447994,0.0040920769449881,0.0115959062913608,0.0074967308491102006,0.0069440224753911,0.0089586465142649993,0.0078693829648143997,0.0053287083446098994,0.0069982584304834998,0.0074692592015782999,0.0079730887204207991,0.0098892241843457004,0.0094171181294256997,0.0090422846124603006,0.016162399755221497,0.0043694010170543,0.0062448160582367004,0.0074997549406690999,0.0162126839296374,0.017672238102405299,0.0077507170760857001,0.0098677855655866006,0.0114586075413335,0.011612649465368999,0,0.0398144055701843,0,0,0.0244649151224649,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0.058825637372076203,0.083401296308923706,0.157073522468581,0.31901351464148531,0.45783998233090217,0.34510280446165853,0.2372612649025129,0.1886711087853272,0.1534921233710469,0.1105918058160026,0.087824722622316304,0.067217546957057395,0.045685978524296303,0.037217602919498299,0.028076162624232001,0.0251195659453794,0.022699091812016702,0.020279099368795399,0.013981130673483701,0.015192696377391899,0.014023665018907699,0.0145388344250021,0.011506518731371599,0.0130735451746005,0.0115092854672003,0.0093808197947888999,0.0102672844268806,0.0077078870085745994,0.013326621556010901,0.0095764432493000984,0.0138625305442157,0.013869837496738599,0.028505081981568897,0.0087388020341086,0.0054720071060818005,0.020395460316850102,0.01292407641009,0,0.0077507170760857001,0.027781777349795596,0.068073102370948296,0.020025955382587099,0,0.019197352977954,0.013814052759241399,0,0.0244649151224649,0,0,0.049122446058724706,0,0.039513621757475401,0,0,0
5,0,0,0,0,0.34462753351109948,0.0089806542791535,0.017969365317984199,0.037045768263353096,0.075533669037434803,0.13680056449614469,0.31717633685636198,0.38920457066111069,0.28343443692336734,0.2308293670825656,0.19097513424934343,0.15865829764445219,0.1176680325735482,0.094887644481173594,0.078055796902340296,0.061017953830465897,0.047766624551308999,0.039492668348557802,0.043453624736448399,0.027217837225427498,0.027665274953961001,0.025528209495106501,0.024103679849602197,0.0207924478179124,0.020789632947288902,0.017448202278730601,0.022653684142529398,0.012578893693035602,0.021994388608718,0.023680961913488799,0.0158665430562412,0.015087145938249499,0.011977539541013601,0.012217069144199601,0.015783600214334802,0.0047810810315414001,0.0074997549406690999,0.0054691832525452996,0.017078382419158902,0.0132114215257574,0.0056688889130754004,0.0140527198813771,0.037455458455541699,0.0124407010546613,0.050323742481651702,0,0,0.0244649151224649,0,0,0.018373913795332,0,0.027838999673906399,0,0,0.034821925040126302
6,0,0,0,0,0,0.0074979742617781999,0.0054988820767940998,0.032086088092718498,0.021330427427976299,0.045512418429402499,0.089797637087521198,0.144495123013196,0.28104756570295758,0.32505482214328485,0.26909728767095598,0.21995661576180159,0.1950976542402518,0.15647053180649451,0.13638313921679551,0.1196999443820175,0.094939281196548098,0.078624908079417605,0.063677561585924108,0.057178491830868303,0.044965013049801994,0.040728696014509201,0.035176513496082598,0.031279811641506297,0.034783662923907999,0.031606323732401999,0.0272712996826063,0.0233959484098923,0.0234176233860794,0.023472184198285301,0.0136226134426632,0.0198777412202568,0.025115225584748102,0.0129962849696153,0.0152032753551308,0.019034791601139502,0.027968307218663099,0.018361584162500402,0.0130310619374277,0.026422843051514801,0.0092567991184668002,0.040290522195058902,0,0.038735684192092501,0,0,0,0,0.073858227274643806,0.031788010753750803,0,0,0.027838999673906399,0,0,0
7,0,0,0,0,0,0.0080141094250701997,0.0018243211970403999,0.0039706710455502999,0.0082900070200721994,0.012989168870980301,0.020661775786118601,0.049692630782799702,0.080545989405358898,0.14159454528436438,0.25199020783427351,0.27744532394519017,0.23548441386791119,0.2177156282063345,0.19796194264275879,0.1783967472921113,0.1500326095031061,0.12376238774228421,0.104563880370708,0.087232323439617399,0.074796264794588702,0.067314930225264996,0.054098746237248599,0.053351612552193402,0.049723732281850397,0.0399651667580848,0.043998977545339699,0.034465317813352499,0.037429394177290395,0.043872254604179303,0.039194674623022598,0.030903930634598502,0.022897024689310201,0.0234119602432214,0.033712390705943299,0.029196509831602498,0.046368320290156299,0.034771093603161496,0.024865079638926903,0.0132114215257574,0.029180661313938601,0.0080730684108008006,0.014212041301565,0,0,0,0,0,0,0.031788010753750803,0.0031186491572161002,0,0.055467522194124298,0.0276729882424811,0.041292644907270797,0
8,0,0,0,0,0,0,0,0.0043587827179072001,0.0040951211872306999,0.0072698693591140996,0.011808862253791599,0.016447836099449799,0.024509092482986602,0.043821006589070503,0.075769992106817508,0.1361645814638702,0.2153094525239882,0.2285991065715085,0.2102116286965128,0.19020666955793541,0.1864547284126141,0.19608879216787589,0.15271069874448828,0.12203154282867198,0.12359852370947901,0.1047138000873976,0.081880059311169401,0.072689543468842099,0.066718025759062799,0.053247980962031101,0.059302550664443898,0.059880411251292398,0.0471247066529034,0.046545817903278497,0.039251312377701103,0.040853412431624103,0.037767352784159797,0.037089255302446403,0.055895829287265206,0.029566615057969897,0.025791410752362,0.043794656267724101,0.0291212285104166,0.022716822208793799,0.031629086915906802,0.0216603049924767,0.074277668279214601,0.0124407010546613,0.080730383044254603,0.019607143290356701,0.023888546429693999,0.0244649151224649,0.030786227482609799,0.018261716423906501,0.018373913795332,0.051279455365047202,0,0,0.030627652120433099,0
9,0,0,0,0,0,0,0,0.0012181390625677999,0.001147201014418,0.0023985051670731001,0.0035094332079066998,0.0062314936835434999,0.012492093080183,0.018715739037411101,0.027462216714161099,0.048206266076851099,0.080104507636618805,0.14025875299005469,0.18881850922552379,0.19959068062260191,0.17796672007402808,0.17168880799122821,0.17184682065786089,0.1768872190382243,0.14455320679702369,0.1423516645508241,0.1387692736094418,0.1100100848061821,0.089637269411231596,0.093427139415166394,0.075327367736450407,0.066607601047793799,0.066567782344010007,0.054814280154517801,0.049798156463026905,0.042346914915098899,0.0396235465747658,0.036972330373358002,0.044579140820763599,0.0339064238859417,0.062750384558746902,0.0120611199045331,0.026672081499213601,0.0304675392848795,0.025960198002831301,0.0195316759521343,0.028424082603130001,0.045227839202041299,0.050504450175321701,0.033421196049598201,0.067812996085743801,0.0300035233685692,0,0.050049727177657398,0.031983311741162201,0.021195444376876101,0.060513357107703898,0.048170129653794497,0.098816745656863991,0
