reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0010781639703908725,0,0,0,0,0,0,0.00015795926607488898,0.00018393881000628692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0.0099102070527385937,0,0,0.0017944355390750132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0.31176671130844502,0.014140524354033906,0.01131345003348766,0.0005125355470251789,0,0.00031685190571703359,0,0.00020962897657699969,0,0,0,0,0,0,0,0,0,0.00012295819039360618,0.00014032943307544426,0.00026016540250003891,0,0,0.00035312987193593018,0,0,0.00044180282056632836,0,0,0,0,0,0.001192220719893173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.26373018958745797,0.44335501780337022,0.19865085868764185,0.058071162894661139,0.030438158953594835,0.0092419237785150449,0.0040459175564607252,0.0045687579967334099,0.0038284075170795062,0.0013714831535776594,0.0014618911234227491,0.00091247816109602724,0.00062382501127752335,0.00060740196391449145,0.00016996905963732,0.00018141274449331407,0.00020029396391287428,1.2142837961279412e-06,0.00075132106042346159,0.00096114193684234848,0.0012882141613144605,0.00026249389892459316,0.00085229503963433627,0.00071228215574510611,0.00085680620763145619,0.0024100816876899841,0.002388387107179181,0.0021763675775150872,0.0014580459188692208,0.0034525144778430072,0.0020729881782612543,0,0,0.0034844988870488154,0.0043694010170543373,0.0062448160582367985,0.0030998893719433726,0,0.0054091362928280901,0,0,0.014052719881377103,0.014212041301565002,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.0005106620438797341,0.36249370430065286,0.33473246953882818,0.19534724504932616,0.10406274526308038,0.050088780457103479,0.027121376688206616,0.01795423297876432,0.01112164373771091,0.0069388153009959158,0.0053109749101149925,0.0022819597092120117,0.0043424483190769225,0.002588736992620657,0.0016006132596021899,0.00095513214506056971,0.0018500302777737334,0.0020856673490457327,0.0015214840648868598,0.0011839357767969984,0.0035843382395129575,0.0023463158658957131,0.0023278528303020329,0.0012132102611906567,0.0039740332546538649,0.0039753799455660875,0.002824389047532282,0.0016190675413564907,0.00072902295943461039,0.0043305995978125409,0.0028032416282339719,0.0046865381955003742,0.001952638663704301,0.0036091374189837532,0.0025633873697181687,0.0034399092341625688,0,0,0,0.0095054006830364319,0.0098677855655866821,0,0,0,0,0,0,0,0,0,3.0991612319206119e-08,0,0,0,0,0
6,0,0,0,0,0,0.048337995594620473,0.27243779228153214,0.27140339339497954,0.16829331685724427,0.12174853726560396,0.069888990043630764,0.0477964818965817,0.035052976744537327,0.017960904249638018,0.014389920312768388,0.011052075946568068,0.0082305913119533614,0.0057054518502288112,0.0045803559592408963,0.0048558101832210012,0.0038223853340164965,0.0032611805129204802,0.0018271931148415397,0.0039559758564434774,0.0018327075730761953,0.0068101285470145902,0.0032968561140742608,0.0024801085880343274,0.0028333711570867576,0.0029010563357832584,0.0025868529150245537,0.0034830320520627422,0.0051171469313595723,0.0056141693181927903,0.0055801850027868199,0.0057049892799227427,0.0039052773274086019,0.010873332158680955,0.0043694010170543373,0.0034399092341625688,0.0074997549406691276,0.01175310421897934,0.0084521389872774522,0.0077507170760857036,0,0,0.011612649465369084,0,0.039814405570184397,0,0,0.024464915122464934,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0.03844417555650554,0.071064892293584481,0.23641709440771663,0.26113229504981122,0.15397427195658642,0.10368216114728974,0.076899379443766,0.063950112495503572,0.034393449347796999,0.025091952633959681,0.019025554324264629,0.01376916139765267,0.012094390113514233,0.0084663530560556491,0.0069569381478085043,0.0046359077480127289,0.0041542697938501752,0.0050832617776241261,0.0060338631903014001,0.0022593693719120595,0.0047857777443463013,0.0041998747350360417,0.0044639138873568164,0.0061252753571783116,0.0049683266290312693,0.0027418554295854367,0.0035152263784208001,0.0023521122702188212,0.0023589194022281133,0.004309039181558995,0.0037121288495030403,0.0051370072850517893,0.0052890675965406924,0,0.0028049068240742284,0,0.0044595797106581217,0.0092200991151279253,0,0.0098677855655866821,0.011458607541333578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0.042712564925287362,0.057287006883147598,0.09668349411976232,0.2319451570483041,0.20512146415266605,0.12755381569239971,0.09539194074801538,0.083279179835274358,0.061466314470618455,0.0482729879923725,0.035713011903362901,0.025070398826133451,0.017998992210228729,0.013647764259887972,0.010175114615205006,0.012108099262294355,0.012527827697690829,0.007346060604257805,0.0053842655233724756,0.0058073284881977145,0.0055041903087051413,0.006929696824281976,0.0046825771125243599,0.0042555702993435328,0.0066358348133891487,0.0036865703098971792,0.0076691445533544934,0.0036031460701482559,0.0081277927457692918,0.004309039181558995,0.0046865389652971969,0.0096736779137068431,0.013963429336142631,0.0087388020341086746,0.0034958328986146631,0.0043998655687257551,0.0031419604832169995,0,0,0.019735571131173364,0.042561774948237721,0,0,0.019197352977954073,0.013814052759241496,0,0.024464915122464934,0,0,0.026079237343923374,0,0,0,0,0
9,0,0,0,0,0,0.016113072446788911,0.026114289425776243,0.060390028348818764,0.087068357593181211,0.25271851817823621,0.21754898876925882,0.14186932415449768,0.10539192895005295,0.092025808900428593,0.06231881782363017,0.052111710718953458,0.042147148130924086,0.027686986314067661,0.023569838659610477,0.017901048009027001,0.013011466683085149,0.010171264114325942,0.012933038764537672,0.008596865150111304,0.0093853678891942707,0.0085194747102026857,0.0076091376007202212,0.0068239416188473293,0.0088179748752570224,0.0048734506538112956,0.005694249484891804,0.0025981398735262892,0.0041047409384264294,0.0051988288102417955,0.0052674040677412569,0.0091759915789186922,0.0041961595830318074,0.014541652645426378,0,0.001976174207467268,0.015995594748124415,0.0097821159268731105,0,0.0077507170760857036,0.008046206218622334,0.025511327422710683,0.020025955382587102,0,0,0,0,0,0,0,0.023043208714801422,0,0.039513621757475408,0,0,0
