reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
0,0,0,0,0,0,0,0,0,0,0.00050523259151774016,0,0,0.00029152119337276576,0.0001720430400407765,0,0,0,9.4062676709123546e-05,0,0,0,0,0,0,0,7.5576716737661432e-05,0,0,0,0.00011844076604167441,0,0.00011805360992684731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1.4523585714171224e-08,0.0016347611524608031,0.00078543136270739608,0,0.00015779016290738983,0.00056874762632005916,0.00014303070748167282,0.00012256617961881256,0.00010876163536657105,0.00014438859689804598,0,0,6.8051288005192275e-05,0.00028005304349967456,8.0651633434571665e-05,1.0764498248867145e-08,5.2683784192996533e-05,6.1340646321051507e-05,0,0.00012222153546351245,6.3331554027127283e-05,0.00022017362122974367,0,0.00017097580317697371,9.9124725235354743e-05,0,0,0.00042435640936380921,0,0.00029470463886980831,0,0,0,0,0,0,0.0007876351086064195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.00027511222447243542,0.0024137381448869444,0.0032105793340715177,0.00090871173566237909,0.00045468340494964689,0.0019145637449221242,0.001265793117724586,0.00022302201396587213,0.0012322034418255671,0.00079543843148691931,0.0014135489815007888,0.000299923926887761,0.00028045170630547122,0.00026844919248508872,7.1001665016696665e-05,0.00019747528633520827,0.00023586167764124756,0.0002457326193130058,0.00036421493709361746,0,0.00043847081247853231,0.00019967223058110219,0.00014023647364825307,0,0,0.00029428341411327677,9.9124725235354743e-05,0.00022113287482726949,5.894137828515595e-05,0,0.0003208617990288899,0,0,0,0.00062117740019010847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029374171157431545,0.0023037554425569522,0
3,0,0,0,0,0,0.093662946303383274,0.057009185734737455,0.02507457296410184,0.016695493387823716,0.0093010953397075959,0.0086250266117279956,0.0074699459437459047,0.0035713104930103555,0.0032188043427231095,0.0035990867912283476,0.003063074424595965,0.0040992671472666409,0.0017599385864838204,0.0027133000502129316,0.0012730248929678728,0.0014733727222564625,0.0013690863829146098,0.0011393281225658162,0.00071181214415650307,0.00095934980374966694,0.0013023618558297533,0.00086774769365136994,0.00093936019359069586,0.00076519851787945679,0.00092099215506479784,0.0013874956892292098,0.00079341813892443418,0.0005950856845254865,0.00057103377270111499,0.00083992779542163489,0.00066349509023989688,0.0014675216517986232,0.0023009783661822204,0.00071208686867425147,0,0.0010357974844549872,0.00072538900504461913,0.00025143455178816511,0.00059508531634412925,0.0037085893372539513,0.001497804482028846,0,0,0,0,0,0,0,0,0,0,0,0,0.0025559492212134521,0.0026803684318214751
4,0,0,0,0,0.96879434650278695,0.49711745837069876,0.18213940114677118,0.13748925829614639,0.077711771542222252,0.058495077232776999,0.039368486859351889,0.028960421537530825,0.021410154768838906,0.018627835964407251,0.016745781007446378,0.014337269980724607,0.014185492543124586,0.011035366676815091,0.010434499663120064,0.0096830946061589977,0.0081692204374258764,0.0087620196735686048,0.0070776200510576691,0.0078019769546395848,0.0061310617902730173,0.0067495020138656839,0.0061047044287112842,0.0052897824098680933,0.006024045712520752,0.0025401509000846029,0.0040838330437247871,0.0028087793096730424,0.0049447525758231324,0.0043638534870503167,0.0030066040538507441,0.0034174166208280066,0.003048891510649388,0.0016189400622510116,0.0013818650812790886,0.0040344568923908804,0.0029612346250606977,0.0027091250289081235,0.0018391252193122336,0.00059508531634412925,0.011450759510808076,0.00086046531571780176,0.0024024599886279326,0,0,0.0042774600516934016,0,0.0067620184915296042,0.0020313446333957413,0.0083682513091963787,0.0014695396003343868,0.0069689578400605346,0,0,0,0
5,0,0,0,0,0.019919214384098494,0.25926033195538278,0.36986780659656099,0.22039905430986217,0.13739559850791314,0.12397261699109341,0.084351829402082315,0.072600468364524259,0.052368558320304022,0.042257574810256625,0.036923697027752417,0.028689715424725346,0.029297606007178921,0.023591256341762953,0.022154038784460244,0.020411043434136897,0.019517456587168393,0.016254000959286835,0.013021828224291409,0.014627752281308356,0.013133467727034012,0.010819179592348266,0.0095641479224981858,0.01293032255721293,0.011169665186412081,0.011318896749627544,0.0084218916930701004,0.0065939334655686025,0.0092587852971295452,0.0059438537992567543,0.0089101307904022042,0.0041944573096661681,0.0069159285746693503,0.0072638682735002031,0.0062873245010696861,0.0076012931611639653,0.0027699343740129776,0.0084688855184169125,0.0074923493833681017,0.0050658350747474672,0.0065796100221776699,0.0028480128437155731,0.003915230153876203,0.0084352752914565888,0.0019507258065622761,0.0012602121669924133,0.0042862879829555552,0.0029650355231130199,0.020376333591676062,0.006284049578550277,0.0074645193903517884,0,0.0043398678681220151,0,0.0018138778859213046,0
6,0,0,0,0,0,0,0.2068183330341874,0.26659667087828831,0.20488872699121652,0.15874453300733873,0.1383999484814703,0.10805456777590848,0.087158960576208561,0.073302187783144526,0.063791710322027462,0.050736567893106897,0.045161625474268843,0.038658351340382043,0.036432392981253975,0.031124320017564246,0.025721765451803019,0.028639941001381345,0.024303773258524106,0.024148846382813827,0.021890292844770395,0.019872429169959818,0.018443046737970311,0.016502519012132077,0.017655459024696372,0.014217554447548046,0.012547666631516227,0.013867754137282997,0.014777731278766033,0.012747167223906425,0.013828835491306157,0.0073977894296312205,0.010514701403200268,0.015388557284522533,0.010266632122183088,0.011093840356456627,0.0056581769274710522,0.0065498708455878603,0.0047026184271284329,0.0057043281904766083,0.012310965189751217,0.010511331563753759,0.0079679581464472578,0.0035189600622414874,0.0037803368757327303,0.0022190531921128724,0.0093048404555759207,0.0089730159388678992,0.0027821314712645202,0.010272948664876359,0.0067461534472659989,0.0057113478023268702,0,0.005757859290410644,0.0029034972050381949,0.0051599417652608568
7,0,0,0,0,0.011286439113114386,0.099859740252403989,0.056506993573359324,0.1734516216416086,0.25568358443806449,0.19736668843813091,0.16796322253758622,0.12827897705532099,0.11481705124461558,0.089233588591954641,0.077686863439885748,0.074869982848265099,0.062397490538303887,0.057974800272441174,0.049856097009057014,0.048243568272232785,0.043997756471355745,0.037101086723952056,0.039190832711180103,0.032903949429905696,0.029331923830031654,0.024711899191411816,0.030060869879324936,0.02526850639418372,0.022520150054244435,0.021224561723011688,0.020402384599514229,0.017037351548994887,0.021473592126388521,0.016354532231183622,0.020626020505729838,0.019249995050451076,0.016705717879050862,0.024220000641582189,0.012028322133514284,0.010641281484568173,0.017993511134122214,0.01198026305900887,0.010263572204026532,0.011464540179160574,0.013257049719719444,0.018207357629593721,0.0093941920384165243,0.0089605505645612513,0.011171694156419752,0.01926380132078713,0.0070240599919326966,0.010795639757478348,0.010447755844769589,0.0079286645821226142,0.0048481244495319556,0.012418808554671514,0.0056309308807233971,0.012453891858847545,0.013162820046864107,0.0055555527088718007
8,0,0,0,0,0,0,0.10180094444901906,0.064315906063229761,0.15983709196712786,0.16638004966496153,0.17295602650724162,0.15946540974341558,0.12581245340677544,0.12332803406381213,0.10202316468520442,0.090557079535232371,0.079321656692357037,0.077825766886876604,0.062243177171361158,0.056733618153828144,0.051616267927508633,0.053127360841983433,0.044819384028862076,0.045616823408725533,0.037628635818992513,0.03700405575012608,0.039531025307748296,0.03261853671017912,0.030586704772526868,0.028956568607066163,0.027261540938038582,0.033439431701957061,0.025375603554562084,0.028087203514467099,0.020511186687554511,0.020449711971942775,0.018864022303857003,0.027574135186152704,0.018648836279201636,0.021101624945447022,0.018519499186570823,0.019308435964621208,0.014745522768559772,0.014331016930313939,0.012653336028793311,0.0093243592939132331,0.019066857768901407,0.0058052994305623582,0.027787462745947403,0.005792261558368695,0.012687171843635837,0.014198320943851383,0.0064853516229457821,0.014706835405450815,0.011744074933151469,0.012808630659809849,0.010421493524892456,0.01109083949477032,0.0067477583596993029,0.016143659653694947
9,0,0,0,0,0,0,0.022168673455196051,0.051137432441685886,0.061910066564985079,0.13752702883729462,0.15297478628729214,0.14158734364608402,0.14008210820646005,0.13070918210870636,0.11225083528273271,0.096698581194919156,0.089273619263161227,0.085526377011579988,0.079565292013721284,0.076460449422337581,0.065411894374327484,0.05860024141970973,0.051954231353590001,0.053018205863648964,0.05117288172844553,0.044649874122537965,0.038968265239217134,0.039552390125087038,0.043314696265525116,0.040701645881309631,0.037125333130719335,0.036297548494211782,0.030312530454050166,0.034291093291174676,0.026626431153187691,0.030435003133748806,0.031891330404060711,0.023099417574513916,0.019441180824051846,0.022319073181262118,0.024090739250205023,0.016220436056551664,0.018175875737967678,0.024086009556321609,0.014805229921451611,0.021449232466070334,0.016291974384608676,0.028570377346663938,0.011710635671118148,0.016008101245802826,0.0050753631109770967,0.02150881187769766,0.028773887040268828,0.039491004328703137,0.014745054812418961,0.012394457851023014,0.0070715549209375275,0.027136756707723572,0.016204927347659274,0.0058550869335269847
