true_bin,true_energy_GeV,numu_flux,numubar_flux,nue_flux,nuebar_flux
0,0.025000000000000001,2.272e-12,2.56e-12,1.5299999999999999e-14,5.0470000000000002e-15
1,0.075000000000000011,8.5660000000000005e-12,5.6710000000000004e-12,5.7219999999999995e-14,1.156e-14
2,0.125,1.1119999999999999e-11,3.3000000000000001e-12,1.273e-13,1.7050000000000001e-14
3,0.17500000000000002,1.3349999999999999e-11,2.0279999999999998e-12,1.231e-13,1.529e-14
4,0.22500000000000001,1.6579999999999999e-11,1.6230000000000001e-12,1.042e-13,1.002e-14
5,0.27500000000000002,1.8199999999999999e-11,1.395e-12,1.0780000000000001e-13,1.039e-14
6,0.32500000000000007,1.946e-11,1.301e-12,1.093e-13,9.6609999999999998e-15
7,0.37500000000000006,2.0450000000000001e-11,1.249e-12,1.086e-13,9.9900000000000002e-15
8,0.42500000000000004,2.161e-11,1.171e-12,1.061e-13,9.7110000000000002e-15
9,0.47500000000000003,2.241e-11,1.054e-12,1.0340000000000001e-13,9.3800000000000002e-15
10,0.52500000000000002,2.279e-11,9.5799999999999996e-13,1.001e-13,9.0490000000000001e-15
11,0.57500000000000007,2.292e-11,8.6949999999999998e-13,9.6539999999999998e-14,9.2979999999999992e-15
12,0.62500000000000011,2.2749999999999999e-11,8.0980000000000004e-13,9.1980000000000003e-14,8.3400000000000006e-15
13,0.67500000000000004,2.2529999999999999e-11,7.4340000000000004e-13,8.8000000000000004e-14,8.0069999999999994e-15
14,0.72500000000000009,2.2140000000000001e-11,6.9099999999999998e-13,8.4669999999999994e-14,7.7689999999999998e-15
15,0.77500000000000002,2.1560000000000001e-11,6.3140000000000002e-13,8.0079999999999998e-14,7.3640000000000005e-15
16,0.82500000000000007,2.0780000000000002e-11,5.9049999999999996e-13,7.7400000000000003e-14,6.9799999999999998e-15
17,0.87500000000000011,1.9920000000000001e-11,5.5039999999999996e-13,7.3900000000000006e-14,6.944e-15
18,0.92500000000000004,1.8940000000000001e-11,5.0789999999999999e-13,6.9240000000000003e-14,6.5640000000000002e-15
19,0.97500000000000009,1.7889999999999999e-11,4.7079999999999997e-13,6.6180000000000002e-14,5.7830000000000003e-15
20,1.0249999999999999,1.6770000000000001e-11,4.3470000000000001e-13,6.239e-14,6.0410000000000001e-15
21,1.075,1.5579999999999999e-11,4.0210000000000002e-13,6.0369999999999999e-14,5.471e-15
22,1.125,1.439e-11,3.703e-13,5.6329999999999998e-14,5.1130000000000001e-15
23,1.175,1.318e-11,3.4430000000000001e-13,5.4460000000000002e-14,5.0539999999999997e-15
24,1.2250000000000001,1.1929999999999999e-11,3.1730000000000002e-13,5.0140000000000001e-14,4.9179999999999998e-15
25,1.2749999999999999,1.0690000000000001e-11,2.8719999999999998e-13,4.8379999999999998e-14,4.9020000000000004e-15
26,1.325,9.5029999999999994e-12,2.5969999999999999e-13,4.5199999999999999e-14,4.5519999999999998e-15
27,1.375,8.3560000000000003e-12,2.337e-13,4.3499999999999998e-14,4.3999999999999997e-15
28,1.425,7.2780000000000003e-12,2.1010000000000001e-13,4.028e-14,4.3880000000000003e-15
29,1.4750000000000001,6.2920000000000003e-12,1.9030000000000001e-13,3.9330000000000001e-14,3.9390000000000003e-15
30,1.5249999999999999,5.396e-12,1.7180000000000001e-13,3.6960000000000001e-14,3.5979999999999997e-15
31,1.575,4.6010000000000003e-12,1.507e-13,3.4550000000000002e-14,3.5300000000000002e-15
32,1.625,3.9020000000000001e-12,1.341e-13,3.285e-14,3.5879999999999999e-15
33,1.675,3.2849999999999998e-12,1.1729999999999999e-13,3.0589999999999999e-14,3.289e-15
34,1.7250000000000001,2.76e-12,1.053e-13,2.8849999999999998e-14,3.1120000000000001e-15
35,1.7749999999999999,2.3119999999999998e-12,9.2409999999999994e-14,2.8030000000000001e-14,2.9189999999999999e-15
36,1.825,1.9319999999999998e-12,8.188e-14,2.5739999999999999e-14,2.733e-15
37,1.875,1.616e-12,7.1150000000000005e-14,2.4309999999999999e-14,2.8500000000000002e-15
38,1.925,1.355e-12,6.3490000000000003e-14,2.298e-14,2.5639999999999999e-15
39,1.9750000000000001,1.138e-12,5.5470000000000002e-14,2.1650000000000001e-14,2.5139999999999998e-15
40,2.0249999999999999,9.5890000000000008e-13,4.7989999999999999e-14,2.042e-14,2.3869999999999999e-15
41,2.0750000000000002,8.1499999999999996e-13,4.0709999999999998e-14,1.8670000000000001e-14,2.2420000000000001e-15
42,2.125,6.9280000000000004e-13,3.592e-14,1.763e-14,2.0929999999999999e-15
43,2.1749999999999998,5.9369999999999998e-13,3.0820000000000001e-14,1.6560000000000001e-14,2.027e-15
44,2.2250000000000001,5.1470000000000002e-13,2.638e-14,1.545e-14,1.8119999999999999e-15
45,2.2749999999999999,4.4780000000000002e-13,2.2479999999999999e-14,1.4850000000000001e-14,1.724e-15
46,2.3250000000000002,3.9349999999999999e-13,1.878e-14,1.361e-14,1.665e-15
47,2.375,3.5000000000000002e-13,1.6230000000000001e-14,1.281e-14,1.532e-15
48,2.4250000000000003,3.1500000000000002e-13,1.3909999999999999e-14,1.19e-14,1.47e-15
49,2.4750000000000001,2.8669999999999998e-13,1.162e-14,1.13e-14,1.394e-15
50,2.5249999999999999,2.615e-13,1.0099999999999999e-14,1.0429999999999999e-14,1.3049999999999999e-15
51,2.5750000000000002,2.4090000000000001e-13,8.6910000000000002e-15,9.7999999999999999e-15,1.2790000000000001e-15
52,2.625,2.273e-13,7.3820000000000004e-15,8.8319999999999999e-15,1.14e-15
53,2.6750000000000003,2.1100000000000001e-13,5.9989999999999999e-15,8.6069999999999996e-15,1.042e-15
54,2.7250000000000001,1.9950000000000001e-13,5.0040000000000001e-15,7.7269999999999995e-15,9.7950000000000004e-16
55,2.7749999999999999,1.9199999999999999e-13,4.2039999999999997e-15,7.2850000000000006e-15,9.7060000000000003e-16
56,2.8250000000000002,1.8150000000000001e-13,3.5709999999999998e-15,6.7929999999999997e-15,8.4810000000000002e-16
57,2.875,1.7259999999999999e-13,3.047e-15,6.3710000000000004e-15,8.082e-16
58,2.9250000000000003,1.665e-13,2.5970000000000002e-15,5.7719999999999999e-15,7.1900000000000005e-16
59,2.9750000000000001,1.6009999999999999e-13,2.138e-15,5.4899999999999997e-15,6.9640000000000004e-16
