# =============================================================================
# GENIE v3.06.02  CCQE Cross-Section Data (Common Energy Grid)
# Target: Ar-40 (PDG: 1000180400) | Channel: CCQE only
# Tune: G18_02a_00_000 | Model: LwlynSmith QEL CC + Dipole FF
# Energy: 0.01-3.0 GeV, 60 log-spaced points | Date: 2025-07-21
#
# Units: 10^-38 cm^2 per Ar-40 nucleus
# nu_mu / nu_e       : QEL-CC on 22 neutrons  (n + nu -> l- + p)
# anti_nu_mu / anti_nu_e : QEL-CC on 18 protons (p + nu-bar -> l+ + n)
# =============================================================================
    # E[GeV]           nu_mu      anti_nu_mu            nu_e       anti_nu_e
    0.010000    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.011015    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.012133    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.013365    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.014721    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.016215    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.017861    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.019674    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.021671    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.023871    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.026294    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.028963    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.031902    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.035140    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.038707    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.042636    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.046964    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.051731    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    0.056981    0.000000e+00    0.000000e+00    1.907205e-10    0.000000e+00
    0.062765    0.000000e+00    0.000000e+00    2.651105e-05    2.062118e-11
    0.069136    0.000000e+00    0.000000e+00    8.285941e-04    5.254168e-06
    0.076153    0.000000e+00    0.000000e+00    4.396960e-03    4.275714e-04
    0.083883    0.000000e+00    0.000000e+00    1.490118e-02    2.202817e-03
    0.092397    0.000000e+00    0.000000e+00    2.885063e-02    5.405199e-03
    0.101775    0.000000e+00    0.000000e+00    6.732570e-02    1.567543e-02
    0.112106    0.000000e+00    0.000000e+00    1.350250e-01    3.195781e-02
    0.123485    0.000000e+00    0.000000e+00    2.257297e-01    5.234016e-02
    0.136018    0.000000e+00    0.000000e+00    3.534848e-01    8.150416e-02
    0.149825    0.000000e+00    0.000000e+00    5.570573e-01    1.190018e-01
    0.165032    1.308955e-02    1.970656e-04    8.685553e-01    1.750539e-01
    0.181783    2.024253e-01    2.647798e-02    1.315659e+00    2.551408e-01
    0.200234    6.445867e-01    1.190274e-01    1.838768e+00    3.410090e-01
    0.220558    1.344868e+00    2.421956e-01    2.618121e+00    4.367955e-01
    0.242945    2.220335e+00    3.745662e-01    3.472572e+00    5.487168e-01
    0.267605    3.234252e+00    5.217652e-01    4.498064e+00    6.984227e-01
    0.294767    4.462023e+00    6.807156e-01    5.838115e+00    8.457244e-01
    0.324686    5.875192e+00    8.557482e-01    6.964637e+00    1.005051e+00
    0.357642    7.137760e+00    1.055223e+00    8.256101e+00    1.184782e+00
    0.393944    8.639341e+00    1.274003e+00    9.422487e+00    1.393968e+00
    0.433929    1.010923e+01    1.513695e+00    1.078401e+01    1.613453e+00
    0.477974    1.133504e+01    1.761439e+00    1.204840e+01    1.874550e+00
    0.526489    1.248754e+01    2.048764e+00    1.321880e+01    2.161250e+00
    0.579929    1.377083e+01    2.366767e+00    1.418749e+01    2.448987e+00
    0.638792    1.460098e+01    2.679075e+00    1.522180e+01    2.803621e+00
    0.703631    1.578652e+01    3.086495e+00    1.590449e+01    3.134438e+00
    0.775050    1.638463e+01    3.444344e+00    1.671930e+01    3.533810e+00
    0.853719    1.688138e+01    3.811629e+00    1.724160e+01    3.917389e+00
    0.940373    1.744927e+01    4.242024e+00    1.759500e+01    4.311138e+00
    1.035822    1.776747e+01    4.671988e+00    1.813750e+01    4.801957e+00
    1.140959    1.805031e+01    5.113861e+00    1.818140e+01    5.166888e+00
    1.256769    1.819528e+01    5.534640e+00    1.836870e+01    5.585055e+00
    1.384332    1.824464e+01    5.956626e+00    1.832960e+01    5.994487e+00
    1.524844    1.840980e+01    6.440978e+00    1.824150e+01    6.373544e+00
    1.679618    1.826042e+01    6.791084e+00    1.838090e+01    6.858545e+00
    1.850102    1.812238e+01    7.173548e+00    1.812240e+01    7.186945e+00
    2.037890    1.806644e+01    7.570450e+00    1.820200e+01    7.639191e+00
    2.244739    1.788744e+01    7.917006e+00    1.811200e+01    8.030099e+00
    2.472584    1.791720e+01    8.343635e+00    1.789900e+01    8.346516e+00
    2.723555    1.773275e+01    8.660078e+00    1.782830e+01    8.717616e+00
    3.000000    1.763260e+01    8.989980e+00    1.768830e+01    9.025420e+00
