#: table_doi: 10.17182/hepdata.166435.v1/t2
#: name: Contrained $\nu_e$ channels
#: description: Four $\nu_e$CC observation channels, after constraints from 10 $\nu_\mu$CC and NC $\pi^0$ channels. The four channels in order are BNB $\nu_e$CC FC, BNB $\nu_e$CC PC, NuMI $\nu_e$CC FC, and NuMI $\nu_e$CC PC. Each channel contains 25 bins from 0 to 2500 MeV of reconstructed neutrino energy, with an additional overflow bin.
#: data_file: constrained_nue_channels.yaml
#: keyword reactions: NUE CC
#: keyword phrases: Neutrino LArTPC Interactions
Bin index,Bin index LOW,Bin index HIGH,Data [counts per bin],stat +,stat -
0.5,0,1,0.0,1.1478,0
1.5,1,2,5.0,2.2106399999999997,-2.48995
2.5,2,3,6.0,2.4185800000000004,-2.67925
3.5,3,4,12.0,3.4154999999999998,-3.6402199999999993
4.5,4,5,19.0,4.301100000000002,-4.5151
5.5,5,6,14.0,3.6898000000000017,-3.9101999999999997
6.5,6,7,18.0,4.1858,-4.4008
7.5,7,8,24.0,4.837,-5.047599999999999
8.5,8,9,25.0,4.9374,-5.147400000000001
9.5,9,10,22.0,4.629899999999999,-4.8416999999999994
10.5,10,11,29.0,5.3200999999999965,-5.528500000000001
11.5,11,12,18.0,4.1858,-4.4008
12.5,12,13,16.0,3.9453999999999994,-4.162800000000001
13.5,13,14,18.0,4.1858,-4.4008
14.5,14,15,15.0,3.819700000000001,-4.038500000000001
15.5,15,16,20.0,4.4133,-4.6266
16.5,16,17,12.0,3.4154999999999998,-3.6402199999999993
17.5,17,18,13.0,3.5551999999999992,-3.7776300000000003
18.5,18,19,9.0,2.9581999999999997,-3.1935399999999996
19.5,19,20,5.0,2.2106399999999997,-2.48995
20.5,20,21,9.0,2.9581999999999997,-3.1935399999999996
21.5,21,22,10.0,3.1179000000000006,-3.3488300000000004
22.5,22,23,4.0,1.9818600000000002,-2.29683
23.5,23,24,7.0,2.6105300000000007,-2.85954
24.5,24,25,8.0,2.7896,-3.0307000000000004
25.5,25,26,30.0,5.411700000000003,-5.619700000000002
26.5,26,27,0.0,1.1478,0
27.5,27,28,2.0,1.51917,-2
28.5,28,29,8.0,2.7896,-3.0307000000000004
29.5,29,30,5.0,2.2106399999999997,-2.48995
30.5,30,31,8.0,2.7896,-3.0307000000000004
31.5,31,32,14.0,3.6898000000000017,-3.9101999999999997
32.5,32,33,6.0,2.4185800000000004,-2.67925
33.5,33,34,19.0,4.301100000000002,-4.5151
34.5,34,35,23.0,4.7346,-4.945699999999999
35.5,35,36,14.0,3.6898000000000017,-3.9101999999999997
36.5,36,37,20.0,4.4133,-4.6266
37.5,37,38,12.0,3.4154999999999998,-3.6402199999999993
38.5,38,39,14.0,3.6898000000000017,-3.9101999999999997
39.5,39,40,11.0,3.2699999999999996,-3.4974999999999996
40.5,40,41,10.0,3.1179000000000006,-3.3488300000000004
41.5,41,42,14.0,3.6898000000000017,-3.9101999999999997
42.5,42,43,8.0,2.7896,-3.0307000000000004
43.5,43,44,6.0,2.4185800000000004,-2.67925
44.5,44,45,5.0,2.2106399999999997,-2.48995
45.5,45,46,6.0,2.4185800000000004,-2.67925
46.5,46,47,2.0,1.51917,-2
47.5,47,48,7.0,2.6105300000000007,-2.85954
48.5,48,49,0.0,1.1478,0
49.5,49,50,3.0,1.7242199999999999,-2.143368
50.5,50,51,2.0,1.51917,-2
51.5,51,52,19.0,4.301100000000002,-4.5151
52.5,52,53,0.0,1.1478,0
53.5,53,54,10.0,3.1179000000000006,-3.3488300000000004
54.5,54,55,34.0,5.7635000000000005,-5.970300000000002
55.5,55,56,58.0,7.541499999999999,-7.744599999999998
56.5,56,57,77.0,8.697599999999994,-8.899500000000003
57.5,57,58,123.0,11.090536506409418,-11.090536506409418
58.5,58,59,128.0,11.313708498984761,-11.313708498984761
59.5,59,60,132.0,11.489125293076057,-11.489125293076057
60.5,60,61,139.0,11.789826122551595,-11.789826122551595
61.5,61,62,115.0,10.723805294763608,-10.723805294763608
62.5,62,63,85.0,9.141099999999994,-9.342799999999997
63.5,63,64,87.0,9.248800000000003,-9.450299999999999
64.5,64,65,71.0,8.349599999999995,-8.5518
65.5,65,66,60.0,7.671300000000002,-7.874299999999998
66.5,66,67,69.0,8.230400000000003,-8.432699999999997
67.5,67,68,51.0,7.0686000000000035,-7.272500000000001
68.5,68,69,35.0,5.848300000000002,-6.0548
69.5,69,70,43.0,6.486800000000002,-6.691699999999997
70.5,70,71,31.0,5.5017,-5.709399999999999
71.5,71,72,29.0,5.3200999999999965,-5.528500000000001
72.5,72,73,31.0,5.5017,-5.709399999999999
73.5,73,74,29.0,5.3200999999999965,-5.528500000000001
74.5,74,75,19.0,4.301100000000002,-4.5151
75.5,75,76,23.0,4.7346,-4.945699999999999
76.5,76,77,11.0,3.2699999999999996,-3.4974999999999996
77.5,77,78,114.0,10.677078252031311,-10.677078252031311
78.5,78,79,0.0,1.1478,0
79.5,79,80,4.0,1.9818600000000002,-2.29683
80.5,80,81,21.0,4.5229,-4.7353999999999985
81.5,81,82,36.0,5.931800000000003,-6.138100000000001
82.5,82,83,44.0,6.5623000000000005,-6.767099999999999
83.5,83,84,46.0,6.710799999999999,-6.915300000000002
84.5,84,85,69.0,8.230400000000003,-8.432699999999997
85.5,85,86,69.0,8.230400000000003,-8.432699999999997
86.5,86,87,64.0,7.924599999999998,-8.127299999999998
87.5,87,88,60.0,7.671300000000002,-7.874299999999998
88.5,88,89,51.0,7.0686000000000035,-7.272500000000001
