#: table_doi: 10.17182/hepdata.166435.v1/t1
#: name: Unconstrained 14 channels
#: description: 14 observation channels used in this analysis. The first 7 channels correspond to the BNB, while the last 7 channels correspond to the NuMI beam. Each set of seven channels is split by reconstructed event type as well as containment in the detector, fully contained (FC) or partially contained (PC). The seven channels in order are $\nu_e$CC FC, $\nu_e$CC PC, $\nu_\mu$CC FC, $\nu_\mu$CC PC, $\nu_\mu$CC $\pi^0$ FC, $\nu_\mu$CC $\pi^0$ PC, and NC $\pi^0$. Each channel contains 25 bins from 0 to 2500 MeV of reconstructed neutrino energy, with an additional overflow bin.
#: data_file: unconstrained_14_channels.yaml
#: keyword reactions: NUE CC | NUMU CC
#: keyword phrases: Neutrino LArTPC Interactions
Bin index,Bin index LOW,Bin index HIGH,Data [counts per bin],stat +,stat -
0.5,0,1,0.0,1.1478,0
1.5,1,2,5.0,2.2106399999999997,-2.48995
2.5,2,3,6.0,2.4185800000000004,-2.67925
3.5,3,4,12.0,3.4154999999999998,-3.6402199999999993
4.5,4,5,19.0,4.301100000000002,-4.5151
5.5,5,6,14.0,3.6898000000000017,-3.9101999999999997
6.5,6,7,18.0,4.1858,-4.4008
7.5,7,8,24.0,4.837,-5.047599999999999
8.5,8,9,25.0,4.9374,-5.147400000000001
9.5,9,10,22.0,4.629899999999999,-4.8416999999999994
10.5,10,11,29.0,5.3200999999999965,-5.528500000000001
11.5,11,12,18.0,4.1858,-4.4008
12.5,12,13,16.0,3.9453999999999994,-4.162800000000001
13.5,13,14,18.0,4.1858,-4.4008
14.5,14,15,15.0,3.819700000000001,-4.038500000000001
15.5,15,16,20.0,4.4133,-4.6266
16.5,16,17,12.0,3.4154999999999998,-3.6402199999999993
17.5,17,18,13.0,3.5551999999999992,-3.7776300000000003
18.5,18,19,9.0,2.9581999999999997,-3.1935399999999996
19.5,19,20,5.0,2.2106399999999997,-2.48995
20.5,20,21,9.0,2.9581999999999997,-3.1935399999999996
21.5,21,22,10.0,3.1179000000000006,-3.3488300000000004
22.5,22,23,4.0,1.9818600000000002,-2.29683
23.5,23,24,7.0,2.6105300000000007,-2.85954
24.5,24,25,8.0,2.7896,-3.0307000000000004
25.5,25,26,30.0,5.411700000000003,-5.619700000000002
26.5,26,27,0.0,1.1478,0
27.5,27,28,2.0,1.51917,-2
28.5,28,29,8.0,2.7896,-3.0307000000000004
29.5,29,30,5.0,2.2106399999999997,-2.48995
30.5,30,31,8.0,2.7896,-3.0307000000000004
31.5,31,32,14.0,3.6898000000000017,-3.9101999999999997
32.5,32,33,6.0,2.4185800000000004,-2.67925
33.5,33,34,19.0,4.301100000000002,-4.5151
34.5,34,35,23.0,4.7346,-4.945699999999999
35.5,35,36,14.0,3.6898000000000017,-3.9101999999999997
36.5,36,37,20.0,4.4133,-4.6266
37.5,37,38,12.0,3.4154999999999998,-3.6402199999999993
38.5,38,39,14.0,3.6898000000000017,-3.9101999999999997
39.5,39,40,11.0,3.2699999999999996,-3.4974999999999996
40.5,40,41,10.0,3.1179000000000006,-3.3488300000000004
41.5,41,42,14.0,3.6898000000000017,-3.9101999999999997
42.5,42,43,8.0,2.7896,-3.0307000000000004
43.5,43,44,6.0,2.4185800000000004,-2.67925
44.5,44,45,5.0,2.2106399999999997,-2.48995
45.5,45,46,6.0,2.4185800000000004,-2.67925
46.5,46,47,2.0,1.51917,-2
47.5,47,48,7.0,2.6105300000000007,-2.85954
48.5,48,49,0.0,1.1478,0
49.5,49,50,3.0,1.7242199999999999,-2.143368
50.5,50,51,2.0,1.51917,-2
51.5,51,52,19.0,4.301100000000002,-4.5151
52.5,52,53,6.0,2.4185800000000004,-2.67925
53.5,53,54,20.0,4.4133,-4.6266
54.5,54,55,1068.0,32.68026927673638,-32.68026927673638
55.5,55,56,3086.0,55.5517776493246,-55.5517776493246
56.5,56,57,4830.0,69.49820141557622,-69.49820141557622
57.5,57,58,5603.0,74.85318964479737,-74.85318964479737
58.5,58,59,5753.0,75.8485332752058,-75.8485332752058
59.5,59,60,5292.0,72.74613391789285,-72.74613391789285
60.5,60,61,4331.0,65.81033353509159,-65.81033353509159
61.5,61,62,3448.0,58.71967302361279,-58.71967302361279
62.5,62,63,2555.0,50.547007824400445,-50.547007824400445
63.5,63,64,1833.0,42.81354925721529,-42.81354925721529
64.5,64,65,1246.0,35.298725189445584,-35.298725189445584
65.5,65,66,765.0,27.65863337187866,-27.65863337187866
66.5,66,67,534.0,23.108440016582687,-23.108440016582687
67.5,67,68,332.0,18.2208671582886,-18.2208671582886
68.5,68,69,196.0,14.0,-14.0
69.5,69,70,138.0,11.74734012447073,-11.74734012447073
70.5,70,71,89.0,9.355199999999996,-9.556600000000003
71.5,71,72,42.0,6.410400000000003,-6.615499999999997
72.5,72,73,37.0,6.014099999999999,-6.220300000000002
73.5,73,74,30.0,5.411700000000003,-5.619700000000002
74.5,74,75,30.0,5.411700000000003,-5.619700000000002
75.5,75,76,14.0,3.6898000000000017,-3.9101999999999997
76.5,76,77,12.0,3.4154999999999998,-3.6402199999999993
77.5,77,78,52.0,7.138100000000001,-7.3419000000000025
78.5,78,79,22.0,4.629899999999999,-4.8416999999999994
79.5,79,80,282.0,16.792855623746664,-16.792855623746664
80.5,80,81,3281.0,57.28001396647874,-57.28001396647874
81.5,81,82,7647.0,87.44712688247682,-87.44712688247682
82.5,82,83,11276.0,106.18851161966627,-106.18851161966627
83.5,83,84,12536.0,111.96428001822724,-111.96428001822724
