类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:52
照度(lx),184.75
烛光E(fc),17.17
相关色温(K),8667
黑体偏离duv,0.01435
坐标x,0.2817
坐标y,0.3180
坐标u,0.1802
坐标v,0.3052
坐标u’,0.1802
坐标v’,0.4577
SDCM,22.98
显色指数(Ra),89.7
R1,88
R2,95
R3,90
R4,84
R5,90
R6,96
R7,91
R8,83
R9,50
R10,93
R11,84
R12,92
R13,90
R14,94
R15,84
明暗视觉比S/P,2.834
主波长(nm),487.80
色纯度(%),18.6
半宽度(nm),171.3
峰值波长(nm),472.9
中心波长(nm),502.1
质心波长(nm),538.5
红色比(%),24.5
绿色比(%),40.3
蓝色比(%),35.2
视黑素照度(lx),240.8
生理等效照度(lx),219.5
视黑素比,1.303
视黑素EDI(lx),218.3
积分时间(ms),460
峰值信号,58123
暗信号,3281
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0.008566740900278091
381,0.011572560295462608
382,0.014291762374341488
383,0.013558616861701012
384,0.01438426598906517
385,0.01233485247939825
386,0.0068079885095357895
387,0.005435033701360226
388,0.006852122023701668
389,0.00664538936689496
390,0.009317269548773766
391,0.013247685506939888
392,0.020564811304211617
393,0.03605007007718086
394,0.060903243720531464
395,0.09857448190450668
396,0.15435999631881714
397,0.22303520143032074
398,0.309040367603302
399,0.40774697065353394
400,0.5150425434112549
401,0.6254967451095581
402,0.7495104074478149
403,0.8809059858322144
404,1.0197105407714844
405,1.1634835004806519
406,1.309011459350586
407,1.447792887687683
408,1.5794938802719116
409,1.6980289220809937
410,1.7957615852355957
411,1.872431755065918
412,1.9230479001998901
413,1.9591457843780518
414,1.9842346906661987
415,2.007303476333618
416,2.046680212020874
417,2.0989558696746826
418,2.163952112197876
419,2.235062837600708
420,2.307323932647705
421,2.378757953643799
422,2.445729970932007
423,2.48876690864563
424,2.515995740890503
425,2.5268466472625732
426,2.519026279449463
427,2.5044875144958496
428,2.498683214187622
429,2.4995787143707275
430,2.5186660289764404
431,2.557307720184326
432,2.612570285797119
433,2.6754419803619385
434,2.7505903244018555
435,2.8266096115112305
436,2.8890769481658936
437,2.9322993755340576
438,2.9689090251922607
439,2.9782416820526123
440,2.9682388305664062
441,2.951047658920288
442,2.9173390865325928
443,2.8772778511047363
444,2.8387813568115234
445,2.8191967010498047
446,2.8231396675109863
447,2.8511197566986084
448,2.90576434135437
449,2.9890668392181396
450,3.0934548377990723
451,3.2066924571990967
452,3.3200035095214844
453,3.418644428253174
454,3.4999516010284424
455,3.5455167293548584
456,3.5484488010406494
457,3.5328054428100586
458,3.5009071826934814
459,3.4667770862579346
460,3.437629461288452
461,3.429609775543213
462,3.446065902709961
463,3.4897170066833496
464,3.54675030708313
465,3.635171890258789
466,3.743110418319702
467,3.8676321506500244
468,4.011527061462402
469,4.167759418487549
470,4.305749416351318
471,4.419696807861328
472,4.483456134796143
473,4.502936840057373
474,4.462974548339844
475,4.361336708068848
476,4.2380852699279785
477,4.10541296005249
478,3.93276309967041
479,3.761606454849243
480,3.6285791397094727
481,3.532412528991699
482,3.4832513332366943
483,3.4949512481689453
484,3.543282985687256
485,3.611109495162964
486,3.6739282608032227
487,3.721468687057495
488,3.7379350662231445
489,3.7335243225097656
490,3.7052929401397705
491,3.673018217086792
492,3.643915891647339
493,3.623105764389038
494,3.5895321369171143
495,3.562908172607422
496,3.5345652103424072
497,3.479905366897583
498,3.4185519218444824
499,3.3627536296844482
500,3.3033320903778076
501,3.2512707710266113
502,3.2173454761505127
503,3.1935181617736816
504,3.17647123336792
505,3.172075033187866
506,3.173633098602295
507,3.183800458908081
508,3.199766159057617
509,3.2146482467651367
510,3.2212917804718018
511,3.222097396850586
512,3.212998628616333
513,3.194997549057007
514,3.1642403602600098
515,3.112898826599121
516,3.0582289695739746
517,3.0139966011047363
518,2.9714627265930176
519,2.931236743927002
520,2.8961362838745117
521,2.866286039352417
522,2.842978000640869
523,2.8271405696868896
524,2.825981378555298
525,2.8295223712921143
526,2.842360496520996
527,2.8643546104431152
528,2.884190082550049
529,2.901357412338257
530,2.9194419384002686
531,2.9307634830474854
532,2.9356818199157715
533,2.9370052814483643
534,2.931692361831665
535,2.9193856716156006
536,2.899604320526123
537,2.8727142810821533
538,2.830817937850952
539,2.780499219894409
540,2.7511496543884277
541,2.722368001937866
542,2.686664342880249
543,2.662827491760254
544,2.6448590755462646
545,2.620375394821167
546,2.606379985809326
547,2.5995688438415527
548,2.5981643199920654
549,2.601752996444702
550,2.6062333583831787
551,2.6125946044921875
552,2.6246232986450195
553,2.6299710273742676
554,2.638256788253784
555,2.652522087097168
556,2.6616289615631104
557,2.6641182899475098
558,2.664128541946411
559,2.660504102706909
560,2.6497747898101807
561,2.6318888664245605
562,2.608492374420166
563,2.580448865890503
564,2.548318862915039
565,2.515353202819824
566,2.483286142349243
567,2.456686496734619
568,2.4289615154266357
569,2.4005799293518066
570,2.374696969985962
571,2.355376958847046
572,2.3384416103363037
573,2.334907293319702
574,2.3300323486328125
575,2.3271007537841797
576,2.325441837310791
577,2.325871467590332
578,2.3304808139801025
579,2.3387444019317627
580,2.34555983543396
581,2.342421054840088
582,2.3392550945281982
583,2.3335394859313965
584,2.3272197246551514
585,2.315056085586548
586,2.304678440093994
587,2.293870210647583
588,2.2780778408050537
589,2.2636659145355225
590,2.249297857284546
591,2.228156805038452
592,2.2014400959014893
593,2.173628091812134
594,2.140728712081909
595,2.1009702682495117
596,2.0675041675567627
597,2.036161184310913
598,2.0034027099609375
599,1.9743138551712036
600,1.9526351690292358
601,1.9303559064865112
602,1.9132424592971802
603,1.9013363122940063
604,1.8887792825698853
605,1.8791438341140747
606,1.8739280700683594
607,1.868625521659851
608,1.8650661706924438
609,1.8557699918746948
610,1.847652554512024
611,1.8446158170700073
612,1.840253233909607
613,1.838566780090332
614,1.838650107383728
615,1.8337723016738892
616,1.8232035636901855
617,1.8088033199310303
618,1.7899521589279175
619,1.773042917251587
620,1.7582603693008423
621,1.744497537612915
622,1.7379786968231201
623,1.7224596738815308
624,1.7013542652130127
625,1.6768537759780884
626,1.6499648094177246
627,1.6184463500976562
628,1.5931912660598755
629,1.5757744312286377
630,1.557328462600708
631,1.5462857484817505
632,1.5348306894302368
633,1.5265430212020874
634,1.5189168453216553
635,1.516956090927124
636,1.5079180002212524
637,1.5023143291473389
638,1.4998801946640015
639,1.4979422092437744
640,1.4962613582611084
641,1.49476158618927
642,1.4924215078353882
643,1.490209937095642
644,1.489170789718628
645,1.4837729930877686
646,1.4816526174545288
647,1.4833825826644897
648,1.4840253591537476
649,1.483271598815918
650,1.4852509498596191
651,1.4879051446914673
652,1.4851486682891846
653,1.4778977632522583
654,1.4678595066070557
655,1.4514777660369873
656,1.4265433549880981
657,1.3974400758743286
658,1.369249939918518
659,1.34286367893219
660,1.3217450380325317
661,1.3053550720214844
662,1.294625163078308
663,1.283916711807251
664,1.2717915773391724
665,1.2632787227630615
666,1.2564979791641235
667,1.2543541193008423
668,1.2465271949768066
669,1.2447186708450317
670,1.2451385259628296
671,1.2477651834487915
672,1.243054747581482
673,1.2467917203903198
674,1.249643325805664
675,1.2486317157745361
676,1.2466384172439575
677,1.2514111995697021
678,1.249470591545105
679,1.2435661554336548
680,1.243904709815979
681,1.2478524446487427
682,1.2471667528152466
683,1.2463401556015015
684,1.250794768333435
685,1.255704402923584
686,1.2536115646362305
687,1.2519161701202393
688,1.2504934072494507
689,1.2439924478530884
690,1.2295283079147339
691,1.209367275238037
692,1.1842644214630127
693,1.1585066318511963
694,1.1313059329986572
695,1.1056756973266602
696,1.0840892791748047
697,1.0636996030807495
698,1.0356448888778687
699,1.009535312652588
700,0.984634518623352
701,0.9574300646781921
702,0.9283438324928284
703,0.902076244354248
704,0.8730372786521912
705,0.8476733565330505
706,0.8271394371986389
707,0.8145217895507812
708,0.8061297535896301
709,0.8020461201667786
710,0.7928545475006104
711,0.7796298265457153
712,0.7753625512123108
713,0.7763228416442871
714,0.7755518555641174
715,0.7741982936859131
716,0.7753595113754272
717,0.770757257938385
718,0.7603601813316345
719,0.747829020023346
720,0.7282143831253052
721,0.707109272480011
722,0.6775915026664734
723,0.6566994786262512
724,0.6334700584411621
725,0.6142169237136841
726,0.60016268491745
727,0.5953656435012817
728,0.5809058547019958
729,0.5641211867332458
730,0.5544678568840027
731,0.5420834422111511
732,0.5235336422920227
733,0.5087230801582336
734,0.49584120512008667
735,0.48008108139038086
736,0.4659629166126251
737,0.4523642659187317
738,0.43757110834121704
739,0.4238555133342743
740,0.4073270261287689
741,0.3892955780029297
742,0.3688134253025055
743,0.35264599323272705
744,0.3309040069580078
745,0.3063030242919922
746,0.29321298003196716
747,0.2821129560470581
748,0.2749272584915161
749,0.2720504701137543
750,0.2706165909767151
751,0.2699599266052246
752,0.26391810178756714
753,0.24844452738761902
754,0.2243064045906067
755,0.2061002552509308
756,0.1888464242219925
757,0.18107785284519196
758,0.17463485896587372
759,0.1768939197063446
760,0.17843316495418549
761,0.17844277620315552
762,0.17299522459506989
763,0.1696360856294632
764,0.16803954541683197
765,0.1656906008720398
766,0.17024636268615723
767,0.1809726506471634
768,0.187507763504982
769,0.1890757977962494
770,0.18875159323215485
771,0.18525508046150208
772,0.16523532569408417
773,0.13700439035892487
774,0.11946121603250504
775,0.11529543250799179
776,0.10031589865684509
777,0.07978210598230362
778,0.07494567334651947
779,0.07115405052900314
780,0.05642491579055786
