类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:46
照度(lx),665.50
烛光E(fc),61.85
相关色温(K),3669
黑体偏离duv,0.00813
坐标x,0.4040
坐标y,0.4090
坐标u,0.2276
坐标v,0.3456
坐标u’,0.2276
坐标v’,0.5184
SDCM,9.77
显色指数(Ra),93.6
R1,94
R2,96
R3,97
R4,89
R5,93
R6,96
R7,94
R8,90
R9,79
R10,94
R11,89
R12,87
R13,94
R14,98
R15,91
明暗视觉比S/P,1.721
主波长(nm),577.20
色纯度(%),44.0
半宽度(nm),273.1
峰值波长(nm),689.0
中心波长(nm),603.8
质心波长(nm),606.5
红色比(%),54.4
绿色比(%),34.3
蓝色比(%),11.4
视黑素照度(lx),465.4
生理等效照度(lx),424.7
视黑素比,0.699
视黑素EDI(lx),421.8
积分时间(ms),160
峰值信号,49023
暗信号,3434
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0.00723949633538723
381,0.0028823271859437227
382,0.007122190669178963
383,0.007245251443237066
384,0.011608364060521126
385,0.012280067428946495
386,0.010641630738973618
387,0.006444935221225023
388,0.0036770806182175875
389,0.006345398258417845
390,0.011734744533896446
391,0.016845718026161194
392,0.015088838525116444
393,0.016601601615548134
394,0.028168441727757454
395,0.0436830073595047
396,0.06284996122121811
397,0.09355074912309647
398,0.1315268874168396
399,0.1694461852312088
400,0.2169351875782013
401,0.26731932163238525
402,0.3219110071659088
403,0.3893703520298004
404,0.4654008150100708
405,0.5523061752319336
406,0.6496511697769165
407,0.7552239894866943
408,0.8531957268714905
409,0.9395988583564758
410,1.0138933658599854
411,1.0839433670043945
412,1.1391063928604126
413,1.1877527236938477
414,1.232069492340088
415,1.279789924621582
416,1.3361985683441162
417,1.3952654600143433
418,1.4611358642578125
419,1.54200279712677
420,1.6260578632354736
421,1.7109277248382568
422,1.7889653444290161
423,1.8593522310256958
424,1.9082320928573608
425,1.9392396211624146
426,1.9638134241104126
427,1.9916505813598633
428,2.024101734161377
429,2.0670218467712402
430,2.1254541873931885
431,2.190922498703003
432,2.2706637382507324
433,2.3581981658935547
434,2.4558217525482178
435,2.5615181922912598
436,2.6758370399475098
437,2.7728378772735596
438,2.8469581604003906
439,2.9045181274414062
440,2.9426708221435547
441,2.9673376083374023
442,2.981178045272827
443,2.9943580627441406
444,3.007385730743408
445,3.040536642074585
446,3.0988364219665527
447,3.173753261566162
448,3.272918224334717
449,3.403588056564331
450,3.5526654720306396
451,3.722939968109131
452,3.9101674556732178
453,4.087003707885742
454,4.242661476135254
455,4.362720966339111
456,4.420326232910156
457,4.4508466720581055
458,4.476260662078857
459,4.5002827644348145
460,4.53291654586792
461,4.594286918640137
462,4.689541339874268
463,4.818886756896973
464,4.975192070007324
465,5.177614688873291
466,5.427551746368408
467,5.701954364776611
468,5.983547687530518
469,6.281813621520996
470,6.561234474182129
471,6.784231185913086
472,6.947654724121094
473,7.044336795806885
474,7.039629936218262
475,6.956456184387207
476,6.82800817489624
477,6.65894889831543
478,6.466941833496094
479,6.285019397735596
480,6.144780158996582
481,6.0747551918029785
482,6.093215465545654
483,6.205090522766113
484,6.360259056091309
485,6.550658226013184
486,6.723824977874756
487,6.859961986541748
488,6.939361572265625
489,6.985989570617676
490,6.995144367218018
491,7.0032196044921875
492,7.025522232055664
493,7.069637298583984
494,7.130188465118408
495,7.186189651489258
496,7.209663391113281
497,7.1868438720703125
498,7.13447380065918
499,7.07564640045166
500,7.012940406799316
501,6.982508182525635
502,6.982989311218262
503,7.008474349975586
504,7.056177616119385
505,7.131802558898926
506,7.217238426208496
507,7.3128662109375
508,7.418676376342773
509,7.52104377746582
510,7.602008819580078
511,7.662145137786865
512,7.704576015472412
513,7.71686315536499
514,7.698912143707275
515,7.657316207885742
516,7.599186420440674
517,7.566144943237305
518,7.545797824859619
519,7.539187431335449
520,7.525804042816162
521,7.5352864265441895
522,7.557410717010498
523,7.597834587097168
524,7.657410621643066
525,7.739011287689209
526,7.838647842407227
527,7.958446502685547
528,8.080328941345215
529,8.196674346923828
530,8.325908660888672
531,8.44326114654541
532,8.53717041015625
533,8.60909652709961
534,8.669134140014648
535,8.69123363494873
536,8.68832015991211
537,8.67122745513916
538,8.634687423706055
539,8.592290878295898
540,8.577150344848633
541,8.55875301361084
542,8.541023254394531
543,8.535192489624023
544,8.532392501831055
545,8.549564361572266
546,8.588318824768066
547,8.643999099731445
548,8.719518661499023
549,8.80805778503418
550,8.909734725952148
551,9.009814262390137
552,9.118301391601562
553,9.225387573242188
554,9.32563591003418
555,9.420244216918945
556,9.523558616638184
557,9.60991382598877
558,9.664460182189941
559,9.723334312438965
560,9.76321792602539
561,9.774826049804688
562,9.751131057739258
563,9.729081153869629
564,9.698552131652832
565,9.660892486572266
566,9.622953414916992
567,9.613859176635742
568,9.604275703430176
569,9.593153953552246
570,9.593352317810059
571,9.609248161315918
572,9.642544746398926
573,9.69250774383545
574,9.757469177246094
575,9.834031105041504
576,9.9180326461792
577,9.997567176818848
578,10.076797485351562
579,10.16789436340332
580,10.256232261657715
581,10.325955390930176
582,10.393041610717773
583,10.45529842376709
584,10.50049114227295
585,10.526844024658203
586,10.558956146240234
587,10.588617324829102
588,10.606658935546875
589,10.606009483337402
590,10.593973159790039
591,10.55659294128418
592,10.512831687927246
593,10.468520164489746
594,10.408937454223633
595,10.340202331542969
596,10.276679992675781
597,10.20525074005127
598,10.128551483154297
599,10.082003593444824
600,10.0550537109375
601,10.028139114379883
602,10.01521110534668
603,10.025130271911621
604,10.02451229095459
605,10.02373218536377
606,10.060541152954102
607,10.10689926147461
608,10.151541709899902
609,10.19617748260498
610,10.24984359741211
611,10.298812866210938
612,10.34416389465332
613,10.393377304077148
614,10.470152854919434
615,10.537040710449219
616,10.582422256469727
617,10.609511375427246
618,10.626566886901855
619,10.612345695495605
620,10.594170570373535
621,10.551864624023438
622,10.518878936767578
623,10.476304054260254
624,10.439231872558594
625,10.392816543579102
626,10.361323356628418
627,10.327939987182617
628,10.290977478027344
629,10.237250328063965
630,10.191518783569336
631,10.180126190185547
632,10.171422958374023
633,10.171497344970703
634,10.2076416015625
635,10.252163887023926
636,10.27596378326416
637,10.299763679504395
638,10.331132888793945
639,10.362016677856445
640,10.391050338745117
641,10.431853294372559
642,10.47571086883545
643,10.528587341308594
644,10.581918716430664
645,10.639927864074707
646,10.709028244018555
647,10.794527053833008
648,10.871039390563965
649,10.947115898132324
650,11.017972946166992
651,11.07614803314209
652,11.095643043518066
653,11.109603881835938
654,11.085519790649414
655,11.048986434936523
656,10.987357139587402
657,10.925260543823242
658,10.839909553527832
659,10.768250465393066
660,10.706377029418945
661,10.647937774658203
662,10.600635528564453
663,10.585668563842773
664,10.57002067565918
665,10.557685852050781
666,10.56540298461914
667,10.588532447814941
668,10.600900650024414
669,10.639839172363281
670,10.693086624145508
671,10.753334045410156
672,10.808329582214355
673,10.882572174072266
674,10.944653511047363
675,10.99547004699707
676,11.02530288696289
677,11.072134971618652
678,11.105016708374023
679,11.132488250732422
680,11.187180519104004
681,11.286115646362305
682,11.39077091217041
683,11.489700317382812
684,11.598213195800781
685,11.734939575195312
686,11.821026802062988
687,11.874594688415527
688,11.895885467529297
689,11.895268440246582
690,11.83765697479248
691,11.774115562438965
692,11.67181396484375
693,11.534239768981934
694,11.36384391784668
695,11.1644868850708
696,10.98316764831543
697,10.805133819580078
698,10.58120059967041
699,10.35423469543457
700,10.138318061828613
701,9.92351245880127
702,9.71750545501709
703,9.539931297302246
704,9.391382217407227
705,9.261133193969727
706,9.149332046508789
707,9.072978973388672
708,9.03564167022705
709,9.02061653137207
710,9.031953811645508
711,9.090312004089355
712,9.152704238891602
713,9.204710960388184
714,9.258463859558105
715,9.283649444580078
716,9.28769302368164
717,9.252659797668457
718,9.207021713256836
719,9.115518569946289
720,8.978315353393555
721,8.796318054199219
722,8.596641540527344
723,8.41146183013916
724,8.224367141723633
725,8.051192283630371
726,7.895020484924316
727,7.778008937835693
728,7.655714988708496
729,7.524649143218994
730,7.41510534286499
731,7.322559833526611
732,7.252630710601807
733,7.19190788269043
734,7.115615367889404
735,7.029519081115723
736,6.912008762359619
737,6.7345123291015625
738,6.510228157043457
739,6.264918804168701
740,6.021508693695068
741,5.773380279541016
742,5.533881187438965
743,5.344733238220215
744,5.164519786834717
745,4.939526557922363
746,4.729499340057373
747,4.527348041534424
748,4.343075275421143
749,4.151940822601318
750,3.998962163925171
751,3.852151870727539
752,3.6813690662384033
753,3.494333028793335
754,3.340439796447754
755,3.20407772064209
756,3.0593326091766357
757,2.93851900100708
758,2.8168468475341797
759,2.6776046752929688
760,2.5273826122283936
761,2.3944473266601562
762,2.2871179580688477
763,2.224616765975952
764,2.1755783557891846
765,2.142587423324585
766,2.1406588554382324
767,2.163252353668213
768,2.162482738494873
769,2.139277696609497
770,2.0855462551116943
771,1.965736985206604
772,1.7869768142700195
773,1.6033669710159302
774,1.4292131662368774
775,1.2937049865722656
776,1.1841777563095093
777,1.0782424211502075
778,0.9781213402748108
779,0.886184573173523
780,0.7854772210121155
