类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:48
照度(lx),511.35
烛光E(fc),47.52
相关色温(K),3428
黑体偏离duv,0.00812
坐标x,0.4187
坐标y,0.4167
坐标u,0.2338
坐标v,0.3490
坐标u’,0.2338
坐标v’,0.5236
SDCM,8.73
显色指数(Ra),93.5
R1,93
R2,96
R3,97
R4,89
R5,92
R6,96
R7,94
R8,90
R9,79
R10,92
R11,89
R12,86
R13,94
R14,98
R15,91
明暗视觉比S/P,1.616
主波长(nm),578.40
色纯度(%),50.8
半宽度(nm),249.8
峰值波长(nm),689.0
中心波长(nm),615.5
质心波长(nm),612.5
红色比(%),57.2
绿色比(%),33.3
蓝色比(%),9.5
视黑素照度(lx),329.4
生理等效照度(lx),300.6
视黑素比,0.644
视黑素EDI(lx),298.5
积分时间(ms),240
峰值信号,56684
暗信号,3266
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0
381,0
382,0
383,0
384,0
385,0
386,0.0038702385500073433
387,0.008201515302062035
388,0.008372576907277107
389,0.005062456708401442
390,0.005865958519279957
391,0.00251178746111691
392,0.0003483056207187474
393,0.0017562519060447812
394,0.0031057039741426706
395,0.008588667958974838
396,0.015911798924207687
397,0.02174978516995907
398,0.03336016833782196
399,0.05408702418208122
400,0.07365507632493973
401,0.0963030681014061
402,0.132207989692688
403,0.17341068387031555
404,0.22100582718849182
405,0.27505531907081604
406,0.33132755756378174
407,0.38804951310157776
408,0.4448899030685425
409,0.49416422843933105
410,0.5371605753898621
411,0.5797394514083862
412,0.6118696928024292
413,0.6425697207450867
414,0.6742680668830872
415,0.7154279351234436
416,0.7618577480316162
417,0.8089532852172852
418,0.8534027934074402
419,0.9021421074867249
420,0.95103520154953
421,0.9998259544372559
422,1.0467320680618286
423,1.0894110202789307
424,1.1239663362503052
425,1.1494178771972656
426,1.168483018875122
427,1.1877251863479614
428,1.21355402469635
429,1.245526671409607
430,1.2924182415008545
431,1.344436526298523
432,1.4013372659683228
433,1.4633092880249023
434,1.5312778949737549
435,1.598191261291504
436,1.666258454322815
437,1.7243170738220215
438,1.7765884399414062
439,1.813754916191101
440,1.838067889213562
441,1.8633137941360474
442,1.884790062904358
443,1.900296688079834
444,1.9155793190002441
445,1.9390251636505127
446,1.9798146486282349
447,2.030784845352173
448,2.0954203605651855
449,2.1826701164245605
450,2.294642686843872
451,2.4139199256896973
452,2.537790536880493
453,2.658810615539551
454,2.7682878971099854
455,2.848148822784424
456,2.8890700340270996
457,2.908979892730713
458,2.926013946533203
459,2.9441652297973633
460,2.9700567722320557
461,3.026482105255127
462,3.1062488555908203
463,3.1990807056427
464,3.3109254837036133
465,3.4524807929992676
466,3.619584321975708
467,3.809401035308838
468,4.016639709472656
469,4.232933044433594
470,4.43602180480957
471,4.602784156799316
472,4.730660915374756
473,4.8118438720703125
474,4.819517612457275
475,4.7694807052612305
476,4.6830620765686035
477,4.573862552642822
478,4.4490485191345215
479,4.337087631225586
480,4.251534938812256
481,4.212523937225342
482,4.221042633056641
483,4.286438941955566
484,4.3920578956604
485,4.520782470703125
486,4.643590450286865
487,4.754851818084717
488,4.835140228271484
489,4.886813163757324
490,4.918761730194092
491,4.949005603790283
492,4.972639083862305
493,5.01126766204834
494,5.05596923828125
495,5.093148708343506
496,5.11044454574585
497,5.101889610290527
498,5.061241149902344
499,5.013314723968506
500,4.970416069030762
501,4.952061653137207
502,4.9537835121154785
503,4.979117393493652
504,5.028557300567627
505,5.092708587646484
506,5.167469024658203
507,5.252657413482666
508,5.340828895568848
509,5.416661739349365
510,5.488436698913574
511,5.541747093200684
512,5.576178550720215
513,5.601120471954346
514,5.614811420440674
515,5.59968900680542
516,5.563406944274902
517,5.542777061462402
518,5.529391288757324
519,5.522465705871582
520,5.52380895614624
521,5.539117813110352
522,5.559292316436768
523,5.596374034881592
524,5.6515703201293945
525,5.714963436126709
526,5.795980453491211
527,5.895753860473633
528,5.99477481842041
529,6.0875468254089355
530,6.183840751647949
531,6.2746429443359375
532,6.351797580718994
533,6.409114360809326
534,6.455530166625977
535,6.4922871589660645
536,6.513782978057861
537,6.5160298347473145
538,6.500387668609619
539,6.476085662841797
540,6.457591533660889
541,6.440082550048828
542,6.429060459136963
543,6.431603908538818
544,6.444892883300781
545,6.467593193054199
546,6.503651142120361
547,6.558720588684082
548,6.617262363433838
549,6.683884143829346
550,6.762593746185303
551,6.849005699157715
552,6.939525604248047
553,7.043712139129639
554,7.142175197601318
555,7.236283302307129
556,7.3268280029296875
557,7.398458003997803
558,7.443353652954102
559,7.4852423667907715
560,7.519446849822998
561,7.532159328460693
562,7.525908470153809
563,7.521508693695068
564,7.5099639892578125
565,7.489892482757568
566,7.468700885772705
567,7.460848331451416
568,7.449925899505615
569,7.440845489501953
570,7.436645984649658
571,7.4418721199035645
572,7.464115142822266
573,7.512972354888916
574,7.57020902633667
575,7.631994724273682
576,7.708567142486572
577,7.781141757965088
578,7.839852809906006
579,7.908893585205078
580,7.995194911956787
581,8.061691284179688
582,8.128534317016602
583,8.204001426696777
584,8.258485794067383
585,8.287073135375977
586,8.321293830871582
587,8.347413063049316
588,8.354161262512207
589,8.353598594665527
590,8.346799850463867
591,8.317269325256348
592,8.278700828552246
593,8.241947174072266
594,8.19677448272705
595,8.145922660827637
596,8.102670669555664
597,8.057440757751465
598,7.998509883880615
599,7.959457874298096
600,7.940680027008057
601,7.925159454345703
602,7.925665855407715
603,7.951535701751709
604,7.9660820960998535
605,7.979166030883789
606,8.022323608398438
607,8.065269470214844
608,8.120532035827637
609,8.180248260498047
610,8.237232208251953
611,8.277297019958496
612,8.323975563049316
613,8.367164611816406
614,8.421856880187988
615,8.479667663574219
616,8.520112037658691
617,8.542162895202637
618,8.554906845092773
619,8.547744750976562
620,8.527556419372559
621,8.50448989868164
622,8.49279499053955
623,8.461713790893555
624,8.430144309997559
625,8.39681625366211
626,8.356293678283691
627,8.303542137145996
628,8.272642135620117
629,8.251401901245117
630,8.234755516052246
631,8.247361183166504
632,8.267012596130371
633,8.277763366699219
634,8.299135208129883
635,8.323271751403809
636,8.340816497802734
637,8.365818977355957
638,8.387134552001953
639,8.415925979614258
640,8.456793785095215
641,8.503331184387207
642,8.545397758483887
643,8.603605270385742
644,8.661873817443848
645,8.709609985351562
646,8.776735305786133
647,8.855862617492676
648,8.927908897399902
649,9.00881290435791
650,9.087226867675781
651,9.13998031616211
652,9.164738655090332
653,9.172287940979004
654,9.145980834960938
655,9.094727516174316
656,9.044100761413574
657,8.984365463256836
658,8.911629676818848
659,8.843076705932617
660,8.793770790100098
661,8.736265182495117
662,8.68221664428711
663,8.653388023376465
664,8.639805793762207
665,8.628402709960938
666,8.639082908630371
667,8.670272827148438
668,8.712519645690918
669,8.76049518585205
670,8.806929588317871
671,8.85024642944336
672,8.890411376953125
673,8.936014175415039
674,8.977203369140625
675,9.036017417907715
676,9.083191871643066
677,9.133646011352539
678,9.17651081085205
679,9.217153549194336
680,9.255858421325684
681,9.322188377380371
682,9.403966903686523
683,9.477849006652832
684,9.566226959228516
685,9.67855167388916
686,9.768693923950195
687,9.831267356872559
688,9.87010383605957
689,9.896876335144043
690,9.866671562194824
691,9.819085121154785
692,9.733328819274902
693,9.621824264526367
694,9.473210334777832
695,9.299667358398438
696,9.136764526367188
697,8.985379219055176
698,8.79566478729248
699,8.591887474060059
700,8.407927513122559
701,8.239971160888672
702,8.078330993652344
703,7.918097972869873
704,7.787474632263184
705,7.681488990783691
706,7.59213924407959
707,7.528311252593994
708,7.4983601570129395
709,7.48785924911499
710,7.490849494934082
711,7.512227535247803
712,7.556824207305908
713,7.6107025146484375
714,7.668290138244629
715,7.697362422943115
716,7.71111536026001
717,7.676905632019043
718,7.628207206726074
719,7.553580284118652
720,7.442893981933594
721,7.312033653259277
722,7.168135166168213
723,7.024718761444092
724,6.883203506469727
725,6.739302635192871
726,6.60045862197876
727,6.494744777679443
728,6.396207809448242
729,6.285587787628174
730,6.1930975914001465
731,6.114614486694336
732,6.051959991455078
733,5.987893581390381
734,5.908358097076416
735,5.833171367645264
736,5.733654499053955
737,5.575789928436279
738,5.386972427368164
739,5.193904399871826
740,4.986797332763672
741,4.789695739746094
742,4.613422870635986
743,4.479812145233154
744,4.338797569274902
745,4.164413928985596
746,3.9939451217651367
747,3.804981231689453
748,3.6301798820495605
749,3.470072031021118
750,3.342322587966919
751,3.2207159996032715
752,3.086883783340454
753,2.9484851360321045
754,2.7951512336730957
755,2.652040719985962
756,2.509458303451538
757,2.3882546424865723
758,2.282301425933838
759,2.1688284873962402
760,2.0638930797576904
761,1.9828314781188965
762,1.917548418045044
763,1.8740254640579224
764,1.8505700826644897
765,1.835213541984558
766,1.8267865180969238
767,1.8323208093643188
768,1.8085429668426514
769,1.7563450336456299
770,1.689051866531372
771,1.5734179019927979
772,1.4238452911376953
773,1.2699707746505737
774,1.1477608680725098
775,1.0334973335266113
776,0.924532413482666
777,0.8150817155838013
778,0.7120802402496338
779,0.6070526242256165
780,0.5382242798805237
